output,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
phi,0,-0.0207808,0.00290546,0,0,-0.0139039,0.130284,0.00039652,0.000881563,0.00236072,0.362476,0,0
obd_irr_paddy_20160531,0,0.000179243,-0.000114004,0,0,-0.00470932,-0.00145524,1.44441e-07,-2.2411e-06,-0.00318414,2.26203,0,0
obd_irr_paddy_20160731,0,0.0901437,-0.00791126,0,0,-0.0895937,-0.0303551,-9.5914e-05,-3.70348e-05,-0.041902,2.97314,0,0
obd_irr_paddy_20160630,0,0.0151345,-0.00740729,0,0,-0.0246152,-0.00697439,4.54924e-06,-8.28137e-06,-0.0189049,2.20406,0,0
obd_irr_paddy_20160930,0,0.113603,0.00664786,0,0,0.0686002,-0.00141274,0.000137832,2.02865e-05,-0.014322,2.55693,0,0
obd_irr_paddy_20190630,0,-0.00851211,-0.00192396,0,0,0.00319465,0.0453626,0.000397187,0.000539225,-0.00570149,1.70643,0,0
obd_irr_paddy_20160831,0,0.158656,0.00458022,0,0,0.0472905,-0.0879329,0.0004277,0.000141394,-0.0131001,2.91708,0,0
obd_irr_paddy_20170531,0,0.0471655,0.00284132,0,0,0.0084085,0.0245682,-9.16747e-05,-0.000411395,-0.0146691,1.95286,0,0
obd_irr_paddy_20220630,0,0.0210868,-0.00269859,0,0,0.01114,0.00891721,-0.000771978,-0.0010509,-0.00782419,1.82604,0,0
obd_irr_paddy_20170731,0,-0.013974,0.0261084,0,0,0.0639853,-0.046428,-0.00179973,-0.000507593,-0.00892019,2.72171,0,0
obd_irr_paddy_20170630,0,0.0673686,-0.00025663,0,0,0.00370637,0.0279408,0.000935131,0.000339299,-0.000362302,1.56415,0,0
obd_irr_paddy_20170831,0,0.0905458,-0.0146089,0,0,0.130865,0.189536,0.00125418,0.000147035,0.0041374,2.89723,0,0
obd_irr_paddy_20170930,0,0.0125495,-0.0270219,0,0,-0.157034,-0.18801,0.000834088,5.82568e-05,-0.0872245,2.21008,0,0
obd_irr_paddy_20180531,0,0.104112,-0.0081123,0,0,-0.00823976,0.0123089,0.000527561,0.000211145,-0.0376229,1.96879,0,0
obd_irr_paddy_20180630,0,0.0709862,-0.0043711,0,0,0.118781,-0.00823195,-0.00189929,-0.0020038,0.00489287,1.58977,0,0
obd_irr_paddy_20180731,0,0.0471332,0.00922686,0,0,0.0547812,0.0486538,0.00118844,0.000383544,-0.0024465,2.57348,0,0
obd_irr_paddy_20180831,0,-0.000738255,-0.00580647,0,0,0.109588,0.0878244,-0.00281624,-0.00145499,-0.0162273,2.79201,0,0
obd_irr_paddy_20180930,0,-0.00925308,-0.0501705,0,0,0.00558652,-0.0186732,6.15246e-05,0.00162533,-0.000462441,1.81771,0,0
obd_irr_paddy_20190531,0,0.0549942,0.00187396,0,0,0.0292579,0.0419225,-0.000239615,-0.000469467,-0.00649614,1.83168,0,0
obd_irr_paddy_20190731,0,-0.00798743,-0.00821116,0,0,0.048523,-0.0168182,0.000663759,2.92505e-05,-0.0371268,2.54724,0,0
obd_irr_paddy_20190831,0,0.0338843,0.0120543,0,0,0.131858,0.11369,-0.00285526,-0.00793945,0.0613863,2.72628,0,0
obd_irr_paddy_20190930,0,-0.048024,-0.00469428,0,0,0.0323143,0.00380962,-0.00369323,-0.000190774,-0.021338,2.44491,0,0
obd_irr_paddy_20200531,0,0.0835383,-0.00361166,0,0,0.0393305,0.0157484,0.000131638,0.000720739,-0.0185719,1.79885,0,0
obd_irr_paddy_20200630,0,0.0513144,0.00189861,0,0,0.0888733,0.0186376,0.00108267,0.000163055,-0.00850206,1.51442,0,0
obd_irr_paddy_20200731,0,-0.0190017,-0.00860461,0,0,0.094575,0.0450182,-0.00107177,-0.00314368,-0.0110206,2.56645,0,0
obd_irr_paddy_20200831,0,0.0856088,-0.00986701,0,0,0.05864,0.324499,-0.000680649,-0.00130949,0.0132801,2.78961,0,0
obd_irr_paddy_20200930,0,-0.0381032,0.013515,0,0,0.0315629,-0.0911733,-0.00753999,-0.00717837,0.027,2.43705,0,0
obd_irr_paddy_20210531,0,0.0844831,-0.0070746,0,0,0.0570431,0.0159863,0.00194158,0.000963409,-0.0152542,1.74963,0,0
obd_irr_paddy_20210630,0,0.0190604,0.00370564,0,0,0.0403723,0.0541341,-0.000932298,-0.000487558,-0.0132892,1.47981,0,0
obd_irr_paddy_20210731,0,-0.00429987,-0.00367355,0,0,0.0711971,0.0135676,0.00027975,-0.000355504,-0.0331634,2.56477,0,0
obd_irr_paddy_20210831,0,0.0216902,-0.0250946,0,0,-0.00468074,0.168292,-0.00174283,-0.000475678,0.0307613,2.59185,0,0
obd_irr_paddy_20210930,0,-0.0577665,0.0463939,0,0,0.153197,-0.0787525,0.0088024,-0.00326218,0.0483686,2.23266,0,0
obd_irr_paddy_20220531,0,0.01093,-0.00152504,0,0,-0.0101225,0.0104861,0.000374553,0.000548643,-0.00731117,1.63081,0,0
obd_irr_paddy_20220731,0,-0.114083,-0.0094071,0,0,-0.0361321,0.101158,0.00277453,-0.00394373,-0.0413701,2.84807,0,0
obd_irr_paddy_20220831,0,-0.0507381,-0.0198322,0,0,0.0279718,0.0414389,0.00403061,-0.00139849,-0.00856537,2.64696,0,0
obd_irr_paddy_20220930,0,0.0155393,-0.0045889,0,0,0.115616,0.0267185,-0.00506066,-0.00354427,-0.0154962,2.30134,0,0
