real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse,mse,pcc
0,34.0994,12.6219,15.5769,196.686,5.85846,68.3152,8.83764,29.0115,95.4235,199.0,102.251,123.689,107.343,0.927823118397362,3.174071091436144,0.9288572127790813,57.53026142352225,3309.730979458812,0.9637723863958135
1,2.31013,12.7451,22.4066,199.0,11.9695,71.2299,12.3499,11.9867,199.0,199.0,98.899,63.9843,26.8945,0.9274205426005727,2.3311241825917755,0.9279745452451597,57.69047952382274,3328.1914276886105,0.9633143543232187
2,7.95646,14.8531,18.6396,106.191,16.3705,79.153,7.69658,22.2792,110.298,199.0,101.583,57.8362,111.079,0.9285012437877573,2.650734708977684,0.9292232386342525,57.25936583015405,3278.634975271413,0.9639622599636629
3,45.2845,23.8341,27.2891,182.969,12.7367,59.3784,11.4934,47.5132,199.0,199.0,98.711,151.366,8.0173,0.927058298447245,2.1714432009466527,0.9275446934617232,57.83426696033274,3344.802434839035,0.9630912176225693
4,58.1749,14.6232,52.0715,68.9016,1.19555,14.3337,9.76081,20.9125,59.3169,199.0,98.9545,191.102,32.3642,0.9277536513514492,1.7906669203176788,0.9280876187134285,57.55793992723588,3312.916448667294,0.9633730423431146
5,3.59653,9.11343,72.378,199.0,3.58888,19.5012,9.09124,17.7521,109.774,199.0,99.7211,154.904,98.6033,0.9288029195423889,1.8012274214876656,0.9291336380126061,57.13844049722493,3264.801382454914,0.9639157836723113
6,19.3997,7.52002,56.2972,199.0,12.2457,50.9343,7.87166,16.3138,150.841,199.0,98.6382,60.2404,89.0968,0.9302023236432558,1.0097678835260053,0.9302954267804932,56.574115482887215,3200.630542671059,0.9645182355873284
7,7.05374,10.1928,15.7907,181.42,8.44503,77.8659,6.64594,17.2631,11.1403,199.0,103.606,29.7208,30.0535,0.9296087972050265,3.2042597542362765,0.9306245975303449,56.81414605091145,3227.847191494297,0.9646888604780014
8,26.5174,18.2468,24.0569,199.0,1.78498,13.2328,8.02866,15.8275,199.0,199.0,102.455,37.9781,5.91496,0.9275117002696561,3.180811537736166,0.9285649159580809,57.65423936625401,3324.011316901314,0.9636207324243709
9,13.0571,12.7697,13.5642,64.794,7.55682,83.1272,7.95468,20.1066,161.783,199.0,99.2373,62.1987,17.5075,0.9292169712176132,1.5731068971276765,0.9294617197685825,56.97205190501732,3245.8146982679873,0.9640859504051402
10,47.6357,17.9544,40.8798,199.0,15.0124,102.684,8.23263,16.0876,112.186,199.0,102.043,4.64,27.0195,0.9274787497267449,2.994343327417864,0.9284249992461114,57.667341636940286,3325.5222914715864,0.9635481302177444
11,17.4377,19.8935,52.3065,199.0,1.36135,35.9133,6.35696,29.2787,12.3208,199.0,102.227,8.64605,92.5656,0.9285936498179408,2.6111670070158848,0.929311228298519,57.22235244943053,3274.3976198468486,0.9640078984627247
12,56.6753,3.52497,62.2553,199.0,4.36841,20.5447,9.00213,1.95474,115.74,199.0,98.515,188.747,29.2485,0.9299635944787495,1.0776131804870561,0.9300711129206771,56.67078318857314,3211.5776672062643,0.964401945726302
13,45.4525,16.9819,27.2452,199.0,14.9078,5.41104,10.2998,40.0234,199.0,199.0,98.0047,136.447,117.512,0.9276777011649138,1.5496505826443605,0.9279202434277168,57.58818635523262,3316.3992076850004,0.9632861690212918
14,3.15712,19.4679,41.2187,196.958,12.8286,55.1738,11.5377,16.7918,43.898,199.0,96.508,55.6484,103.171,0.9274197157409398,1.0808810541270868,0.9275283958647573,57.69080814155129,3328.2293440252806,0.9630827564985043
15,21.3256,10.481,86.2689,199.0,7.45698,13.556,7.29766,47.4063,178.518,199.0,102.502,76.3979,28.4328,0.9291888348821506,2.7118965829371304,0.9299419786822246,56.983374008115575,3247.104913348782,0.964334992978179
16,34.5416,16.7938,64.8139,199.0,11.7441,57.3718,6.99247,16.1043,199.0,199.0,99.6634,43.459,166.843,0.9290596128657739,1.5018789488618336,0.929291897845107,57.03534427407773,3253.030496462571,0.9639978723239523
17,19.4251,14.7813,66.0166,199.0,15.6378,10.5744,11.1756,31.5821,135.894,199.0,100.142,120.578,121.208,0.9270763518994414,2.631832160384495,0.9278074178089531,57.827109375815176,3343.974578762491,0.9632276043640741
18,5.26672,9.3067,21.2692,195.389,13.8153,30.7514,9.65292,6.37866,84.4374,143.439,81.1611,7.21359,137.941,0.923016891173983,-7.346258851896644,0.9293331674238944,59.414851081693385,3530.1245290598013,0.9640192775167384
19,25.3109,18.6828,23.1404,134.411,5.27883,12.1594,7.91032,9.18213,199.0,199.0,103.367,56.357,32.0211,0.9272232366335544,3.581392336074016,0.928552736122395,57.76884157593991,3337.239057026043,0.9636144125750689
20,6.42741,14.2863,57.2696,199.0,13.2098,79.7686,8.73206,7.56791,199.0,199.0,100.673,180.126,106.476,0.927970324169149,2.3553961439392306,0.9285595521592613,57.47156458869571,3302.980736272623,0.9636179492720449
21,41.2233,10.4961,77.9603,199.0,1.9869,31.2614,3.11701,2.27385,75.434,199.0,103.028,98.9574,93.9728,0.9330604838035329,1.862242069613527,0.9333831830950097,55.40367523590021,3069.567229645102,0.9661175824375673
22,59.4188,9.46674,100.733,199.0,7.37422,18.5352,8.59672,6.44638,27.3711,199.0,99.0289,101.272,34.6491,0.9291681042335983,1.3289216611646364,0.9293440420435779,56.991714612674066,3248.0555344924865,0.9640249177503546
23,37.3398,16.2579,53.2693,75.9202,8.20475,53.1552,9.94271,28.7771,148.347,199.0,96.6535,98.4263,50.4243,0.9278266823471422,0.7649326157026097,0.9278789726099327,57.528841041475296,3309.567551575333,0.9632647468946077
24,30.5812,17.5582,23.2779,199.0,11.2843,5.33398,11.7727,15.6922,84.0952,86.3807,97.2749,45.717,32.0679,0.9270584617364097,0.9091290724998744,0.9271411473611247,57.83420222565952,3344.79494707848,0.962881689181555
25,24.1817,27.7962,49.7036,138.18,8.79876,38.8277,11.314,35.1062,199.0,199.0,99.181,29.1118,117.323,0.9268175288814526,2.295429678514741,0.9273708126995752,57.92963942295395,3355.8431236734605,0.9630009411727359
26,9.19868,11.5904,60.6821,199.0,3.0138,18.0167,3.16969,33.1536,31.8311,199.0,104.778,17.8866,112.3,0.9323886467542841,2.7100879771182176,0.933092123977756,55.68101001881497,3100.3748767153734,0.9659669373108771
