iteration,total_runs,obs_realization,par_realization,cha049,obd_irr_paddy
2,295,4,4,863.366,961.773
2,295,5,5,779.502,1012.31
2,295,6,6,843.574,987.112
2,295,7,7,1152.88,1250.75
2,295,8,8,786.949,1018.4
2,295,9,9,1128.05,1305.74
2,295,10,10,1107.73,1221.96
2,295,11,11,815.672,1014.75
2,295,12,12,796.071,989.887
2,295,13,13,820.506,999.134
2,295,14,14,788.961,1035.23
2,295,15,15,971.094,1183.89
2,295,16,16,774.501,1032.44
2,295,17,17,794.578,1002.02
2,295,18,18,1085.93,1250.69
2,295,19,19,900.625,1000.88
2,295,20,20,781.742,1023.59
2,295,21,21,796.253,994.595
2,295,22,22,863.196,1001.75
2,295,23,23,1146.36,1257.78
2,295,24,24,834.652,981.66
2,295,25,25,788.991,1035.42
2,295,26,26,1089.67,1240.68
2,295,27,27,784.407,1057.45
2,295,28,28,870.97,987.35
2,295,29,29,793.905,1004.7
2,295,30,30,1273.16,1256.43
2,295,31,31,833.095,965.254
2,295,32,32,846.547,968.646
2,295,33,33,841.342,984.22
2,295,34,34,820.236,1018.49
2,295,35,35,851.782,973.683
2,295,36,36,864.813,971.819
2,295,37,37,834.478,997.677
2,295,38,38,791.831,1003.26
2,295,39,39,850.79,982.014
2,295,40,40,847.165,955.987
2,295,41,41,840.961,981.572
2,295,42,42,1112.5,1236.41
2,295,43,43,794.947,977.822
2,295,44,44,808.663,1035.21
2,295,45,45,897.658,1064.13
2,295,46,46,861.207,999.613
2,295,47,47,837.25,988.265
2,295,48,48,1089.45,1206.39
2,295,49,49,788.841,1006.68
2,295,50,50,781.531,1023.25
2,295,51,51,844.626,961.076
2,295,52,52,830.445,977.935
2,295,53,53,1158.7,1300.18
2,295,54,54,785.718,1024.49
2,295,55,55,827.658,957.662
2,295,56,56,845.707,978.759
2,295,57,57,807.025,1030.25
2,295,58,58,1034.97,1354.07
2,295,59,59,797.667,1019.46
2,295,60,60,805.585,977.102
2,295,61,61,837.678,995.287
2,295,62,62,774.819,1062.11
2,295,63,63,836.983,1004.5
2,295,64,64,1158.03,1259.28
2,295,65,65,879.211,959.49
2,295,66,66,762.013,1047.16
2,295,67,67,800.975,1014.48
2,295,68,68,862.471,965.394
2,295,69,69,824.303,1045.17
2,295,70,70,858.641,998.356
2,295,71,71,868.948,984.71
2,295,72,72,1049.91,1177.78
2,295,73,73,810.265,1017.95
2,295,74,74,887.22,978.797
2,295,75,75,839.754,979.721
2,295,76,76,885.325,997.175
3,404,0,0,820.115,1008.72
3,404,1,1,789.535,1003.56
3,404,2,2,814.45,1011.16
3,404,3,3,787.063,1025.66
3,404,4,4,862.681,963.859
3,404,5,5,776.887,1006.75
3,404,6,6,814.034,979.945
3,404,7,7,832.342,987.643
3,404,8,8,787.382,1024.75
3,404,9,9,1068.53,1252.43
3,404,10,10,888.11,969.991
3,404,11,11,822.547,1013
3,404,12,12,773.001,988.832
3,404,13,13,804.163,1000.56
3,404,14,14,791.389,1039.42
3,404,15,15,816.271,1053.37
3,404,16,16,795.422,1029.13
3,404,17,17,803.54,998.293
3,404,18,18,1094.05,1257.01
3,404,19,19,804.914,994.22
3,404,20,20,779.487,1014.04
3,404,21,21,804.305,980.051
3,404,22,22,807.824,1022.83
3,404,23,23,1032.03,1262.23
3,404,24,24,836.775,991.979
3,404,25,25,802.727,1029.49
3,404,26,26,785.732,964.186
3,404,27,27,818.369,1025.01
3,404,28,28,868.471,986.762
3,404,29,29,789.612,1004.25
3,404,30,30,1190.89,1203.52
3,404,31,31,829.309,971.719
3,404,32,32,844.966,967.434
3,404,33,33,822.072,986.758
3,404,34,34,802.735,1020.9
3,404,35,35,852.314,974.94
3,404,36,36,877.763,976.625
3,404,37,37,807.75,1002.96
3,404,38,38,788.455,1001.4
3,404,39,39,855.499,981.756
3,404,40,40,864.248,957.34
3,404,41,41,837.443,981.996
3,404,42,42,1039.32,1253.36
3,404,43,43,790.792,979.397
3,404,44,44,789.302,1039.65
3,404,45,45,881.363,972.897
3,404,46,46,844.163,998.343
3,404,47,47,856.482,991.392
3,404,48,48,1045.05,1212.19
3,404,49,49,786.926,1014.47
3,404,50,50,792.109,1011.13
3,404,51,51,841.864,961.223
3,404,52,52,833.38,982.719
3,404,53,53,1163.17,1305.3
3,404,54,54,781.54,1034.46
3,404,55,55,821.543,960.19
3,404,56,56,832.762,999.157
3,404,57,57,800.565,1029.67
3,404,58,58,1044.35,1369.89
3,404,59,59,777.791,1026.81
3,404,60,60,800.66,975.927
3,404,61,61,831.122,1010.65
3,404,62,62,806.838,1011.73
3,404,63,63,783.413,1019.53
3,404,64,64,1050.22,1272.11
3,404,65,65,855.312,963.079
3,404,66,66,825.153,1021.94
3,404,67,67,800.232,1014.03
3,404,68,68,870.03,976.391
3,404,69,69,822.976,1048.65
3,404,70,70,803.801,1001.39
3,404,71,71,820.023,994.927
3,404,72,72,888.173,1007.11
3,404,73,73,824.923,1030.5
3,404,74,74,864.044,986.146
3,404,75,75,820.348,983.434
3,404,76,76,882.855,999.847
4,513,0,0,819.175,1004.05
4,513,1,1,793.495,999.183
4,513,2,2,808.909,1005.49
4,513,3,3,780.183,1029.7
4,513,4,4,861.12,966.754
4,513,5,5,764.065,1002.4
4,513,6,6,801.625,981.337
4,513,7,7,819.525,988.782
4,513,8,8,793.758,1017.67
4,513,9,9,841.543,997.981
4,513,10,10,878.96,976.349
4,513,11,11,814.633,1037.03
4,513,12,12,764.112,988.399
4,513,13,13,764.394,1011.15
4,513,14,14,787.159,1037.79
4,513,15,15,781.098,1024.84
4,513,16,16,793.847,1026.28
4,513,17,17,814.354,994.667
4,513,18,18,1107.67,1263.29
4,513,19,19,798.915,998.317
4,513,20,20,793.068,1003.99
4,513,21,21,797.63,932.718
4,513,22,22,807.42,1019.78
4,513,23,23,1057.19,1274.64
4,513,24,24,784.717,1010.66
4,513,25,25,801.236,1025.13
4,513,26,26,810.778,902.582
4,513,27,27,791.831,1020.37
4,513,28,28,868.758,987.439
4,513,29,29,795.945,1002.3
4,513,30,30,773.188,998.365
4,513,31,31,850.458,972.953
4,513,32,32,843.899,971.285
4,513,33,33,807.133,991.861
4,513,34,34,804.825,1015.03
4,513,35,35,850.146,975.834
4,513,36,36,879.345,983.627
4,513,37,37,778.165,1009.26
4,513,38,38,800.859,1001.39
4,513,39,39,844.504,982.27
4,513,40,40,869.525,959.745
4,513,41,41,835.531,982.429
4,513,42,42,1073.37,1266.54
4,513,43,43,776.936,986.968
4,513,44,44,789.761,1016.19
4,513,45,45,838.556,978.928
4,513,46,46,865.429,994.911
4,513,47,47,789.193,1011.29
4,513,48,48,1076.48,1215.77
4,513,49,49,781.893,1019.5
4,513,50,50,800.353,1010.32
4,513,51,51,836.312,963.869
4,513,52,52,816.416,990.988
4,513,53,53,1160.71,1315.19
4,513,54,54,780.431,1024.85
4,513,55,55,813.655,961.687
4,513,56,56,832.761,1004.44
4,513,57,57,803.413,1027.12
4,513,58,58,1055.47,1363.67
4,513,59,59,785.672,1036.84
4,513,60,60,799.012,985.931
4,513,61,61,817.642,1031.73
4,513,62,62,797.306,1023.65
4,513,63,63,779.446,1028.08
4,513,64,64,1059.56,1268.13
4,513,65,65,876.223,969.022
4,513,66,66,790.802,1028.93
4,513,67,67,805.318,1012.57
4,513,68,68,852.568,993.862
4,513,69,69,824.278,1043.81
4,513,70,70,797.555,1003.83
4,513,71,71,790.228,1007.34
4,513,72,72,801.289,996.844
4,513,73,73,838.244,1033.6
4,513,74,74,829.83,992.665
4,513,75,75,803.792,986.981
4,513,76,76,887.817,998.622
5,622,0,0,796.608,990.235
5,622,1,1,800.765,988.845
5,622,2,2,754.726,1009.08
5,622,3,3,808.291,986.808
5,622,4,4,805.769,997.689
5,622,5,5,772.776,1007.13
5,622,6,6,776.637,1001.18
5,622,7,7,774.198,1009.63
5,622,8,8,773.647,1000.78
5,622,9,9,793.944,1010.27
5,622,10,10,801.743,1001.76
5,622,11,11,773.903,1029.82
5,622,12,12,770.412,992.902
5,622,13,13,844.479,982.737
5,622,14,14,796.736,989.318
5,622,15,15,761.076,1013.95
5,622,16,16,782.168,1013.19
5,622,17,17,793.136,988.581
5,622,18,18,1159.2,1293.21
5,622,19,19,797.314,984.93
5,622,20,20,784.837,998.421
5,622,21,21,766.009,974.605
5,622,22,22,805.795,995.005
5,622,23,23,850.45,1011.6
5,622,24,24,774.925,1035.65
5,622,25,25,805.408,998.348
5,622,26,26,794.416,972.806
5,622,27,27,790.175,1003.03
5,622,28,28,783.503,1002.7
5,622,29,29,786.949,994.787
5,622,30,30,745.527,995.109
5,622,31,31,758.354,1009.12
5,622,32,32,773.408,1000.35
5,622,33,33,788.067,1000.56
5,622,34,34,801.481,1018.86
5,622,35,35,776.134,992.581
5,622,36,36,787.487,1029.81
5,622,37,37,774.646,1006.41
5,622,38,38,782.255,1010.73
5,622,39,39,776.925,999.502
5,622,40,40,769.028,996.36
5,622,41,41,842.626,978.437
5,622,42,42,1181.06,1316.95
5,622,43,43,778.163,980.558
