obsnme,obsval,weight,obgnme
obd_irr_paddy_20200930,215.8802546,1,obd_irr_paddy
obd_irr_paddy_20210531,290.3057842,1,obd_irr_paddy
obd_irr_paddy_20210630,555.2851498,1,obd_irr_paddy
obd_irr_paddy_20210731,580.9712436,1,obd_irr_paddy
obd_irr_paddy_20210831,657.9864998,1,obd_irr_paddy
obd_irr_paddy_20210930,257.0496104,1,obd_irr_paddy
obd_irr_paddy_20220531,436.5877511,1,obd_irr_paddy
obd_irr_paddy_20220630,600.4543958,1,obd_irr_paddy
obd_irr_paddy_20220731,611.3359675,1,obd_irr_paddy
obd_irr_paddy_20220831,509.0983427,1,obd_irr_paddy
obd_irr_paddy_20220930,101.7183624,1,obd_irr_paddy
obd_irr_paddy_20230531,320.3287235,1,obd_irr_paddy
obd_irr_paddy_20230630,533.10405,1,obd_irr_paddy
obd_irr_paddy_20230731,629.2281857,1,obd_irr_paddy
obd_irr_paddy_20230831,691.3684557,1,obd_irr_paddy
obd_irr_paddy_20230930,106.1643069,1,obd_irr_paddy
