real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
0,11.3079,2.09888,119.041,199,1.57267,7.94984,1.07801,5.0685,17.0345,180.869,103.469,139.957,74.1352
1,6.69603,2.99783,110.724,189.658,2.58661,9.57333,1.30724,2.39042,59.8577,186.526,103.033,67.2555,15.9193
2,10.4269,4.43545,93.4045,180.688,3.14158,19.1496,1,5.62062,32.2207,181.849,104.188,56.3469,66.8284
3,15.779,6.12178,69.3162,199,2.63073,11.8338,1.03021,10.6763,34.3227,182.117,103.595,121.71,9.53277
4,32.0767,5.34294,93.4514,147.029,1.19457,1.93017,1.18498,5.43586,18.2573,185.081,103.353,124.653,27.8109
5,9.46729,3.33115,96.5766,174.428,1.21843,4.05668,1.20699,5.58784,38.434,185.696,102.756,106.761,59.6172
6,13.2713,2.48247,152.087,196.609,3.43649,12.7527,1.06537,4.22359,35.4315,184.462,101.564,51.8062,62.393
7,12.0384,3.05639,79.9257,194.849,1.35443,11.1965,1,4.33763,4.66405,180.369,103.978,29.4174,22.5694
8,20.1508,5.83922,107.12,199,1.2047,2.46397,1,2.89542,75.642,183.259,105.202,35.9008,5.25454
9,11.4505,2.90576,59.2331,154.182,2.09303,4.89651,1,4.15871,34.7796,175.789,101,98.1311,12.4518
10,96.0059,5.55451,82.8129,177.345,3.08098,15.8166,1.05039,4.63256,38.211,182.809,103.955,3.46675,13.9379
11,11.1793,4.02556,100.642,199,1.25321,3.44457,1,5.33739,2.55827,173.577,103.232,11.685,67.131
12,51.9982,1.24859,174.83,199,1.24757,2.82531,1.30323,1.31877,38.5489,183.975,100.805,127.25,18.1562
13,14.495,4.60739,88.8286,195.462,2.4311,1.32793,1.03594,7.76544,44.2067,186.08,102.941,102.581,134.615
14,6.58164,6.9724,78.7087,175.893,2.40785,25.7522,1.15476,5.27269,11.1251,175.002,101.885,62.4432,67.5788
15,19.9042,3.20171,153.346,199,1.84637,1.71033,1,10.5167,46.6965,179.411,104.668,72.8359,17.1131
16,10.9567,3.50985,199,199,3.52822,4.18096,1,3.93647,42.4316,174.873,101.631,88.7072,111.547
17,13.0492,4.12928,199,179.45,2.83516,3.54923,1.26567,5.84883,26.8516,185.853,103.432,97.3463,72.2661
18,8.74534,5.20585,79.5285,184.449,1.62797,6.16943,1,5.01973,34.4527,187.24,98.1349,12.9194,46.6581
19,13.2923,4.63807,109.139,199,1.37685,2.13779,1.0439,1.83528,52.7446,182.587,105.072,74.9523,27.164
20,6.99606,4.70859,108.538,189.047,2.43999,9.01706,1.17045,1.86983,109.627,185.117,102.966,126.803,65.9021
21,69.1642,3.27338,177.464,183.14,1.15555,5.90872,1,1.24341,27.7918,177.97,102.614,87.2709,55.5371
22,60.2192,3.54445,183.796,187.84,1.57344,4.24997,1.14358,2.21833,11.1909,189.298,103.017,58.2763,24.8288
23,10.9214,3.59316,199,180.118,1.8664,5.76581,1.22119,7.08641,29.2367,185.277,101.196,133.932,39.4108
24,11.7487,4.17041,83.9288,199,2.39294,1,1.32585,3.17746,20.7194,135.851,100.656,67.3792,29.6186
25,8.03211,6.11974,81.8389,199,1.85108,10.5385,1.29304,10.5214,31.9654,178.969,103.401,41.1712,129.774
26,11.4106,3.37203,172.769,199,1.20695,3.62059,1,7.8917,16.8753,183.181,102.594,13.675,90.374
27,21.5094,5.31786,28.725,37.1059,1.22747,25.0036,1,10.5153,37.3468,177.177,103.914,21.9928,113.146
28,7.91443,1.40989,76.1023,199,2.72384,15.8004,1.54522,10.7376,19.2549,177.423,101.044,74.2929,74.959
29,8.41747,4.72486,81.2323,199,1.24051,3.629,1.10223,12.5257,32.6609,162.054,101.836,128.338,53.3153
30,5.93164,2.79612,48.1346,188.663,1.20291,4.54793,1.09122,7.26179,37.2976,171.558,100.849,90.0365,89.3131
31,12.5107,2.83537,90.4425,199,3.43158,11.685,1.09432,15.8025,8.43412,175.475,103.892,36.2819,4.66661
32,6.94914,6.06002,36.0665,195.649,1.18806,1.63174,1.20849,10.2785,12.6099,184.252,100.327,26.7702,78.5956
33,10.1862,5.4948,155.828,199,1.59574,7.58497,1.36395,10.7958,2.85312,183.829,101.382,26.1074,29.9742
34,11.9,3.46296,42.6807,197.432,1.23423,21.6509,1.15063,2.53713,1.92817,98.5424,101.151,108.397,20.388
35,8.13641,2.99664,72.5622,190.079,2.36151,4.09621,1.10483,2.30936,14.4557,175.234,102.949,4.00959,23.3665
36,15.0722,16.3123,25.6525,199,1.21354,14.3829,1,5.29694,17.7642,171.91,103.514,28.419,120.337
37,17.1943,6.33332,62.271,181.109,2.46839,17.2789,1,5.20892,44.294,182.057,101.753,32.205,102.709
38,15.0876,1.30771,113.904,199,2.45451,4.03154,1.51806,21.4512,52.8626,127.149,103.705,96.4721,96.58
39,7.82751,3.89549,78.9627,182.373,1.86059,6.81202,1.0567,2.94778,27.5045,176.312,102.941,62.9595,62.7502
40,109.86,2.99742,66.4729,109.174,2.42353,17.101,1,13.9581,65.7501,183.264,101.75,85.5861,12.9237
41,11.378,2.91016,199,199,1.68434,8.48026,1.35828,2.05856,25.2867,176.647,101.396,82.2423,36.1082
42,20.4642,6.35052,115.416,187.192,1.19703,12.946,1,7.14899,44.5835,185.123,103.8,99.7637,12.4973
43,12.4159,2.30995,106.509,199,3.04898,12.4311,1,13.2295,18.6968,178.254,103.182,50.0574,26.4381
44,10.512,5.39936,55.8954,199,2.71455,7.084,1.0474,4.09005,30.1974,149.81,99.2706,136.422,40.4921
45,5.40479,6.59689,68.5369,197.213,3.55955,1.44212,1.09475,4.34367,22.7426,187.931,103.058,109.704,77.522
46,10.6235,4.4238,32.4482,196.956,1.47112,5.60851,1.38525,5.20368,62.1891,183.02,103.425,48.892,50.1595
47,12.9321,3.86873,95.8192,199,1.24665,16.7641,1.02793,3.80164,86.7508,167.1,103.395,107.988,131.176
48,15.3267,2.09514,184.878,190.027,1.21985,4.16145,1,5.62403,47.5332,164.574,100.645,114.753,120.752
49,9.27995,6.5527,169.731,199,1.22454,4.14121,1,2.67518,54.6484,166.857,102.848,136.168,26.5669
50,5.93488,5.20808,74.9086,199,1.48387,1,1.10502,5.48648,37.9188,177.144,102.089,88.8218,68.6035
51,12.459,1.95763,58.3918,199,1.2811,7.8577,1.06148,1.39936,64.1244,185.667,102.367,112.433,97.8505
52,29.3642,4.80879,199,199,1.2466,3.36715,1.12534,7.70918,49.8303,186.824,102.95,140.113,69.4184
53,12.7132,5.39844,121.931,198.017,3.32193,2.54943,1.11571,3.87465,67.3063,184.922,101.885,37.7989,12.4635
54,15.8937,4.16987,142.133,120.986,1.255,16.1219,1.22704,2.04188,48.6579,184.31,103.346,8.08236,7.06328
55,7.22534,2.42451,103.338,199,1.17307,3.5816,1.28676,1.32306,42.1253,176.899,103.26,86.6468,14.0682
56,6.29092,5.98995,146.368,192.494,1.91467,9.75472,1,7.03014,21.9239,177.749,101.879,94.0293,98.2182
57,7.89802,5.4757,197.771,199,4.20603,2.91994,1.09211,12.2459,14.1966,183.709,102.778,84.9941,86.2584
58,13.4795,3.48736,131.662,199,1.20509,8.07958,1,5.03918,22.1391,177.164,102.501,85.4892,79.2861
59,9.74374,4.38138,199,199,2.69586,1,1.01593,1.59448,23.0424,188.174,103.621,117.54,12.1336
60,15.0939,4.02911,50.01,186.308,1.1974,8.66721,1,4.20687,24.0501,176.378,103.987,42.538,64.6158
61,7.87275,4.52007,128.178,133.8,1.81867,26.2251,1,4.67189,37.7077,187.612,105.488,27.4354,65.242
62,15.7908,4.20869,94.1903,167.829,3.21446,1.25814,1.20312,5.36422,58.7406,188.53,102.584,12.9027,26.8659
63,4.90398,6.96217,187.987,183.59,1.59369,26.8712,1,12.0454,14.8116,172.203,102.75,48.1798,96.1128
64,7.36296,3.76308,90.8333,197.801,1.20031,11.6745,1.10713,5.44168,9.03885,177.107,101.016,141.932,109.712
65,6.76694,3.35502,102.13,182.787,1.21844,10.0602,1.25083,5.91488,10.7931,179.941,103.037,115.442,62.2767
66,8.05697,4.14571,172.402,199,2.95232,1,1.35444,6.13267,31.4078,181.528,104.764,82.0163,49.2535
67,16.7595,6.20305,68.7858,199,2.50056,7.82225,1,2.99602,17.2821,178.633,101.465,36.1203,106.471
68,13.5886,5.59834,120.586,128.377,1.22662,7.14465,1.17535,4.29815,35.2534,179.554,103.52,114.443,86.4753
69,12.1374,3.85965,72.6904,65.2529,1.36231,14.659,1,4.43397,8.24229,178.885,102.254,57.4724,15.9184
70,10.0792,6.15267,197.908,199,1.48104,7.03309,1.09244,2.7621,37.201,178.666,103.465,122.245,96.0346
71,18.4797,4.05616,26.6223,199,1.20164,10.7281,1,3.4295,21.653,179.546,105.155,59.2451,96.0887
72,6.89966,2.70571,199,199,1.21575,14.431,1,1.90798,35.5062,178.884,101.712,137.769,83.463
73,13.3353,4.41249,176.381,191.933,3.07258,9.03863,1,7.19862,38.4123,184.981,106.565,83.9213,63.7889
74,16.331,4.23302,74.394,178.235,1.44586,7.94281,1,9.45636,59.1962,185.068,104.468,30.39,47.4589
75,8.67449,3.6548,72.202,199,2.40275,10.0812,1,1.67165,49.718,182.102,101.92,140.68,75.2659
76,11.814,1.65188,132.175,138.455,1.30211,10.5639,1.01324,2.95463,7.37276,140.742,102.247,86.1209,33.0007
