 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2016      31      31  hru31          0.000       0.000      -5.338      -9.681          120.000           13.200            0.000            0.000           20.612           -4.532            3.533            3.881            1.100            0.000            0.000          110.653           20.075            0.000            0.000
   366    12    31  2016      32      32  hru32          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      33      33  hru33          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      34      34  hru34          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      35      35  hru35          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      36      36  hru36          0.000       0.000      -0.701     -10.344            0.000            0.000            0.000            0.000           17.306           -4.016            2.967            0.102            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      37      37  hru37          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      38      38  hru38          0.000       0.000      -4.928      -9.615          120.000           13.200            0.000           53.509           25.560           -5.257            4.381            3.944            1.121            0.000            0.000          112.993           20.513            0.000            0.000
   366    12    31  2016      39      39  hru39          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      40      40  hru40          0.000       0.000      -4.887      -9.617          120.000           13.200            0.000           63.358           25.976           -5.317            4.452            3.945            1.121            0.000            0.000          112.993           20.513            0.000            0.000
   366    12    31  2016      41      41  hru41          0.000       0.000      -4.816      -9.649          120.000           13.200            0.000            0.000           19.080           -4.190            3.271            3.699            1.047            0.000            0.000          104.737           19.003            0.000            0.000
   366    12    31  2016      42      42  hru42          0.000       0.000      16.834      -0.360            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016      43      43  hru43          0.000       0.000      16.834      -0.360            0.000            0.000            0.000            1.197           15.230            4.032            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016      44      44  hru44          0.000       0.000      -4.267      -9.585          120.000           13.200            0.000            0.000           18.449           -4.074            3.163            3.528            0.997            0.000            0.000           99.398           18.038            0.000            0.000
   366    12    31  2016      45      45  hru45          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      46      46  hru46          0.000       0.000      -0.595     -10.330            0.000            0.000            0.000            0.000           18.025           -4.194            3.090            0.099            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      47      47  hru47          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      48      48  hru48          0.000       0.000      -0.691     -10.343            0.000            0.000            0.000            0.000           17.377           -4.031            2.979            0.102            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      49      49  hru49          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      50      50  hru50          0.000       0.000      -0.641     -10.338            0.000            0.000            0.000            0.000           17.720           -4.090            3.038            0.101            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      51      51  hru51          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      52      52  hru52          0.000       0.000      -0.595     -10.330            0.000            0.000            0.000            0.000           18.023           -4.193            3.090            0.099            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      53      53  hru53          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      54      54  hru54          0.000       0.000      16.834      -0.360            0.000            0.000            0.000            1.197           15.230            4.032            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016      55      55  hru55          0.000       0.000      -0.596     -10.330            0.000            0.000            0.000            0.000           18.018           -4.191            3.089            0.099            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      56      56  hru56          0.000       0.000      16.834      -0.360            0.000            0.000            0.000            1.197           15.230            4.032            2.588          165.233           31.327            0.000            0.000           55.333           10.296            0.000            0.000
   366    12    31  2016      57      57  hru57          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      58      58  hru58          0.000       0.000      -3.830      -9.535          120.000           13.200            0.000            0.000           18.102           -4.019            3.103            3.406            0.961            0.000            0.000           95.454           17.325            0.000            0.000
   366    12    31  2016      59      59  hru59          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      60      60  hru60          0.000       0.000      -0.633     -10.337            0.000            0.000            0.000            0.000           17.779           -4.107            3.048            0.101            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      61      61  hru61          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      62      62  hru62          0.000       0.000      -0.672     -10.341            0.000            0.000            0.000            0.000           17.513           -4.055            3.002            0.102            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      63      63  hru63          0.000       0.000      16.834      -0.359            0.000            0.000            0.000            1.197           15.230            4.033            2.588          165.233           31.327            0.000            0.000           55.334           10.296            0.000            0.000
   366    12    31  2016      64      64  hru64          0.000       0.000      -0.599     -10.331            0.000            0.000            0.000            0.000           17.997           -4.185            3.085            0.099            0.019            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2016      65      65  hru65          0.000       0.000      -0.621     -10.335            0.000            0.000            0.000            0.000           17.852           -4.138            3.060            0.101            0.019            0.000            0.000            0.000            0.000            0.000            0.000
