 prueba                    SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2022      34     340  aqu340                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      35     350  aqu350                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      36     360  aqu360                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      37     370  aqu370                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.874          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      38     380  aqu380                    0.000          4.629        266.562          2.598          0.130         13.273          0.039          0.000          0.500          0.000          0.339          0.337          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      39     390  aqu390                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      40     400  aqu400                    0.000          4.622        266.926          4.119          0.206         14.721          0.053          0.000          0.500          0.000          0.460          0.457          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      41     410  aqu410                    0.000          4.636        266.210          0.029          0.001         10.817          0.007          0.000          0.500          0.000          0.064          0.064          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      42     420  aqu420                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.873          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      43     430  aqu430                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.873          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      44     440  aqu440                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      45     450  aqu450                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      46     460  aqu460                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      47     470  aqu470                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      48     480  aqu480                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      49     490  aqu490                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      50     500  aqu500                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      51     510  aqu510                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      52     520  aqu520                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      53     530  aqu530                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      54     540  aqu540                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.873          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      55     550  aqu550                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      56     560  aqu560                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.873          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      57     570  aqu570                    0.000          4.628        266.595          1.494          0.075         12.216          0.338          0.000          0.500          0.000          2.874          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      58     580  aqu580                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      59     590  aqu590                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      60     600  aqu600                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      61     610  aqu610                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      62     620  aqu620                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      63     630  aqu630                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      64     640  aqu640                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      65     650  aqu650                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      66     660  aqu660                    0.000          4.628        266.603          1.494          0.075         12.205          0.338          0.000          0.500          0.000          2.873          2.868          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      67     670  aqu670                    0.000          4.628        266.600          1.494          0.075         12.203          0.338          0.000          0.500          0.000          2.874          2.869          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      68     680  aqu680                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2022      69     690  aqu690                    0.000          4.636        266.213          0.000          0.000         10.784          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
