 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   366    12    31  2000       1       1  cha001               0.1136E+02     0.5736E+05     0.6523E+05     0.4158E+05     0.3914E+04     0.4353E-03     0.6498E-02     0.9594E-03     0.8342E+03     0.6364E-02     0.2042E+00     0.0000E+00     0.0000E+00     0.1359E+03     0.1730E+05     0.1424E-04     0.2509E-04     0.1424E-04     0.1424E-04     0.1424E-04     0.0000E+00     0.9275E+01     0.6770E-01     0.1034E+03     0.1348E+04     0.1979E+03     0.4431E+05     0.8051E+02     0.5451E+04     0.0000E+00     0.0000E+00     0.2126E+09     0.7631E+07     0.1332E-01     0.5839E+01     0.1332E-01     0.1332E-01     0.1332E-01     0.0000E+00     0.8860E+01     0.6564E-01     0.5720E+04     0.1342E+04     0.1969E+03     0.4431E+05     0.8051E+02     0.5451E+04     0.0000E+00     0.0000E+00     0.2126E+09     0.7631E+07     0.1332E-01     0.5839E+01     0.1332E-01     0.1332E-01     0.1332E-01     0.0000E+00     0.8818E+01     0.9275E+01
   366    12    31  2000       2       2  cha002               0.1870E+01     0.1261E+05     0.9018E+04     0.6846E+04     0.9264E+03     0.2135E-08     0.1500E-06     0.3209E-06     0.1478E+03     0.2001E-02     0.1964E-01     0.0000E+00     0.0000E+00     0.4434E-03     0.1514E+04     0.1623E-05     0.1623E-05     0.1623E-05     0.1623E-05     0.1623E-05     0.0000E+00     0.5863E+01     0.5163E-01     0.8648E+01     0.2689E+03     0.3758E+02     0.8438E+05     0.5609E+02     0.3743E+03     0.0000E+00     0.0000E+00     0.1542E+08     0.3905E+07     0.7294E-02     0.7294E-02     0.7294E-02     0.7294E-02     0.7294E-02     0.0000E+00     0.4900E+01     0.5135E-01     0.2403E+05     0.2686E+03     0.3754E+02     0.8438E+05     0.5609E+02     0.3743E+03     0.0000E+00     0.0000E+00     0.1542E+08     0.3905E+07     0.7294E-02     0.7294E-02     0.7294E-02     0.7294E-02     0.7294E-02     0.0000E+00     0.4892E+01     0.9275E+01
   366    12    31  2000       3       3  cha003               0.5336E+01     0.2694E+05     0.3066E+05     0.1953E+05     0.5302E+04     0.1210E+02     0.4729E-03     0.7442E-04     0.6516E+03     0.1941E+00     0.3673E+01     0.0000E+00     0.0000E+00     0.2693E-01     0.2789E+05     0.1199E-03     0.1199E-03     0.1199E-03     0.1199E-03     0.1199E-03     0.0000E+00     0.9275E+01     0.7998E+00     0.3768E+05     0.6690E+04     0.9354E+03     0.1708E+06     0.1027E+04     0.7858E+05     0.0000E+00     0.0000E+00     0.3115E+10     0.4312E+08     0.4151E+00     0.5882E+02     0.4151E+00     0.4151E+00     0.4151E+00     0.0000E+00     0.7886E+01     0.7988E+00     0.3783E+05     0.6688E+04     0.9350E+03     0.1708E+06     0.1027E+04     0.7858E+05     0.0000E+00     0.0000E+00     0.3115E+10     0.4312E+08     0.4151E+00     0.5882E+02     0.4151E+00     0.4151E+00     0.4151E+00     0.0000E+00     0.7884E+01     0.9275E+01
   366    12    31  2000       4       4  cha004               0.4418E+01     0.2230E+05     0.2533E+05     0.1617E+05     0.6717E+04     0.2050E+02     0.5360E-04     0.1325E-04     0.1211E+04     0.6176E-01     0.1017E+01     0.0000E+00     0.0000E+00     0.1506E+01     0.2911E+05     0.9628E-04     0.9637E-04     0.9628E-04     0.9628E-04     0.9628E-04     0.0000E+00     0.9275E+01     0.2819E+00     0.3331E+05     0.2220E+04     0.3127E+03     0.1543E+06     0.4552E+03     0.1791E+05     0.0000E+00     0.0000E+00     0.3635E+09     0.2454E+08     0.1705E+00     0.9215E+01     0.1705E+00     0.1705E+00     0.1705E+00     0.0000E+00     0.7964E+01     0.2811E+00     0.3326E+05     0.2218E+04     0.3124E+03     0.1543E+06     0.4552E+03     0.1791E+05     0.0000E+00     0.0000E+00     0.3635E+09     0.2454E+08     0.1705E+00     0.9215E+01     0.1705E+00     0.1705E+00     0.1705E+00     0.0000E+00     0.7961E+01     0.9275E+01
   366    12    31  2000       5       5  cha005               0.3319E+01     0.1676E+05     0.1903E+05     0.1215E+05     0.3168E+04     0.1120E+02     0.2686E-05     0.3082E-05     0.5615E+03     0.3308E-01     0.5416E+00     0.0000E+00     0.0000E+00     0.1788E-01     0.1370E+05     0.4762E-04     0.4763E-04     0.4762E-04     0.4762E-04     0.4762E-04     0.0000E+00     0.9275E+01     0.2478E+00     0.3173E+05     0.1971E+04     0.2767E+03     0.1286E+06     0.3942E+03     0.1606E+05     0.0000E+00     0.0000E+00     0.3097E+09     0.1935E+08     0.1474E+00     0.8829E+01     0.1474E+00     0.1474E+00     0.1474E+00     0.0000E+00     0.7949E+01     0.2472E+00     0.3191E+05     0.1970E+04     0.2765E+03     0.1286E+06     0.3942E+03     0.1606E+05     0.0000E+00     0.0000E+00     0.3097E+09     0.1935E+08     0.1474E+00     0.8829E+01     0.1474E+00     0.1474E+00     0.1474E+00     0.0000E+00     0.7946E+01     0.9275E+01
   366    12    31  2000       6       6  cha006               0.8568E+00     0.4326E+04     0.4912E+04     0.3136E+04     0.3498E+04     0.1255E+02     0.3118E-05     0.3443E-05     0.6285E+03     0.3280E-01     0.5378E+00     0.0000E+00     0.0000E+00     0.1572E-01     0.1521E+05     0.5191E-04     0.5191E-04     0.5191E-04     0.5191E-04     0.5191E-04     0.0000E+00     0.9275E+01     0.2381E+00     0.3187E+05     0.2050E+04     0.2878E+03     0.1293E+06     0.3722E+03     0.1535E+05     0.0000E+00     0.0000E+00     0.3096E+09     0.1919E+08     0.1435E+00     0.8825E+01     0.1435E+00     0.1435E+00     0.1435E+00     0.0000E+00     0.7922E+01     0.2380E+00     0.3173E+05     0.1971E+04     0.2767E+03     0.1278E+06     0.3659E+03     0.1535E+05     0.0000E+00     0.0000E+00     0.3096E+09     0.1919E+08     0.1435E+00     0.8825E+01     0.1435E+00     0.1435E+00     0.1435E+00     0.0000E+00     0.7921E+01     0.9275E+01
   366    12    31  2000       7       7  cha007               0.1422E+01     0.7982E+04     0.1021E+05     0.5206E+04     0.1508E+04     0.6462E+01     0.3913E-06     0.1151E-05     0.2719E+03     0.9554E-02     0.1454E+00     0.0000E+00     0.0000E+00     0.1368E-03     0.5771E+04     0.1427E-04     0.1427E-04     0.1427E-04     0.1427E-04     0.1427E-04     0.0000E+00     0.1029E+02     0.1409E+00     0.3150E+05     0.9754E+03     0.1350E+03     0.1110E+06     0.2091E+03     0.4961E+04     0.0000E+00     0.0000E+00     0.1152E+09     0.1420E+08     0.7390E-01     0.2920E+01     0.7390E-01     0.7390E-01     0.7390E-01     0.0000E+00     0.9511E+01     0.1406E+00     0.3154E+05     0.9750E+03     0.1349E+03     0.1110E+06     0.2091E+03     0.4961E+04     0.0000E+00     0.0000E+00     0.1152E+09     0.1420E+08     0.7390E-01     0.2920E+01     0.7390E-01     0.7390E-01     0.7390E-01     0.0000E+00     0.9508E+01     0.9275E+01
   366    12    31  2000       8       8  cha008               0.2854E+01     0.1602E+05     0.2049E+05     0.1045E+05     0.2870E+04     0.1236E+02     0.1662E-05     0.2254E-05     0.5109E+03     0.1807E-01     0.2436E+00     0.0000E+00     0.0000E+00     0.2117E-01     0.1070E+05     0.2005E-04     0.2005E-04     0.2005E-04     0.2005E-04     0.2005E-04     0.0000E+00     0.1029E+02     0.1422E+00     0.3083E+05     0.9658E+03     0.1336E+03     0.1085E+06     0.2064E+03     0.4830E+04     0.0000E+00     0.0000E+00     0.1126E+09     0.1369E+08     0.5205E-01     0.2898E+01     0.5205E-01     0.5205E-01     0.5205E-01     0.0000E+00     0.9613E+01     0.1416E+00     0.3104E+05     0.9650E+03     0.1335E+03     0.1085E+06     0.2064E+03     0.4830E+04     0.0000E+00     0.0000E+00     0.1126E+09     0.1369E+08     0.5205E-01     0.2898E+01     0.5205E-01     0.5205E-01     0.5205E-01     0.0000E+00     0.9608E+01     0.9275E+01
   366    12    31  2000       9       9  cha009               0.6059E-01     0.3400E+03     0.4350E+03     0.2218E+03     0.4299E+02     0.1879E+00     0.1059E-07     0.3177E-07     0.7707E+01     0.2505E-03     0.2099E-02     0.0000E+00     0.0000E+00     0.3343E-17     0.1610E+03     0.2658E-06     0.2658E-06     0.2658E-06     0.2658E-06     0.2658E-06     0.0000E+00     0.1029E+02     0.1311E+00     0.3078E+05     0.6523E+03     0.9059E+02     0.1080E+06     0.1998E+03     0.4275E+04     0.0000E+00     0.0000E+00     0.8007E+08     0.1352E+08     0.4474E-01     0.1949E+01     0.4474E-01     0.4474E-01     0.4474E-01     0.0000E+00     0.9819E+01     0.1311E+00     0.3082E+05     0.6523E+03     0.9059E+02     0.1080E+06     0.1998E+03     0.4275E+04     0.0000E+00     0.0000E+00     0.8007E+08     0.1352E+08     0.4474E-01     0.1949E+01     0.4474E-01     0.4474E-01     0.4474E-01     0.0000E+00     0.9819E+01     0.9275E+01
