 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   365    12    31  2001      10      10  cha010               0.8321E+03     0.2409E+05     0.3329E+05     0.1666E+05     0.1031E+03     0.1997E+02     0.8347E-06     0.2504E-05     0.5559E+01     0.3512E-02     0.5241E-01     0.0000E+00     0.0000E+00     0.2200E-08     0.1578E+04     0.2165E-04     0.2165E-04     0.2165E-04     0.2165E-04     0.2165E-04     0.0000E+00     0.1006E+02     0.8314E-01     0.3360E+05     0.6221E+02     0.8555E+01     0.1386E+06     0.9331E+02     0.2838E+04     0.0000E+00     0.0000E+00     0.1324E+08     0.1225E+08     0.3627E-01     0.9956E+00     0.3627E-01     0.3627E-01     0.3627E-01     0.0000E+00     0.4392E+03     0.7322E-01     0.3259E+05     0.6211E+02     0.8540E+01     0.1339E+06     0.7758E+02     0.1621E+04     0.0000E+00     0.0000E+00     0.1324E+08     0.1186E+08     0.3398E-01     0.9878E+00     0.3398E-01     0.3398E-01     0.3398E-01     0.0000E+00     0.5138E+03     0.1264E+02
   365    12    31  2001      11      11  cha011               0.9539E+03     0.2798E+05     0.3031E+05     0.1910E+05     0.1020E+04     0.2776E+01     0.1822E-05     0.5467E-05     0.2029E+02     0.8325E-01     0.3164E+01     0.0000E+00     0.0000E+00     0.5597E-06     0.1137E+05     0.1302E-03     0.1302E-03     0.1302E-03     0.1302E-03     0.1302E-03     0.0000E+00     0.1212E+02     0.4230E+00     0.4328E+04     0.3868E+04     0.5416E+03     0.6111E+05     0.3400E+03     0.4437E+05     0.0000E+00     0.0000E+00     0.2519E+10     0.2384E+08     0.2355E+00     0.5272E+02     0.2355E+00     0.2355E+00     0.2355E+00     0.0000E+00     0.2994E+02     0.4220E+00     0.4423E+04     0.3814E+04     0.5340E+03     0.6108E+05     0.3383E+03     0.4437E+05     0.0000E+00     0.0000E+00     0.2519E+10     0.2384E+08     0.2355E+00     0.5272E+02     0.2355E+00     0.2355E+00     0.2355E+00     0.0000E+00     0.3003E+02     0.1264E+02
   365    12    31  2001      12      12  cha012               0.2355E+02     0.6906E+03     0.7515E+03     0.4716E+03     0.3540E+03     0.1590E+01     0.8168E-06     0.2451E-05     0.7651E+01     0.2926E-01     0.1412E+01     0.0000E+00     0.0000E+00     0.6497E-10     0.5333E+04     0.5110E-04     0.5110E-04     0.5110E-04     0.5110E-04     0.5110E-04     0.0000E+00     0.1212E+02     0.2856E+00     0.5549E+04     0.4937E+04     0.6977E+03     0.5323E+05     0.2060E+03     0.3136E+05     0.0000E+00     0.0000E+00     0.1632E+10     0.1998E+08     0.1700E+00     0.4335E+02     0.1700E+00     0.1700E+00     0.1700E+00     0.0000E+00     0.4575E+02     0.2855E+00     0.5484E+04     0.4819E+04     0.6811E+03     0.5290E+05     0.2039E+03     0.3136E+05     0.0000E+00     0.0000E+00     0.1632E+10     0.1998E+08     0.1700E+00     0.4335E+02     0.1700E+00     0.1700E+00     0.1700E+00     0.0000E+00     0.4576E+02     0.1264E+02
   365    12    31  2001      13      13  cha013               0.1059E+03     0.3107E+04     0.3375E+04     0.2122E+04     0.1471E+03     0.6617E+00     0.2588E-06     0.7765E-06     0.2990E+01     0.1207E-01     0.5730E+00     0.0000E+00     0.0000E+00     0.1452E-15     0.1934E+04     0.1627E-04     0.1627E-04     0.1627E-04     0.1627E-04     0.1627E-04     0.0000E+00     0.1212E+02     0.2409E+00     0.5518E+04     0.4946E+04     0.6980E+03     0.4838E+05     0.1912E+03     0.2748E+05     0.0000E+00     0.0000E+00     0.1621E+10     0.1657E+08     0.1294E+00     0.3241E+02     0.1294E+00     0.1294E+00     0.1294E+00     0.0000E+00     0.5419E+02     0.2408E+00     0.5511E+04     0.4909E+04     0.6929E+03     0.4836E+05     0.1902E+03     0.2748E+05     0.0000E+00     0.0000E+00     0.1621E+10     0.1657E+08     0.1294E+00     0.3241E+02     0.1294E+00     0.1294E+00     0.1294E+00     0.0000E+00     0.5423E+02     0.1264E+02
   365    12    31  2001      14      14  cha014               0.6653E+03     0.2716E+05     0.2000E+05     0.1332E+05     0.7677E+03     0.2690E+02     0.2798E-01     0.4144E-02     0.6684E+01     0.3522E-02     0.7268E+00     0.0000E+00     0.0000E+00     0.6087E+05     0.4066E+04     0.1611E-04     0.8389E-03     0.1611E-04     0.1611E-04     0.1611E-04     0.0000E+00     0.7812E+01     0.3804E+00     0.9526E+05     0.1407E+04     0.2141E+03     0.3151E+06     0.1962E+03     0.1876E+04     0.0000E+00     0.0000E+00     0.1000E+09     0.1911E+08     0.5511E-01     0.6978E+01     0.5511E-01     0.5511E-01     0.5511E-01     0.0000E+00     0.2196E+02     0.3798E+00     0.1045E+06     0.1406E+04     0.2139E+03     0.3151E+06     0.1962E+03     0.1876E+04     0.0000E+00     0.0000E+00     0.1000E+09     0.1911E+08     0.5511E-01     0.6978E+01     0.5511E-01     0.5511E-01     0.5511E-01     0.0000E+00     0.2201E+02     0.1264E+02
   365    12    31  2001      15      15  cha015               0.3002E+03     0.8803E+04     0.9557E+04     0.6012E+04     0.5851E+04     0.8056E-01     0.7106E-04     0.4392E-04     0.7119E+02     0.4812E+00     0.2855E+02     0.0000E+00     0.0000E+00     0.1502E+02     0.7040E+05     0.4392E-03     0.5533E-03     0.4392E-03     0.4392E-03     0.4392E-03     0.0000E+00     0.1212E+02     0.1867E+00     0.3767E+03     0.5850E+04     0.8152E+03     0.3328E+05     0.2099E+03     0.2216E+05     0.0000E+00     0.0000E+00     0.1378E+10     0.1064E+08     0.6683E-01     0.2328E+02     0.6683E-01     0.6683E-01     0.6683E-01     0.0000E+00     0.7915E+02     0.1864E+00     0.9732E+02     0.3750E+04     0.5228E+03     0.2852E+05     0.1319E+03     0.2216E+05     0.0000E+00     0.0000E+00     0.1378E+10     0.1064E+08     0.6683E-01     0.2328E+02     0.6683E-01     0.6683E-01     0.6683E-01     0.0000E+00     0.7941E+02     0.1264E+02
   365    12    31  2001      16      16  cha016               0.3184E+03     0.1300E+05     0.6836E+04     0.6377E+04     0.1750E+02     0.6637E+02     0.1488E-06     0.4465E-06     0.2456E+01     0.1490E-06     0.1384E-04     0.0000E+00     0.0000E+00     0.4821E-15     0.1792E+03     0.3215E-05     0.3215E-05     0.3215E-05     0.3215E-05     0.3215E-05     0.0000E+00     0.7812E+01     0.2835E-01     0.2705E+06     0.1131E+00     0.1742E-01     0.1815E+06     0.8006E+01     0.2353E+02     0.0000E+00     0.0000E+00     0.9490E+05     0.5369E+07     0.1305E-01     0.1305E-01     0.1305E-01     0.1305E-01     0.1305E-01     0.0000E+00     0.1906E+04     0.2814E-01     0.2771E+06     0.1130E+00     0.1741E-01     0.1815E+06     0.8006E+01     0.2353E+02     0.0000E+00     0.0000E+00     0.9490E+05     0.5369E+07     0.1305E-01     0.1305E-01     0.1305E-01     0.1305E-01     0.1305E-01     0.0000E+00     0.1975E+04     0.1264E+02
   365    12    31  2001      17      17  cha017               0.4467E+03     0.1310E+05     0.7944E+04     0.8946E+04     0.1621E+02     0.2304E-01     0.7710E-06     0.2313E-05     0.1951E+01     0.1396E-02     0.1159E+00     0.0000E+00     0.0000E+00     0.6184E-05     0.2731E+04     0.4693E-04     0.4693E-04     0.4693E-04     0.4693E-04     0.4693E-04     0.0000E+00     0.1212E+02     0.4496E-01     0.2528E+02     0.3234E+02     0.5587E+01     0.4878E+04     0.1851E+02     0.3121E+04     0.0000E+00     0.0000E+00     0.1061E+08     0.3407E+07     0.4035E-01     0.1094E+02     0.4035E-01     0.4035E-01     0.4035E-01     0.0000E+00     0.1388E+04     0.4471E-01     0.3776E+02     0.2755E+02     0.4855E+01     0.4813E+04     0.1553E+02     0.3121E+04     0.0000E+00     0.0000E+00     0.1061E+08     0.3407E+07     0.4035E-01     0.1094E+02     0.4035E-01     0.4035E-01     0.4035E-01     0.0000E+00     0.1454E+04     0.1264E+02
   365    12    31  2001      18      18  cha018               0.1838E+03     0.5391E+04     0.4180E+04     0.3682E+04     0.2795E+02     0.2498E-01     0.3163E-06     0.9489E-06     0.6091E+01     0.3241E-06     0.7084E-03     0.0000E+00     0.0000E+00     0.9145E-05     0.1225E+04     0.2805E-04     0.2805E-04     0.2805E-04     0.2805E-04     0.2805E-04     0.0000E+00     0.1212E+02     0.3648E-01     0.2930E+03     0.4030E+04     0.5572E+03     0.7211E+04     0.1994E+02     0.8432E+04     0.0000E+00     0.0000E+00     0.8774E+09     0.2045E+07     0.3818E-01     0.7568E+01     0.3818E-01     0.3818E-01     0.3818E-01     0.0000E+00     0.3779E+04     0.3635E-01     0.2713E+03     0.3853E+04     0.5328E+03     0.7190E+04     0.1758E+02     0.8432E+04     0.0000E+00     0.0000E+00     0.8774E+09     0.2045E+07     0.3818E-01     0.7568E+01     0.3818E-01     0.3818E-01     0.3818E-01     0.0000E+00     0.3954E+04     0.1264E+02
   365    12    31  2001      19      19  cha019               0.1342E+04     0.3885E+05     0.4410E+05     0.2687E+05     0.1103E+02     0.2823E-07     0.9279E-06     0.2764E-05     0.8731E+00     0.9208E-06     0.2246E-02     0.0000E+00     0.0000E+00     0.2834E-01     0.1626E+04     0.2680E-04     0.2680E-04     0.2680E-04     0.2680E-04     0.2680E-04     0.0000E+00     0.1006E+02     0.1777E-01     0.2557E+02     0.1889E+03     0.2756E+02     0.4009E+05     0.1394E+02     0.8919E+03     0.0000E+00     0.0000E+00     0.4720E+08     0.5284E+07     0.1720E-01     0.4219E+00     0.1720E-01     0.1720E-01     0.1720E-01     0.0000E+00     0.2191E+05     0.1637E-01     0.1385E+04     0.1878E+03     0.2739E+02     0.4009E+05     0.1394E+02     0.8919E+03     0.0000E+00     0.0000E+00     0.4720E+08     0.5284E+07     0.1720E-01     0.4219E+00     0.1720E-01     0.1720E-01     0.1720E-01     0.0000E+00     0.1040E+06     0.1264E+02
