 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2001      13      13  cha013               0.2412E+00     0.0000E+00     0.2411E+00     0.4117E+00     0.5518E+04     0.5511E+04     0.5511E+04     0.3145E+01     0.5836E+01     0.0000E+00     0.1692E+01     0.0000E+00     0.1828E+02     0.7613E+00     0.1840E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.9167E+02     0.0000E+00     0.9163E+02     0.6061E+00     0.1459E+03     0.2419E+01     0.7613E+00     0.0000E+00
   365    12    31  2001      14      14  cha014               0.3812E+00     0.0000E+00     0.3805E+00     0.6679E+00     0.9526E+05     0.1045E+06     0.1045E+06     0.1403E+03     0.0000E+00     0.4015E+00     0.9424E+04     0.0000E+00     0.1613E+02     0.7004E+00     0.1929E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1784E+03     0.0000E+00     0.1781E+03     0.2683E+02     0.8673E+03     0.1124E+01     0.7004E+00     0.0000E+00
   365    12    31  2001      15      15  cha015               0.1870E+00     0.0000E+00     0.1867E+00     0.3376E+00     0.3767E+03     0.9732E+02     0.9732E+02     0.5243E+01     0.2741E+03     0.0000E+00     0.1619E-05     0.0000E+00     0.1406E+02     0.6392E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1100E+03     0.0000E+00     0.1098E+03     0.4507E+00     0.8840E+02     0.1794E+01     0.6392E+00     0.0000E+00
   365    12    31  2001      16      16  cha016               0.2837E-01     0.0000E+00     0.2815E-01     0.5947E-01     0.2705E+06     0.2771E+06     0.2771E+06     0.5656E+03     0.0000E+00     0.0000E+00     0.7171E+04     0.0000E+00     0.7596E+01     0.4239E+00     0.4598E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4660E+02     0.0000E+00     0.4624E+02     0.6604E+02     0.4974E+03     0.2198E-01     0.4239E+00     0.0000E+00
   365    12    31  2001      17      17  cha017               0.4502E-01     0.0000E+00     0.4477E-01     0.9057E-01     0.2528E+02     0.3776E+02     0.3776E+02     0.2021E+00     0.7285E+00     0.0000E+00     0.1341E+02     0.0000E+00     0.8914E+01     0.4716E+00     0.2670E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5663E+02     0.0000E+00     0.5632E+02     0.2539E-01     0.1326E+02     0.5584E-01     0.4716E+00     0.0000E+00
   365    12    31  2001      18      18  cha018               0.3652E-01     0.0000E+00     0.3639E-01     0.7873E-01     0.2930E+03     0.2713E+03     0.2713E+03     0.1160E+01     0.2124E+02     0.0000E+00     0.6767E+00     0.0000E+00     0.6830E+01     0.3949E+00     0.2270E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7161E+02     0.0000E+00     0.7135E+02     0.1316E+00     0.3025E+02     0.1508E+01     0.3949E+00     0.0000E+00
   365    12    31  2001      19      19  cha019               0.1779E-01     0.0000E+00     0.1640E-01     0.3653E-01     0.2557E+02     0.1385E+04     0.1385E+04     0.3142E+00     0.0000E+00     0.0000E+00     0.1360E+04     0.0000E+00     0.8232E+01     0.4472E+00     0.1655E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2556E+02     0.0000E+00     0.2355E+02     0.3136E-01     0.1104E+03     0.1132E+00     0.4472E+00     0.0000E+00
   365    12    31  2001      20      20  cha020               0.6796E-01     0.0000E+00     0.6769E-01     0.1425E+00     0.2872E+03     0.2734E+03     0.2734E+03     0.1677E+01     0.1254E+02     0.0000E+00     0.4869E+00     0.0000E+00     0.7579E+01     0.4233E+00     0.1850E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1120E+03     0.0000E+00     0.1116E+03     0.1923E+00     0.4402E+02     0.5916E+00     0.4233E+00     0.0000E+00
   365    12    31  2001      21      21  cha021               0.6176E-01     0.0000E+00     0.6071E-01     0.1268E+00     0.9223E+01     0.5400E+04     0.5400E+04     0.7303E-01     0.0000E+00     0.0000E+00     0.5391E+04     0.0000E+00     0.8223E+01     0.4469E+00     0.2771E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.8889E+02     0.0000E+00     0.8736E+02     0.6918E-02     0.1568E+03     0.1171E+00     0.4469E+00     0.0000E+00
   365    12    31  2001      22      22  cha022               0.4770E-01     0.0000E+00     0.4722E-01     0.9638E-01     0.2783E+01     0.7591E+01     0.7591E+01     0.1291E-01     0.2595E+00     0.0000E+00     0.5081E+01     0.0000E+00     0.8764E+01     0.4663E+00     0.3330E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6173E+02     0.0000E+00     0.6112E+02     0.1776E-02     0.3732E+02     0.9169E-01     0.4663E+00     0.0000E+00
