 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    366    12    31  2000     15       0  rtu0150              575.338       0.118       0.118     294.929       0.082     295.011      96.719     512.649      21.212     273.619     217.818     298.527      72.381      88.197     277.799     189.028      26.397       0.000       0.000       0.000     890.969       0.000       0.000       0.000       0.000       0.000     298.527       0.000       0.000       0.082       0.000       0.000     508.000      48.580      47.600     189.602     491.135       0.814      99.713      15.807      94.346       2.514
    366    12    31  2000     16       0  rtu0160              872.183       0.000       0.000       8.056      10.983      19.039      13.293     483.462      39.585     383.830      60.046       8.055      53.942     144.479     498.934     174.387      26.450       0.000       0.000       0.000    1170.628       0.000       0.000       0.000       0.000       0.000       8.055       0.000       0.000      10.983       0.000       0.000       0.000       0.027       0.027     354.456       1.280      34.059       0.000       0.000       0.000       0.000
    366    12    31  2000     17       0  rtu0170              504.895       0.000       0.000      10.134       0.036      10.171      20.822     452.751      22.815     193.431     236.505      10.317      63.111      82.506     196.491      96.258      15.671       0.000       0.000       0.000    1081.577       0.000       0.000       0.000       0.000       0.000      10.317       0.000       0.000       0.036       0.000       0.000      92.682       3.796       3.677     113.985      16.660       0.478      10.438       0.346       0.177       0.009
    366    12    31  2000     18       0  rtu0180              504.915       0.000       0.000      66.397       0.018      66.415      14.777     416.133      13.459     121.676     280.997      66.693      71.843      82.978     165.641      83.889      12.304       0.000       0.000       0.000    1081.640       0.000       0.000       0.000       0.000       0.000      66.693       0.000       0.000       0.018       0.000       0.000      75.371       1.028       0.838      82.663       7.699       0.197       2.123       0.000       0.000       0.000
    366    12    31  2000     19       0  rtu0190              560.579       0.000       0.000      14.698      12.620      27.318     145.278     357.622      33.921     269.198      54.502      14.700      42.702      72.940     293.835     143.925      15.705       0.000       0.000       0.000     942.424       0.000       0.000       0.000       0.000       0.000      14.700       0.000       0.000      12.620       0.000       0.000     190.835       9.949       9.948     220.895       3.397      24.323       2.492       0.000       0.000       0.000
    366    12    31  2000     20       0  rtu0200              563.726       0.008       0.008     109.836       0.067     109.903       9.007     358.961      22.014     176.644     160.303     109.844      69.155     104.498     288.015     133.250      16.010       0.000       0.000       0.000     934.750       0.000      15.584       0.000       0.000       0.000     109.844       0.000       0.000       0.067       0.000       0.000      76.859       0.021       0.021     183.517       1.865       0.716       0.007       0.000       0.000       0.000
    366    12    31  2000     21       0  rtu0210              870.403       0.063       0.063      67.618      46.120     113.739     433.586     456.062      39.009     356.027      61.026      67.620      41.228      87.683     368.413     187.536      15.527       0.000       0.000       0.009    1171.248       0.000       3.112       0.000       0.000       0.000      67.620       0.000       0.000      46.120       0.000       0.000     410.225      61.019      61.017     280.730       1.402      49.891       1.355       0.000       0.000       0.000
    366    12    31  2000     22       0  rtu0220              554.570       0.050       0.050      59.335       0.554      59.889      23.097     392.203      35.393     213.579     143.231      59.335      62.362      88.380     273.347     152.353      21.475       0.000       0.000       0.000     892.235       0.000       0.866       0.000       0.000       0.000      59.335       0.000       0.000       0.554       0.000       0.000     104.786       2.862       2.862     184.967       5.417       3.675       1.519       0.000       0.000       0.000
    366    12    31  2000     23       0  rtu0230              872.217       0.003       0.003      73.399      41.429     114.828     377.358     482.205      39.202     380.622      62.381      73.400      45.064     110.572     420.143     177.658      19.916       0.000       0.000       0.000    1171.318       0.000       0.322       0.000       0.000       0.000      73.400       0.000       0.000      41.429       0.000       0.000     412.211      64.848      64.847     309.571       3.985      48.637       3.228       0.000       0.000       0.000
    366    12    31  2000     24       0  rtu0240              584.290       0.001       0.001      18.189      23.913      42.103      52.517     382.065      32.864     302.162      47.040      18.192      43.409      80.470     288.652     134.429      14.755       0.000       0.000       0.000    1090.630       0.000       0.000       0.000       0.000       0.000      18.192       0.000       0.000      23.913       0.000       0.000     101.026      13.943      13.940     208.182      11.724      71.081      10.922       0.000       0.000       0.000
