 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    365    12    31  2001     24       0  rtu0240                2.411   50335.453       9.315    2468.659      14.254      99.727      10.416      97.042       0.001       0.002       0.000      72.686     127.094       0.000      22.313       8.919      15.616      12.278       2.283       0.665       0.513       0.000       0.000       0.000       0.000
    365    12    31  2001     25       0  rtu0250                2.527   50822.871       7.049    2450.689      14.359      92.202      11.430      94.840       0.000       0.003       0.000      74.380     129.141       0.000      22.312       9.189      15.750      11.812       2.299       0.720       0.505       0.000       0.000       0.000       0.000
    365    12    31  2001     26       0  rtu0260                0.110    3414.619       0.000     675.431      15.259       6.026       7.545      11.656       0.000       0.000       0.000       7.262     126.027       0.000      20.105      10.890      15.497      16.579       3.498       0.762       0.473       0.000       0.000       0.000       0.000
    365    12    31  2001     27       0  rtu0270                0.864   15904.654     148.426    1671.471      15.224      46.231       6.112      29.578       0.000       0.064       0.000      24.937      43.698       0.000      20.105      10.890      15.497      16.579       3.498       0.762       0.473       0.000       0.000       0.000       0.000
    365    12    31  2001     28       0  rtu0280                0.483   17605.131       0.000    1993.590      15.259      14.966     144.947      71.241       0.000       0.000       0.000      18.394     200.993       0.000      20.105      10.890      15.497      16.580       3.498       0.762       0.473       0.000       0.000       0.000       0.000
    365    12    31  2001     29       0  rtu0290                0.348   12968.850       1.518    1361.433      15.271      17.717      99.925      51.993       0.001       0.110       0.000      16.333     334.088       0.000      20.121      10.878      15.499      16.580       3.498       0.762       0.471       0.000       0.000       0.000       0.000
    365    12    31  2001     30       0  rtu0300                0.342   11240.218     146.423    1413.725      15.268      18.693      86.642      50.724       0.000       0.139       0.000      13.798     216.175       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     31       0  rtu0310                1.312   31813.021     197.356    2399.237      15.247      64.237      20.058      87.418       0.010       0.103       0.000      59.102     130.986       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     32       0  rtu0320                2.934   53894.961       0.000    2605.260      15.256      73.940      88.688     115.136       0.000       0.000       0.000      88.465     194.912       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     33       0  rtu0330                1.928   36586.031    1226.908    2601.723      15.218      66.491      30.221     106.056       0.000       0.437       0.000      58.232     124.404       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     34       0  rtu0340                2.626   50400.492      16.673    2451.320      15.219      93.053      39.642     105.530       0.343       0.005       0.000      92.792     126.356       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     35       0  rtu0350                1.938   38080.578     432.195    2230.454      15.202      79.567      36.887      99.186       0.349       0.169       0.000      70.019     147.774       0.000      20.177      10.831      15.504      16.579       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     36       0  rtu0360                2.295   46139.918     281.347    2437.534      15.164      95.906       3.131     113.608       0.000       0.125       0.000      71.898      39.321       0.000      20.175      10.830      15.502      16.579       3.497       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     37       0  rtu0370                0.429      16.020       7.834    1277.215      11.503       0.000      88.541      46.667       0.000       2.168       0.000       0.000     316.646       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     38       0  rtu0380                0.522    6796.169      64.941     873.655      11.514      15.030      64.229      43.479       0.000       0.863       0.000       8.687     188.058       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     39       0  rtu0390                2.266   48369.871       6.849    2313.787      11.579     104.169      21.989     147.897       0.000       0.001       0.000      75.834     138.115       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     40       0  rtu0400                2.318   41777.812       0.000    2059.567      11.541      34.072     176.791     134.009       0.000       0.000       0.000      58.301     365.275       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     41       0  rtu0410                2.236   48122.059       0.000    2286.425      11.568     104.759      24.970     151.318       0.000       0.000       0.000      74.756     181.975       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     42       0  rtu0420                0.659   14052.323       0.000     669.612      11.484      28.188      10.728      44.418       0.000       0.000       0.000      22.290     139.956       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     43       0  rtu0430                1.629   32998.801     311.399    1867.179      11.508      77.132      53.562     102.236       0.073       0.128       0.000      50.506     178.835       0.000      14.523       8.315      11.419      16.478       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     44       0  rtu0440                1.772   34258.926     546.931    2054.160      11.560      69.408      90.943     107.836       0.335       0.130       0.000      51.056     201.060       0.000      14.650       8.304      11.477      16.489       2.414       0.721       0.337       0.000       0.000       0.000       0.000
    365    12    31  2001     45       0  rtu0450                2.462   52414.043       0.000    2490.729      11.592     108.927      36.334     162.051       0.000       0.000       0.000      82.938     108.463       0.000      14.523       8.315      11.419      16.479       2.386       0.717       0.323       0.000       0.000       0.000       0.000
    365    12    31  2001     46       0  rtu0460                2.220   51029.812       0.000    2627.242      12.390      65.581      41.167     116.537       0.000       0.000       0.000      79.203     157.670       0.000      17.006       8.372      12.689      15.711       4.983       0.743       0.519       0.000       0.000       0.000       0.000
    365    12    31  2001     47       0  rtu0470                2.052   48584.000      70.383    2578.969      12.116      46.084      80.934     131.212       0.006       0.029       0.000      72.977     183.043       0.000      16.188       8.177      12.183      16.573       2.809       0.767       0.503       0.000       0.000       0.000       0.000
    365    12    31  2001     48       0  rtu0480                0.321      29.650      16.070    1220.125      15.278       0.000      82.074      19.922       0.000       1.750       0.000       0.000     317.993       0.000      20.177      10.831      15.504      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
    365    12    31  2001     49       0  rtu0490                0.225    2322.772    1185.170    1106.049      15.271       5.166      23.049      30.235       0.039       0.663       0.000       3.396     136.861       0.000      20.178      10.831      15.505      16.580       3.498       0.761       0.463       0.000       0.000       0.000       0.000
