 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   366    12    31  2000       1       1  cha001               0.6770E-01     0.0000E+00     0.6564E-01     0.1267E+00     0.1034E+03     0.5720E+04     0.5720E+04     0.9785E+00     0.0000E+00     0.0000E+00     0.5618E+04     0.0000E+00     0.1202E+02     0.5755E+00     0.1204E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5192E+02     0.0000E+00     0.5034E+02     0.1463E+00     0.1247E+03     0.7580E+00     0.5755E+00     0.0000E+00
   366    12    31  2000       2       2  cha002               0.5163E-01     0.0000E+00     0.5135E-01     0.1125E+00     0.8648E+01     0.2403E+05     0.2403E+05     0.1756E-01     0.0000E+00     0.0000E+00     0.2403E+05     0.0000E+00     0.6571E+01     0.3849E+00     0.6495E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1083E+03     0.0000E+00     0.1077E+03     0.1564E-02     0.2313E+03     0.2558E+00     0.3849E+00     0.0000E+00
   366    12    31  2000       3       3  cha003               0.7998E+00     0.0000E+00     0.7988E+00     0.1195E+01     0.3768E+05     0.3783E+05     0.3783E+05     0.3146E+02     0.0000E+00     0.1696E+01     0.1807E+03     0.0000E+00     0.3735E+02     0.1226E+01     0.4060E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.9265E+02     0.0000E+00     0.9254E+02     0.1047E+02     0.4848E+03     0.5360E+01     0.1226E+01     0.0000E+00
   366    12    31  2000       4       4  cha004               0.2819E+00     0.0000E+00     0.2811E+00     0.4528E+00     0.3331E+05     0.3326E+05     0.3326E+05     0.7015E+02     0.0000E+00     0.0000E+00     0.2519E+02     0.0000E+00     0.2484E+02     0.9339E+00     0.2360E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6445E+02     0.0000E+00     0.6426E+02     0.1807E+02     0.4276E+03     0.2097E+01     0.9339E+00     0.0000E+00
   366    12    31  2000       5       5  cha005               0.2478E+00     0.0000E+00     0.2472E+00     0.4065E+00     0.3173E+05     0.3191E+05     0.3191E+05     0.4111E+02     0.0000E+00     0.0000E+00     0.2271E+03     0.0000E+00     0.2225E+02     0.8678E+00     0.5580E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6806E+02     0.0000E+00     0.6789E+02     0.9713E+01     0.3567E+03     0.1833E+01     0.8678E+00     0.0000E+00
   366    12    31  2000       6       6  cha006               0.2381E+00     0.0000E+00     0.2380E+00     0.3910E+00     0.3187E+05     0.3173E+05     0.3173E+05     0.4618E+02     0.9660E+02     0.0000E+00     0.1057E-01     0.0000E+00     0.2215E+02     0.8651E+00     0.2800E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.6590E+02     0.0000E+00     0.6586E+02     0.1080E+02     0.3545E+03     0.1756E+01     0.8651E+00     0.0000E+00
   366    12    31  2000       7       7  cha007               0.1409E+00     0.0000E+00     0.1406E+00     0.2415E+00     0.3150E+05     0.3154E+05     0.3154E+05     0.2859E+02     0.0000E+00     0.0000E+00     0.6623E+02     0.0000E+00     0.1790E+02     0.7508E+00     0.5110E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5559E+02     0.0000E+00     0.5546E+02     0.5617E+01     0.3059E+03     0.9399E+00     0.7508E+00     0.0000E+00
   366    12    31  2000       8       8  cha008               0.1422E+00     0.0000E+00     0.1416E+00     0.2454E+00     0.3083E+05     0.3104E+05     0.3104E+05     0.5342E+02     0.0000E+00     0.0000E+00     0.2616E+03     0.0000E+00     0.1733E+02     0.7348E+00     0.6450E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5922E+02     0.0000E+00     0.5895E+02     0.1082E+02     0.2990E+03     0.9286E+00     0.7348E+00     0.0000E+00
   366    12    31  2000       9       9  cha009               0.1311E+00     0.0000E+00     0.1311E+00     0.2268E+00     0.3078E+05     0.3082E+05     0.3082E+05     0.8407E+00     0.0000E+00     0.0000E+00     0.3686E+02     0.0000E+00     0.1715E+02     0.7295E+00     0.1225E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5558E+02     0.0000E+00     0.5557E+02     0.1667E+00     0.2969E+03     0.7935E+00     0.7295E+00     0.0000E+00
