 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2001     15       0  rtu0150              516.919       0.120       0.120     259.797       0.343     260.140     103.171     534.655      16.528     290.301     227.826     259.909      72.777      88.197     173.145     207.253      24.734       0.000       0.000       0.000     942.153       0.000       0.000       0.000       0.000       0.000     259.909       0.000       0.000       0.343       0.000       0.000     400.760      46.807      46.766      42.416     440.949       2.439     103.280      21.207      73.565       2.105
    365    12    31  2001     16       0  rtu0160              743.866       2.727       2.727       4.028      46.813      50.841      69.069     594.510      31.408     478.920      84.183       4.027      53.948     144.479     203.376     229.133      28.988       0.000       0.000       0.001    1180.804       0.000       0.000       0.000       0.000       0.000       4.027       0.000       0.000      46.813       0.000       0.000       0.000       0.013       0.013      29.408       0.639     154.628       0.000       0.000       0.000       0.000
    365    12    31  2001     17       0  rtu0170              534.487       0.000       0.000      19.074       0.064      19.138      37.662     550.958      17.967     254.851     278.139      19.094      63.193      82.506     123.847     131.900      17.855       0.000       0.000       0.000    1145.890       0.000       0.000       0.000       0.000       0.000      19.094       0.000       0.000       0.064       0.000       0.000      93.551       4.667       4.648      20.642      21.982       1.419      13.192       0.367       0.212       0.010
    365    12    31  2001     18       0  rtu0180              534.508       0.000       0.000      90.951       0.026      90.977      31.252     489.812      10.849     167.861     311.102      90.951      72.396      82.978     127.974     115.604      14.761       0.000       0.000       0.000    1145.947       0.000       0.000       0.000       0.000       0.000      90.951       0.000       0.000       0.026       0.000       0.000      99.999       6.023       6.023      22.467      36.035       0.346      15.255       0.000       0.000       0.000
    365    12    31  2001     19       0  rtu0190              527.671       0.954       0.954       8.893      16.664      25.557     169.179     426.472      26.968     324.059      75.445       8.892      42.616      72.940     125.598     142.790      17.206       0.000       0.000       0.000     955.325       0.000       0.000       0.000       0.000       0.000       8.892       0.000       0.000      16.664       0.000       0.000     119.829       5.104       5.104      26.293       2.136      28.112       1.379       0.000       0.000       0.000
    365    12    31  2001     20       0  rtu0200              526.585       0.939       0.939      99.307       0.355      99.662      50.849     423.496      17.970     234.817     170.708      99.307      69.182     104.498     192.352     183.516      17.048       0.000       0.000       0.000     949.092       0.000       7.782       0.000       0.000       0.000      99.307       0.000       0.000       0.355       0.000       0.000      80.896       0.028       0.028      43.867       1.073       5.505       0.013       0.000       0.000       0.000
    365    12    31  2001     21       0  rtu0210              742.570       2.742       2.742      44.687      44.339      89.026     408.525     524.063      32.334     422.264      69.465      44.687      41.220      87.683     161.422     169.246      16.477       0.000       0.000       0.006    1181.378       0.000       2.083       0.000       0.000       0.000      44.687       0.000       0.000      44.339       0.000       0.000     313.078      39.458      39.458      36.819       1.001      47.681       0.962       0.000       0.000       0.000
    365    12    31  2001     22       0  rtu0220              508.537       1.230       1.227      58.723       3.007      61.730      57.134     418.143      29.149     243.577     145.416      58.722      62.517      88.380     173.026     193.364      19.819       0.000       0.000       0.003     894.517       0.000       0.545       0.000       0.000       0.000      58.722       0.000       0.000       3.007       0.000       0.000      70.202       1.830       1.830      42.265       4.185      16.866       0.973       0.000       0.000       0.000
    365    12    31  2001     23       0  rtu0230              743.896       2.723       2.723      39.008      52.800      91.808     397.925     574.559      32.215     471.374      70.970      39.008      44.936     110.572     167.013     186.544      21.590       0.000       0.000       0.001    1181.540       0.000       0.216       0.000       0.000       0.000      39.008       0.000       0.000      52.800       0.000       0.000     348.299      33.916      33.915      28.182       2.159      72.357       1.752       0.000       0.000       0.000
    365    12    31  2001     24       0  rtu0240              523.791       0.694       0.694       9.761      24.650      34.411      94.910     427.458      27.065     348.932      51.460       9.761      43.206      80.470     120.278     134.035      15.710       0.000       0.000       0.000    1043.992       0.000       0.000       0.000       0.000       0.000       9.761       0.000       0.000      24.650       0.000       0.000      52.868       7.086       7.086      19.877       6.105      60.689       5.588       0.000       0.000       0.000
