 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
   366    12    31  2000      12      12  cha012               0.5520E+04     0.5450E+04     0.6392E+02     0.6153E+01     0.1250E-06     0.0000E+00     0.1058E+05     0.5720E+04     0.1043E+05     0.5578E+04     0.1461E+03     0.0000E+00     0.0000E+00     0.1382E+03     0.2944E+01     0.0000E+00     0.0000E+00     0.2363E+03     0.8034E+03     0.2345E+03     0.7836E+03     0.1780E+01     0.0000E+00     0.0000E+00     0.1940E+02     0.4141E+00     0.0000E+00     0.0000E+00     0.1152E+03     0.2741E+01
   366    12    31  2000      13      13  cha013               0.5494E+04     0.5483E+04     0.9551E+01     0.3130E+01     0.1745E+01     0.0000E+00     0.9047E+04     0.5764E+04     0.9015E+04     0.5709E+04     0.3149E+02     0.0000E+00     0.0000E+00     0.5460E+02     0.1080E+01     0.0000E+00     0.0000E+00     0.2272E+03     0.8088E+03     0.2257E+03     0.8010E+03     0.1438E+01     0.0000E+00     0.0000E+00     0.7695E+01     0.1514E+00     0.0000E+00     0.0000E+00     0.4638E+02     0.1115E+01
   366    12    31  2000      14      14  cha014               0.9799E+05     0.1082E+06     0.0000E+00     0.1432E+03     0.1030E+05     0.8041E+00     0.1615E+06     0.1977E+04     0.1615E+06     0.1975E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1354E+01     0.0000E+00     0.0000E+00     0.3573E+03     0.3014E+03     0.3573E+03     0.3012E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2063E+00     0.0000E+00     0.0000E+00     0.1972E+04     0.4292E+01
   366    12    31  2000      15      15  cha015               0.3956E+03     0.9162E+02     0.2987E+03     0.5251E+01     0.1827E-05     0.0000E+00     0.7329E+04     0.7098E+04     0.5325E+04     0.4497E+04     0.2004E+04     0.0000E+00     0.0000E+00     0.2497E+04     0.1041E+03     0.0000E+00     0.0000E+00     0.2739E+03     0.9852E+03     0.1701E+03     0.6244E+03     0.1037E+03     0.0000E+00     0.0000E+00     0.3463E+03     0.1447E+02     0.0000E+00     0.0000E+00     0.1079E+04     0.3696E+02
   366    12    31  2000      16      16  cha016               0.2724E+06     0.2791E+06     0.0000E+00     0.5691E+03     0.7229E+04     0.0000E+00     0.3989E+05     0.2259E+00     0.3989E+05     0.2257E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2100E-03     0.0000E+00     0.0000E+00     0.1603E+02     0.3308E-01     0.1603E+02     0.3305E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3094E-04     0.0000E+00     0.0000E+00     0.4215E+03     0.1538E+00
   366    12    31  2000      17      17  cha017               0.2364E+02     0.3661E+02     0.2806E+00     0.1968E+00     0.1344E+02     0.0000E+00     0.1503E+04     0.1263E+02     0.1472E+04     0.1089E+02     0.3040E+02     0.0000E+00     0.0000E+00     0.1708E+01     0.2399E-01     0.0000E+00     0.0000E+00     0.1145E+02     0.2670E+01     0.1027E+02     0.2399E+01     0.1180E+01     0.0000E+00     0.0000E+00     0.2652E+00     0.5798E-02     0.0000E+00     0.0000E+00     0.6322E+02     0.3800E+00
   366    12    31  2000      18      18  cha018               0.3076E+03     0.2868E+03     0.2036E+02     0.1168E+01     0.6691E+00     0.0000E+00     0.9533E+03     0.4579E+04     0.9316E+03     0.4418E+04     0.2163E+02     0.0000E+00     0.0000E+00     0.1534E+03     0.8294E+01     0.0000E+00     0.0000E+00     0.1511E+02     0.6303E+03     0.1368E+02     0.6080E+03     0.1426E+01     0.0000E+00     0.0000E+00     0.2121E+02     0.1141E+01     0.0000E+00     0.0000E+00     0.2533E+02     0.3162E+00
   366    12    31  2000      19      19  cha019               0.2886E+02     0.1396E+04     0.0000E+00     0.3513E+00     0.1368E+04     0.0000E+00     0.2487E+05     0.2511E+03     0.2487E+05     0.2496E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1535E+01     0.0000E+00     0.0000E+00     0.2537E+02     0.3638E+02     0.2537E+02     0.3616E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2225E+00     0.0000E+00     0.0000E+00     0.1627E+04     0.1663E+01
   366    12    31  2000      20      20  cha020               0.2898E+03     0.2757E+03     0.1292E+02     0.1678E+01     0.5352E+00     0.0000E+00     0.6888E+04     0.1122E+04     0.6834E+04     0.1035E+04     0.5347E+02     0.0000E+00     0.0000E+00     0.8552E+02     0.2045E+01     0.0000E+00     0.0000E+00     0.1351E+03     0.1592E+03     0.1296E+03     0.1468E+03     0.5497E+01     0.0000E+00     0.0000E+00     0.1213E+02     0.2903E+00     0.0000E+00     0.0000E+00     0.2271E+03     0.3853E+01
   366    12    31  2000      21      21  cha021               0.8270E+01     0.5491E+04     0.0000E+00     0.6448E-01     0.5482E+04     0.0000E+00     0.6560E+05     0.6905E+02     0.6560E+05     0.6879E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2661E+00     0.0000E+00     0.0000E+00     0.5774E+02     0.1032E+02     0.5774E+02     0.1028E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3978E-01     0.0000E+00     0.0000E+00     0.2768E+04     0.2461E+01
   366    12    31  2000      22      22  cha022               0.2267E+01     0.7419E+01     0.1479E-01     0.1188E-01     0.5179E+01     0.0000E+00     0.1758E+04     0.4545E+02     0.1757E+04     0.4522E+02     0.1114E+01     0.0000E+00     0.0000E+00     0.9111E-01     0.1327E+00     0.0000E+00     0.0000E+00     0.3242E+02     0.7394E+01     0.3227E+02     0.7357E+01     0.1449E+00     0.0000E+00     0.0000E+00     0.1534E-01     0.2178E-01     0.0000E+00     0.0000E+00     0.7936E+02     0.1176E+01
   366    12    31  2000      23      23  cha023               0.9672E+02     0.7755E+05     0.0000E+00     0.3791E+00     0.7745E+05     0.0000E+00     0.7815E+05     0.7213E+03     0.7815E+05     0.7199E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1401E+01     0.0000E+00     0.0000E+00     0.1199E+03     0.1168E+03     0.1199E+03     0.1166E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2267E+00     0.0000E+00     0.0000E+00     0.1947E+04     0.2999E+01
   366    12    31  2000      24      24  cha024               0.2397E+01     0.3379E+05     0.0000E+00     0.1594E-01     0.3379E+05     0.0000E+00     0.8619E+05     0.5455E+02     0.8619E+05     0.5436E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1808E+00     0.0000E+00     0.0000E+00     0.6763E+02     0.7579E+01     0.6763E+02     0.7554E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2512E-01     0.0000E+00     0.0000E+00     0.4321E+04     0.3387E+01
   366    12    31  2000      25      25  cha025               0.3596E+02     0.1845E+03     0.0000E+00     0.1431E+00     0.1487E+03     0.0000E+00     0.1693E+05     0.5761E+03     0.1693E+05     0.5749E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1157E+01     0.0000E+00     0.0000E+00     0.5888E+02     0.8009E+02     0.5888E+02     0.7993E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1608E+00     0.0000E+00     0.0000E+00     0.3616E+03     0.1272E+01
   366    12    31  2000      26      26  cha026               0.1046E+07     0.1046E+07     0.0000E+00     0.2720E+03     0.4120E+02     0.2842E+01     0.1255E+07     0.2580E+05     0.1255E+07     0.2580E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2962E+01     0.0000E+00     0.0000E+00     0.6109E+04     0.3692E+04     0.6109E+04     0.3691E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4238E+00     0.0000E+00     0.0000E+00     0.7645E+04     0.3681E+02
   366    12    31  2000      27      27  cha027               0.1048E+07     0.1046E+07     0.0000E+00     0.1586E+04     0.2043E+03     0.1576E+02     0.1254E+07     0.2568E+05     0.1254E+07     0.2567E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1712E+02     0.0000E+00     0.0000E+00     0.6101E+04     0.3676E+04     0.6101E+04     0.3674E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2451E+01     0.0000E+00     0.0000E+00     0.4374E+05     0.2104E+03
   366    12    31  2000      28      28  cha028               0.1048E+07     0.1048E+07     0.0000E+00     0.9699E+02     0.1493E+01     0.4349E+00     0.1249E+07     0.2426E+05     0.1249E+07     0.2426E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9281E+00     0.0000E+00     0.0000E+00     0.5979E+04     0.3484E+04     0.5979E+04     0.3484E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1333E+00     0.0000E+00     0.0000E+00     0.2647E+04     0.1245E+02
   366    12    31  2000      29      29  cha029               0.1049E+07     0.1048E+07     0.0000E+00     0.5742E+03     0.1249E+03     0.6279E+01     0.1249E+07     0.2426E+05     0.1249E+07     0.2426E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5898E+01     0.0000E+00     0.0000E+00     0.5975E+04     0.3485E+04     0.5975E+04     0.3484E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8472E+00     0.0000E+00     0.0000E+00     0.1567E+05     0.7420E+02
   366    12    31  2000      30      30  cha030               0.1049E+07     0.1049E+07     0.0000E+00     0.5161E+03     0.7938E+02     0.5068E+01     0.1239E+07     0.2411E+05     0.1239E+07     0.2410E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5218E+01     0.0000E+00     0.0000E+00     0.5886E+04     0.3463E+04     0.5886E+04     0.3463E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7497E+00     0.0000E+00     0.0000E+00     0.1384E+05     0.6502E+02
   366    12    31  2000      31      31  cha031               0.1051E+07     0.1049E+07     0.0000E+00     0.2214E+04     0.4713E+03     0.2283E+02     0.1230E+07     0.2322E+05     0.1230E+07     0.2320E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2162E+02     0.0000E+00     0.0000E+00     0.5788E+04     0.3332E+04     0.5788E+04     0.3329E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3102E+01     0.0000E+00     0.0000E+00     0.5698E+05     0.2652E+03
   366    12    31  2000      32      32  cha032               0.1051E+07     0.1051E+07     0.0000E+00     0.1326E+03     0.2773E+02     0.1344E+01     0.1226E+07     0.2320E+05     0.1226E+07     0.2320E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1291E+01     0.0000E+00     0.0000E+00     0.5758E+04     0.3329E+04     0.5758E+04     0.3328E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1853E+00     0.0000E+00     0.0000E+00     0.3456E+04     0.1604E+02
