 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
     1     1     1  2000       1       1  Tordera                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.801       0.000       0.000       0.801       0.000      53.670      88.168      87.366      87.767      14.010       0.000       0.000       0.000       1.005       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.801       0.000       0.000       0.000       0.000       0.000       0.000
     2     1     2  2000       1       1  Tordera                0.011       0.000       0.000       0.000       0.000       0.000       0.000       0.570       0.005       0.433       0.131       0.000      53.670      87.366      86.808      87.087      13.483       0.000       0.000       0.000       0.828       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.558       0.000       0.000       0.000       0.000       0.000       0.000
     3     1     3  2000       1       1  Tordera                0.049       0.004       0.000       0.000       0.000       0.000       0.000       0.425       0.038       0.297       0.090       0.000      53.670      86.808      86.606      86.707      13.130       0.000       0.004       0.002       0.619       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.179       0.000       0.000      -0.202       0.000       0.000       0.000       0.000       0.000       0.000
     4     1     4  2000       1       1  Tordera                0.078       0.000       0.000       0.000       0.000       0.000       0.003       0.642       0.060       0.435       0.147       0.000      53.670      86.606      87.072      86.839      12.643       0.004       0.004       0.004       1.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.032       0.000       0.000       0.466       0.000       0.000       0.000       0.000       0.000       0.000
     5     1     5  2000       1       1  Tordera                0.015       0.000       0.000       0.020       0.000       0.020       0.014       0.510       0.009       0.346       0.156       0.029      53.670      87.072      88.318      87.695      12.232       0.004       0.004       0.004       1.203       0.000       0.000       0.000       0.000       0.000       0.029       0.000       0.000       0.000       0.000       0.000       1.784       0.029       0.020       1.246       0.009       0.000       0.009       0.000       0.000       0.000
     6     1     6  2000       1       1  Tordera                0.002       0.000       0.000       0.078       0.000       0.078       0.031       0.388       0.002       0.198       0.188       0.098      53.684      88.318      90.126      89.222      11.953       0.004       0.004       0.004       1.492       0.000       0.016       0.000       0.000       0.000       0.098       0.000       0.000       0.000       0.000       0.000       2.303       0.093       0.073       1.808       0.030       0.001       0.029       0.000       0.000       0.000
     7     1     7  2000       1       1  Tordera                0.012       0.000       0.000       0.104       0.001       0.105       0.050       0.195       0.006       0.056       0.133       0.115      53.693      90.126      92.425      91.276      11.862       0.004       0.004       0.004       1.093       0.000       0.007       0.000       0.000       0.000       0.115       0.000       0.000       0.001       0.000       0.000       2.640       0.113       0.102       2.299       0.040       0.001       0.040       0.000       0.000       0.000
     8     1     8  2000       1       1  Tordera                0.082       0.000       0.000       0.160       0.001       0.162       0.073       0.156       0.043       0.015       0.098       0.172      53.704      92.425      94.919      93.672      11.967       0.004       0.004       0.004       0.841       0.000       0.000       0.000       0.000       0.000       0.172       0.000       0.000       0.001       0.000       0.000       2.817       0.171       0.160       2.494       0.052       0.002       0.051       0.000       0.000       0.000
     9     1     9  2000       1       1  Tordera                1.585       0.157       0.000       0.332       0.002       0.335       0.096       0.285       0.190       0.053       0.042       0.361      53.747      94.919      98.371      96.645      13.093       0.004       0.162       0.083       0.400       0.000       0.001       0.000       0.000       0.000       0.361       0.000       0.000       0.002       0.000       0.000       2.925       0.341       0.312       3.452       0.080       0.004       0.080       0.000       0.000       0.001
    10     1    10  2000       1       1  Tordera                0.001       0.000       0.000       0.449       0.004       0.453       0.118       0.536       0.150       0.237       0.149       0.475      53.816      98.371     100.390      99.381      12.798       0.162       0.162       0.162       0.729       0.000       0.000       0.000       0.000       0.000       0.475       0.000       0.000       0.004       0.000       0.000       3.004       0.475       0.449       2.019       0.106       0.006       0.106       0.000       0.000       0.000
    11     1    11  2000       1       1  Tordera                0.074       0.000       0.000       0.487       0.006       0.493       0.140       0.461       0.069       0.268       0.124       0.496      53.833     100.390     102.381     101.386      12.534       0.162       0.162       0.162       0.743       0.000       0.000       0.000       0.000       0.000       0.496       0.000       0.000       0.006       0.000       0.000       3.013       0.496       0.487       1.991       0.115       0.008       0.115       0.000       0.000       0.000
    12     1    12  2000       1       1  Tordera                0.032       0.004       0.000       0.538       0.008       0.546       0.163       0.213       0.005       0.121       0.088       0.550      53.857     102.381     104.489     103.435      12.421       0.162       0.166       0.164       0.564       0.000       0.000       0.000       0.000       0.000       0.550       0.000       0.000       0.008       0.000       0.000       3.034       0.550       0.538       2.108       0.127       0.011       0.127       0.000       0.000       0.000
    13     1    13  2000       1       1  Tordera                0.112       0.004       0.000       0.560       0.010       0.570       0.184       0.178       0.062       0.041       0.074       0.567      53.873     104.489     106.657     105.573      12.454       0.166       0.170       0.168       0.530       0.000       0.002       0.000       0.000       0.000       0.567       0.000       0.000       0.010       0.000       0.000       3.017       0.566       0.559       2.168       0.133       0.014       0.133       0.000       0.000       0.000
    14     1    14  2000       1       1  Tordera                1.701       0.626       0.000       0.603       0.012       0.615       0.208       0.349       0.214       0.070       0.065       0.610      53.882     106.657     109.514     108.085      13.248       0.170       0.797       0.483       0.512       0.000       0.005       0.000       0.000       0.000       0.610       0.000       0.000       0.012       0.000       0.000       3.007       0.591       0.584       2.857       0.141       0.017       0.141       0.000       0.000       0.001
    15     1    15  2000       1       1  Tordera                3.139       0.513       0.000       0.770       0.014       0.784       0.229       0.336       0.195       0.063       0.078       0.787      53.940     109.514     113.692     111.603      15.418       0.797       1.309       1.053       0.390       0.000       0.004       0.000       0.000       0.000       0.787       0.000       0.000       0.014       0.000       0.000       2.985       0.649       0.632       4.179       0.158       0.021       0.158       0.000       0.000       0.001
    16     1    16  2000       1       1  Tordera                1.273       0.069       0.000       0.674       0.016       0.691       0.249       0.351       0.217       0.060       0.074       0.687      53.962     113.692     116.579     115.136      16.368       1.309       1.379       1.344       0.398       0.000       0.000       0.000       0.000       0.000       0.687       0.000       0.000       0.016       0.000       0.000       2.962       0.665       0.653       2.887       0.170       0.025       0.170       0.000       0.000       0.001
