real_name,cha01_20130131,cha01_20130228,cha01_20130331,cha01_20130430,cha01_20130531,cha01_20130630,cha01_20130731,cha01_20130831,cha01_20130930,cha01_20131031,cha01_20131130,cha01_20131231,cha01_20140331,cha01_20140430,cha01_20140531,cha01_20140630,cha01_20140731,cha01_20140831,cha01_20140930,cha01_20141031,cha01_20141130,cha01_20141231,cha01_20150131,cha01_20150228,cha01_20150331,cha01_20150430,cha01_20150531,cha01_20150630,cha01_20150731,cha01_20150831,cha01_20150930,cha01_20151031,cha01_20151130,cha01_20151231,cha01_20160131,cha01_20160229,cha01_20160331,cha01_20160430,cha01_20160531,cha01_20160630,cha01_20160731,cha01_20160831,cha01_20160930,cha01_20161031,cha01_20161130,cha01_20161231,cha01_20170131,cha01_20170228,cha01_20170331,cha01_20170430,cha01_20170531,cha01_20170630,cha01_20170731,cha01_20170831,cha01_20170930,cha01_20171031,cha01_20171130,cha01_20171231,cha01_20180131,cha01_20180228,cha01_20180331,cha01_20180430,cha01_20180531,cha01_20180630,cha01_20180731,cha01_20180831,cha01_20180930,cha01_20181031,cha01_20181130,cha01_20181231,cha01_20190131,cha01_20190228,cha01_20190331,cha01_20190430,cha01_20190531,cha01_20190630,cha01_20190731,cha01_20190831,cha01_20190930,cha01_20191031,cha01_20191130,cha01_20191231,cha01_20200131,cha01_20200229,cha01_20200331,cha01_20200430,cha01_20200531,cha01_20200630,cha01_20200731,cha01_20200831,cha01_20200930,cha01_20201031,cha01_20201130,cha01_20201231,cha01_20210131,cha01_20210228,cha01_20210331,cha01_20210430,cha01_20210831,cha01_20210930,cha01_20211031,cha01_20211130,cha01_20211231,cha01_20220131,cha01_20220228,cha01_20220531,cha01_20220630,cha01_20220731,cha01_20220831,cha01_20220930,cha01_20221031,cha01_20221130,cha01_20221231,cha01_20230131,cha01_20230228,cha01_20230331,cha01_20230430,cha01_20230531,cha01_20230630,cha01_20230731,cha01_20230831,cha01_20230930,cha01_20231031,cha01_20231130,ns,pbias,rsq,rmse
120,0.6934,1.03,1.421,1.215,1.311,1.536,17.04,11.57,4.292,3.94,1.632,2.088,1.028,1.191,0.8567,1.819,12.13,15.37,3.764,4.288,3.253,2.922,1.143,0.492,0.4338,1.253,0.6092,0.4666,3.132,2.63,1.126,2.949,2.754,3.806,1.606,1.059,1.841,2.674,2.773,0.9283,10.64,1.138,2.869,4.355,1.431,0.5655,0.3028,0.1845,0.1331,0.09693,0.006638,0.003317,3.199,6.095,3.893,4.141,0.9769,0.4744,0.6606,0.2583,1.724,3.059,2.507,0.9536,7.627,9.526,13.39,4.119,2.175,1.355,0.5473,0.607,0.3148,0.4929,0.5067,1.268,6.173,5.199,4.259,7.884,1.542,0.9999,1.714,1.422,1.545,0.8874,0.495,2.137,15.27,35.93,6.353,1.337,0.9113,0.7495,0.4512,0.5737,1.281,1.584,11.14,4.829,1.877,1.578,1.441,0.4837,0.2097,0.04564,1.873,3.356,6.065,2.221,0.6675,1.539,1.415,0.6565,0.282,0.201,0.392,2.542,6.107,37.9,9.675,5.767,2.676,2.388,0.8545732131792713,2.0638188957409898,0.8547192182214595,2.2658770073816696
121,0.7337,1.473,2.257,1.024,1.631,1.374,18.79,11.89,3.976,3.325,1.02,2.255,1.575,1.136,0.8867,2.605,13.85,15.48,3.772,3.916,2.956,2.851,0.8389,0.4219,0.6043,1.69,0.6333,0.6615,4.428,2.625,1.099,3.143,3.02,4.103,1.015,1.276,2.23,3.427,2.709,0.6678,12.35,0.4538,4.509,4.069,0.5107,0.2799,0.2169,0.15,0.1071,0.07962,0.004662,0.002545,5.115,7.07,3.76,3.5,0.3036,0.4023,1.117,0.2618,2.866,3.568,2.336,1.123,9.052,10.4,13.47,3.277,1.721,0.9896,0.2794,0.8425,0.361,0.8074,0.8113,1.597,7.892,5.156,4.578,7.675,0.5865,0.7063,2.291,1.376,1.549,0.9218,0.5338,3.08,16.46,34.37,6.244,0.2818,1.014,0.5769,0.4217,0.6615,1.638,1.652,11.15,5.014,0.9506,1.42,1.332,0.2383,0.1496,0.06037,2.97,4.081,6.804,1.782,0.4091,2.091,1.322,0.6505,0.2293,0.208,0.5935,3.958,6.699,37.04,10.26,5.7,1.36,2.404,0.8637372623543909,5.915108161495471,0.8648482038095571,2.193323456744995
124,0.7257,1.678,2.51,0.5966,1.929,0.8254,20.99,12.46,2.265,2.837,1.392,1.548,1.578,0.7685,0.6118,2.799,14.92,16.11,2.257,3.49,2.803,2.078,0.8202,0.4996,0.4525,1.705,0.4637,0.7521,3.727,2.77,0.472,2.694,3.439,3.7,0.6727,1.16,2.152,3.83,1.773,0.5293,12.7,0.2988,4.344,3.016,0.3137,0.2793,0.1997,0.1451,0.09199,0.04984,0.007674,0.01019,4.783,7.534,2.735,2.876,0.2674,0.4892,1.07,0.2117,2.396,3.406,1.903,1.577,8.694,14.45,10.11,2.745,1.505,0.9048,0.2753,1.046,0.2601,0.4044,0.5289,1.369,9.396,3.348,4.861,6.523,0.3909,0.3722,1.98,1.742,1.024,0.5464,0.3269,3.065,20.13,33.0,5.267,0.2628,0.796,0.3608,0.4506,0.3496,1.475,1.177,13.86,2.077,0.5626,1.397,1.168,0.2265,0.166,0.01836,2.895,3.171,6.757,1.525,0.2538,1.565,0.8691,0.8044,0.2968,0.1666,0.2047,4.227,8.554,38.21,8.539,4.807,0.4712,2.472,0.8771741319381748,2.112510599344767,0.8784783159669525,2.082375518336776
125,0.6105,1.561,2.215,0.6016,1.705,0.7513,20.26,12.19,1.883,2.527,1.136,1.479,1.244,0.6652,0.4429,2.591,14.44,16.01,2.018,3.051,2.611,2.004,0.6969,0.4092,0.4068,1.206,0.3838,0.6879,3.193,2.404,0.4062,2.498,2.889,3.696,0.6179,1.068,1.993,3.383,1.632,0.5029,12.25,0.299,4.021,2.728,0.2467,0.1827,0.1125,0.06161,0.03182,0.01274,0.003138,0.009313,4.534,6.971,2.531,2.551,0.1955,0.4138,0.9148,0.1378,2.007,3.153,1.669,1.543,8.454,14.11,9.913,2.586,1.265,0.762,0.1755,0.9418,0.2037,0.4016,0.5041,1.099,8.579,2.992,4.544,6.431,0.3607,0.3285,1.572,1.513,0.9541,0.4494,0.2263,2.608,19.81,33.27,5.061,0.1572,0.6691,0.2464,0.3135,0.2568,1.085,1.05,13.37,2.056,0.3495,1.103,1.057,0.1333,0.07293,0.0159,2.666,2.867,6.201,1.338,0.2342,1.393,0.7736,0.7243,0.222,0.1197,0.1974,3.869,8.09,38.12,8.298,4.513,0.3094,2.074,0.8829951435212382,-3.712311861630372,0.884030412996371,2.0324322256406697
126,1.064,2.173,2.23,1.308,2.047,1.197,19.86,12.48,3.191,3.276,1.542,1.426,1.657,1.233,0.914,2.835,13.91,15.44,3.39,4.104,2.931,2.305,1.346,0.7675,0.8899,1.593,0.6232,0.8874,3.175,3.076,0.7893,3.391,2.575,2.824,1.283,1.933,1.906,3.906,2.474,1.119,11.77,0.8435,3.913,3.493,0.6995,0.5968,0.4178,0.3559,0.2434,0.2164,0.007848,0.001887,3.294,6.494,3.648,3.497,0.6218,0.8665,1.448,0.4071,1.836,3.216,2.197,1.417,7.86,12.75,11.61,3.424,1.717,0.9673,0.5738,1.461,0.6094,0.9475,0.9562,1.556,7.833,4.217,5.091,7.13,1.051,0.8983,1.795,1.223,1.231,1.25,0.7641,2.752,17.49,34.52,5.589,0.7787,1.543,0.6759,0.7594,0.6756,1.619,1.353,13.14,3.311,1.628,1.492,1.28,0.5055,0.3528,0.08846,2.426,2.848,6.221,1.793,0.8459,2.035,1.19,1.082,0.4737,0.4291,0.6396,3.61,7.412,38.01,9.618,5.758,1.494,2.279,0.8769482727335957,6.283964877625747,0.8782054432393659,2.0842892343548107
127,0.7055,1.677,2.759,0.9309,2.353,1.047,21.63,13.21,2.62,3.176,1.591,1.672,2.047,0.9989,1.017,3.443,15.44,16.54,2.731,3.901,2.89,2.145,0.7886,0.4645,0.6291,2.118,0.5825,0.9482,4.516,3.357,0.6151,3.257,3.631,3.834,0.62,1.274,2.334,4.411,2.24,0.7511,13.34,0.3806,5.048,3.487,0.2711,0.2601,0.194,0.135,0.08439,0.05542,0.006669,0.006356,5.487,8.125,3.005,3.268,0.2195,0.4788,1.187,0.2393,3.035,3.806,2.327,1.599,9.366,14.81,10.98,2.956,1.687,0.9396,0.2454,0.9894,0.2964,0.8958,0.9274,2.025,10.16,3.983,5.222,6.745,0.4433,0.5911,2.341,1.822,1.241,0.9627,0.7431,3.659,20.38,34.0,5.576,0.195,0.9896,0.3338,0.4378,0.5982,2.01,1.499,14.44,2.437,0.7602,1.554,1.199,0.1948,0.1388,0.0396,3.509,3.893,7.161,1.735,0.2749,2.109,0.9586,0.783,0.2891,0.1751,0.5189,5.081,8.949,39.43,8.873,5.43,0.539,2.804,0.866302093834898,10.87570702447485,0.8742346719341921,2.172583271136588
128,0.3667,0.727,2.811,1.454,2.546,1.465,20.73,13.94,2.522,3.196,1.784,1.785,2.459,1.257,1.25,3.909,15.14,15.98,2.708,3.945,2.682,2.308,0.4629,0.4118,0.8593,2.254,0.7376,1.448,4.755,3.535,0.6198,3.302,3.475,3.8,0.4512,1.679,2.231,4.521,2.417,1.112,13.23,0.8466,5.408,3.329,0.2981,0.3681,0.2372,0.1722,0.1095,0.141,0.009851,0.004912,6.084,7.954,2.772,3.158,0.2735,0.3735,0.4859,0.2039,3.717,3.925,2.397,1.547,10.0,14.44,11.74,3.062,1.78,0.8632,0.2315,1.057,0.5663,1.272,1.609,2.5,9.885,4.287,4.755,6.698,0.8127,0.7645,2.369,1.614,1.331,1.563,0.8838,4.062,19.37,34.15,5.278,0.1576,1.531,0.3621,0.3225,0.7644,2.084,1.67,14.02,2.72,0.6969,1.774,1.156,0.2073,0.1522,0.1597,4.465,3.661,6.912,1.61,0.6922,2.718,0.6956,0.4879,0.2362,0.3501,1.038,4.862,8.698,39.47,8.248,5.416,0.3693,3.008,0.8637881774554361,12.675988388899595,0.8717711806481395,2.192913646546355
129,0.5691,1.26,2.675,0.6539,2.115,0.7912,21.39,12.72,2.224,2.909,1.482,1.55,1.766,0.7906,0.6753,3.007,15.09,16.21,2.422,3.552,2.831,1.982,0.6697,0.4179,0.5583,1.854,0.458,0.8129,4.126,2.957,0.4662,2.82,3.487,3.734,0.6056,1.006,2.178,3.942,1.768,0.5016,13.01,0.2774,4.639,3.268,0.3109,0.2732,0.184,0.1137,0.06298,0.03412,0.004833,0.007279,5.257,7.772,2.803,3.002,0.273,0.4364,0.8336,0.1698,2.672,3.468,1.95,1.641,8.996,15.08,9.94,2.799,1.581,0.9105,0.2458,0.7166,0.195,0.4183,0.5399,1.667,9.882,3.457,4.953,6.532,0.3725,0.4379,2.203,1.757,1.046,0.6169,0.41,3.315,20.29,33.1,5.346,0.2828,0.7577,0.3295,0.3653,0.4334,1.824,1.22,14.15,2.047,0.6135,1.455,1.165,0.2084,0.1404,0.01276,3.155,3.547,6.853,1.575,0.2236,1.695,0.8288,0.6045,0.2328,0.1332,0.2252,4.7,8.872,38.36,8.691,4.944,0.4993,2.568,0.8747258758811497,4.309614569281173,0.877381756814629,2.103026841330345
130,0.4436,0.8649,2.952,1.287,2.832,1.106,22.23,13.38,2.67,3.42,1.926,1.67,2.374,1.308,1.278,3.872,15.72,16.86,3.019,4.052,3.122,1.921,0.554,0.4367,0.8402,2.52,0.7421,1.302,5.032,3.787,0.6342,3.603,3.873,3.871,0.4963,0.9987,2.426,4.933,2.572,0.9865,13.59,0.6055,5.541,3.78,0.3816,0.3936,0.2777,0.2138,0.1605,0.1393,0.0188,0.0184,6.135,8.493,3.319,3.514,0.3356,0.3791,0.6205,0.2632,3.513,4.143,2.687,1.974,9.342,16.13,10.35,3.187,1.903,1.095,0.2992,0.5692,0.5648,1.222,1.238,2.585,10.65,4.187,5.555,6.832,0.6356,0.7895,2.419,2.027,1.423,1.21,1.065,4.191,20.9,33.94,5.727,0.2917,1.228,0.3861,0.3707,0.7931,2.492,1.636,15.23,2.279,1.033,1.827,1.26,0.2712,0.2191,0.1068,4.235,4.243,7.504,1.966,0.4855,2.471,0.8264,0.4631,0.2902,0.3145,0.8157,5.784,9.53,39.07,9.426,5.571,0.7164,3.08,0.8595573030196062,16.752649836191942,0.8736819437551577,2.2267102518390582
131,0.7174,1.478,2.877,1.113,2.339,1.385,21.34,13.67,2.818,3.21,1.547,1.849,2.146,1.08,1.093,3.645,15.42,16.25,2.808,4.031,2.788,2.477,0.7718,0.459,0.7874,2.128,0.6482,1.167,4.921,3.384,0.7854,3.279,3.553,3.942,0.6173,1.722,2.331,4.36,2.346,0.9432,13.39,0.6719,5.492,3.515,0.2939,0.2966,0.2155,0.1524,0.09445,0.0689,0.007912,0.007637,6.312,8.082,2.989,3.31,0.2362,0.3999,0.9799,0.2446,3.615,3.768,2.375,1.608,10.04,14.42,11.93,2.983,1.736,0.9487,0.252,0.822,0.4367,1.022,1.259,2.231,10.1,4.239,5.043,6.845,0.6239,0.6917,2.516,1.721,1.336,1.211,0.7815,3.966,19.69,34.22,5.543,0.2145,1.337,0.3968,0.4133,0.6988,2.006,1.576,13.98,2.996,0.755,1.611,1.234,0.2144,0.1595,0.1044,4.188,4.002,7.151,1.659,0.49,2.522,0.9996,0.6452,0.2524,0.237,0.7638,4.972,8.648,39.94,8.549,5.503,0.5574,2.881,0.8616268027671118,13.368929225284255,0.8715436291788268,2.2102434698686206
132,0.4004,0.7725,3.124,1.684,3.097,1.314,22.65,14.03,2.701,3.562,2.167,1.682,2.689,1.487,1.325,4.335,15.88,16.96,3.362,4.175,3.071,2.181,0.6076,0.4964,1.081,2.637,0.7954,1.869,5.309,4.18,0.6068,3.821,3.871,3.858,0.4831,1.876,2.392,5.166,2.693,1.35,13.72,1.109,6.0,3.789,0.3261,0.4017,0.2571,0.204,0.1389,0.1681,0.01615,0.009762,6.921,8.756,3.498,3.593,0.3063,0.4114,0.6381,0.27,4.064,4.276,2.763,2.388,9.64,17.02,10.37,3.308,1.894,1.051,0.2629,0.9802,0.7369,1.463,1.818,3.078,10.9,4.422,5.614,6.828,0.912,0.8511,2.622,2.002,1.501,1.585,1.187,4.681,21.04,34.22,5.697,0.2366,1.639,0.3729,0.4081,0.9307,2.538,1.629,15.76,2.319,1.073,1.922,1.223,0.2333,0.1791,0.1687,5.077,4.323,7.588,1.98,0.8003,2.931,0.7878,0.6143,0.2759,0.4049,1.148,6.101,9.956,39.34,9.541,5.69,0.6687,3.272,0.8521139517520749,22.032475428791678,0.8742420780077338,2.2849554144537447
133,0.3729,0.7193,2.469,0.6338,2.214,0.7932,21.48,12.51,2.336,2.982,1.464,1.489,1.723,0.8496,0.7972,2.999,15.19,16.37,2.519,3.622,2.872,1.762,0.4367,0.3424,0.4413,1.948,0.4929,0.5915,4.021,2.994,0.4651,2.912,3.569,3.746,0.4058,0.6803,2.004,4.127,1.934,0.3358,13.12,0.1804,4.353,3.397,0.2734,0.2558,0.188,0.1322,0.09005,0.06064,0.007285,0.007043,4.341,7.773,2.887,3.109,0.2241,0.2481,0.3558,0.1644,2.424,3.576,2.132,1.347,8.581,14.62,9.992,2.81,1.571,0.8998,0.2114,0.3541,0.2089,0.2724,0.3937,1.75,9.908,3.497,5.131,6.574,0.2885,0.3657,1.982,1.793,1.066,0.6229,0.5222,3.222,20.46,33.38,5.364,0.1852,0.4669,0.2562,0.2687,0.3348,1.687,1.308,14.33,2.016,0.6589,1.449,1.131,0.1904,0.1423,0.01325,2.532,3.577,6.917,1.664,0.1728,1.509,0.6437,0.3504,0.2071,0.1415,0.161,4.711,8.785,38.57,8.83,5.08,0.4758,2.548,0.8705132266799716,2.9614492195027937,0.8737948690541355,2.1380941863432468
135,0.3914,0.6998,2.805,1.342,2.435,1.459,20.86,13.9,3.043,3.442,1.697,1.861,2.328,1.2,1.237,3.764,15.29,16.35,3.044,4.258,2.824,2.263,0.4816,0.402,0.8582,2.229,0.7287,1.301,5.006,3.576,0.7913,3.505,3.627,3.949,0.4684,1.577,2.322,4.574,2.511,1.012,13.33,0.7642,5.62,3.698,0.3157,0.3436,0.2376,0.1685,0.1234,0.1274,0.008868,0.005334,6.289,8.132,3.198,3.609,0.2682,0.3294,0.5677,0.2426,3.794,3.886,2.483,1.43,10.08,14.05,12.49,3.154,1.809,0.9814,0.2337,1.038,0.6128,1.191,1.469,2.473,10.08,4.455,5.255,6.924,0.7805,0.7994,2.471,1.749,1.416,1.431,0.9354,4.107,19.6,34.12,5.722,0.2208,1.456,0.3795,0.3321,0.8309,2.134,1.654,14.12,3.119,0.9322,1.72,1.233,0.2064,0.1546,0.1244,4.413,3.995,7.204,1.759,0.6607,2.713,0.7738,0.5185,0.2511,0.3187,0.9798,4.853,8.552,40.07,8.725,5.965,0.6846,3.064,0.8560803340309193,15.130131528232797,0.8676369862992093,2.2541052961368995
136,0.3284,0.6313,2.429,0.7072,1.94,1.107,20.33,12.9,2.625,3.004,1.356,1.727,1.639,0.8119,0.817,2.979,14.87,15.9,2.477,3.707,2.709,1.991,0.4173,0.2995,0.3668,1.772,0.5241,0.7969,4.155,2.877,0.6641,2.817,3.42,3.897,0.4641,0.6263,2.183,3.798,2.008,0.5527,12.82,0.3458,4.663,3.328,0.3427,0.2611,0.1519,0.06766,0.03047,0.01739,0.003091,0.006463,5.294,7.623,2.806,3.132,0.2947,0.2448,0.3312,0.1098,2.778,3.465,2.116,1.245,9.338,13.18,11.54,2.894,1.628,0.9193,0.1966,0.3024,0.1486,0.525,0.6694,1.659,9.341,3.933,4.751,6.677,0.4531,0.5054,2.036,1.64,1.137,0.7035,0.4771,3.277,19.24,33.21,5.537,0.3051,0.7964,0.2951,0.2314,0.4601,1.614,1.343,13.29,2.831,0.6763,1.443,1.185,0.1768,0.08735,0.02196,3.185,3.574,6.817,1.553,0.2704,1.812,0.701,0.3195,0.1725,0.0978,0.3413,4.183,8.008,38.66,8.348,5.331,0.5948,2.59,0.8706048621251116,2.9424947003276127,0.8722655451413391,2.137337507174616
137,0.6506,1.697,2.782,0.857,2.201,1.153,20.83,12.88,2.381,2.855,1.269,1.636,1.841,0.9939,0.9133,3.237,14.98,16.59,2.55,3.656,2.716,2.166,0.7178,0.4058,0.7255,1.808,0.6107,0.7865,3.837,3.11,0.6231,3.164,3.005,3.799,0.5637,1.296,2.206,4.052,2.278,0.733,12.9,0.4685,4.466,3.099,0.2381,0.1988,0.149,0.1158,0.085,0.06994,0.00822,0.01016,4.411,7.493,2.865,2.952,0.1861,0.4805,1.072,0.1929,2.502,3.647,2.216,1.423,8.704,13.45,10.87,2.83,1.505,0.7801,0.186,1.087,0.3479,0.6403,0.8103,1.762,9.386,3.887,4.897,6.726,0.4352,0.4524,2.013,1.563,1.224,0.8885,0.5814,3.175,19.89,34.29,5.403,0.1658,0.8831,0.2804,0.3706,0.4328,1.729,1.471,13.83,2.646,0.5468,1.332,1.146,0.146,0.1081,0.03555,2.716,3.534,6.758,1.574,0.3077,1.806,0.8481,0.7955,0.2765,0.2196,0.354,4.605,8.314,39.35,8.784,5.226,0.4591,2.527,0.872897215869205,5.310914916168819,0.8763939183228299,2.118320455897024
139,0.3976,0.7057,2.68,0.664,1.883,1.077,20.72,12.99,2.555,2.908,1.301,1.701,1.698,0.7878,0.7519,2.931,15.18,16.38,2.368,3.635,2.723,1.963,0.4756,0.377,0.5955,1.806,0.5221,0.7529,4.148,2.868,0.6805,2.774,3.412,3.86,0.4725,0.7714,2.301,3.823,1.958,0.5206,13.07,0.3033,4.579,3.323,0.343,0.3071,0.2205,0.1484,0.09963,0.05415,0.008164,0.01009,5.265,7.665,2.821,3.046,0.2896,0.2839,0.3516,0.168,2.715,3.408,2.053,1.235,9.381,13.41,11.56,2.819,1.58,0.9186,0.2531,0.3695,0.2095,0.483,0.5705,1.558,9.608,3.81,4.905,6.677,0.3778,0.4838,2.088,1.682,1.156,0.6496,0.4216,3.215,19.79,34.06,5.495,0.2551,0.7409,0.3262,0.3041,0.4869,1.75,1.359,13.62,2.734,0.6302,1.404,1.218,0.2353,0.1696,0.02311,3.037,3.662,6.968,1.556,0.2324,1.717,0.6971,0.3677,0.2377,0.1588,0.2924,4.164,8.161,39.93,8.396,5.26,0.4881,2.514,0.8667830536141465,4.189666602428215,0.8712444141753898,2.168671966022911
140,0.82,1.976,2.022,1.409,1.788,1.204,19.55,12.24,2.751,3.19,1.454,1.604,1.509,1.299,0.8541,2.398,13.81,15.49,3.237,3.962,2.98,2.567,1.178,0.4806,0.6128,1.536,0.63,0.7749,2.941,2.754,0.6573,3.088,2.499,3.342,1.41,1.736,1.873,3.6,2.579,0.9112,11.58,0.7753,3.555,3.262,0.7903,0.408,0.2185,0.1583,0.1212,0.1339,0.006364,0.001841,3.769,6.561,3.275,3.266,0.6337,0.6455,1.296,0.2376,1.853,3.533,2.33,1.303,7.748,11.69,11.39,3.366,1.728,0.9475,0.3823,1.254,0.4142,0.771,0.7773,1.243,7.47,4.334,4.549,7.349,1.027,0.6442,1.762,1.179,1.445,1.125,0.515,2.403,17.23,35.39,5.675,0.7372,1.177,0.3822,0.4575,0.4427,1.413,1.501,12.44,3.406,0.9501,1.411,1.218,0.3442,0.1541,0.06695,2.314,2.921,6.255,1.743,0.4732,1.805,1.095,0.9288,0.2869,0.2724,0.4858,3.627,7.149,37.99,9.698,5.231,1.529,2.193,0.8790380109858799,2.7020993929466184,0.8793015974307126,2.066515123482739
141,0.6431,1.438,2.389,1.63,2.665,2.648,17.95,12.17,6.181,4.054,1.0,2.776,1.807,1.965,2.039,3.027,14.11,16.2,5.269,4.514,3.659,3.236,0.7944,0.4316,0.9024,2.427,1.538,0.583,5.353,3.777,2.321,4.095,3.397,4.599,1.002,1.145,2.488,4.04,4.385,1.085,13.57,0.9613,4.422,5.609,0.6965,0.2769,0.3012,0.1569,0.118,0.08989,0.005569,0.002744,4.092,7.56,6.192,4.473,0.3695,0.4788,1.06,0.2306,2.919,4.792,3.654,1.3,9.525,9.384,15.34,4.234,2.129,1.265,0.3036,0.9964,0.4338,1.299,1.323,2.725,8.245,7.143,5.508,9.112,0.6565,0.9837,2.34,1.484,2.141,1.258,1.414,3.605,16.1,34.95,7.312,0.503,0.9775,0.9003,0.3983,0.5906,2.103,2.603,11.29,7.162,2.109,1.754,1.588,0.2304,0.1464,0.1819,2.179,5.699,8.401,2.626,0.5882,2.241,1.652,0.7312,0.284,0.2285,1.246,4.94,7.328,36.57,12.58,6.794,2.401,2.738,0.8153434612988969,20.93821136057044,0.8300295705526303,2.5532684190505592
142,0.7135,1.793,2.747,0.9229,2.03,0.9239,21.03,12.95,2.174,2.766,1.387,1.576,1.853,0.9157,0.6987,3.091,14.91,16.34,2.463,3.449,2.672,2.093,0.7847,0.4345,0.6677,1.746,0.5155,1.038,4.147,3.021,0.5055,2.897,3.099,3.751,0.6385,1.27,2.312,3.994,1.922,0.7446,12.91,0.4683,4.824,3.115,0.2906,0.2547,0.1812,0.1266,0.0804,0.05462,0.007985,0.01062,5.652,7.599,2.724,2.829,0.2377,0.4564,0.9889,0.2018,2.946,3.482,1.929,1.752,9.302,14.75,10.7,2.796,1.486,0.7875,0.228,0.9738,0.3073,0.7145,0.8255,1.66,9.488,3.673,4.721,6.6,0.4885,0.5619,2.065,1.605,1.119,0.8788,0.4329,3.386,20.14,33.85,5.291,0.1953,1.063,0.3158,0.3862,0.5017,1.786,1.313,13.92,2.355,0.4826,1.321,1.123,0.181,0.1257,0.0301,3.583,3.462,6.771,1.482,0.3085,2.042,0.9091,0.8046,0.2476,0.1888,0.425,4.566,8.689,39.16,8.655,4.847,0.3811,2.484,0.8769807548206983,5.7632311138947765,0.8805201048205453,2.084014120244686
143,0.8407,1.219,1.946,1.204,1.695,1.425,17.59,11.38,3.971,3.51,1.14,2.286,1.557,1.275,0.9253,2.519,12.83,14.1,4.173,4.001,3.203,2.929,1.032,0.4629,0.625,1.631,0.6476,0.659,4.128,2.774,1.092,3.194,2.793,3.978,1.331,1.527,2.196,3.259,2.803,0.7931,11.29,0.6761,4.16,4.166,0.801,0.3492,0.2899,0.1821,0.1471,0.1304,0.009936,0.004419,4.575,6.654,3.891,3.675,0.4382,0.4572,1.14,0.2987,2.644,3.517,2.443,1.114,8.243,9.841,12.35,3.732,1.958,1.125,0.3712,1.046,0.5324,0.954,0.889,1.711,7.156,5.257,4.362,7.542,0.8788,0.9217,2.101,1.406,1.548,1.098,0.6267,2.961,14.9,32.3,6.389,0.6135,1.109,0.7854,0.4417,0.7522,1.639,1.642,10.67,4.812,1.333,1.522,1.424,0.3047,0.1799,0.09953,2.887,3.914,6.42,1.953,0.6256,2.136,1.598,0.6874,0.3155,0.2861,0.767,3.804,6.422,30.87,10.67,5.57,1.962,2.379,0.865012697365662,2.7394933994989388,0.8757310596193605,2.183034442716179
144,0.4979,0.7635,2.4,1.733,2.509,2.581,16.56,12.36,6.55,4.55,1.531,2.556,1.878,1.86,1.877,3.19,13.17,15.89,5.434,4.933,3.52,2.966,0.7538,0.4749,0.9503,2.378,1.374,0.7875,5.348,3.949,2.093,3.96,3.597,4.27,1.159,1.217,2.562,4.136,3.981,1.383,13.01,1.738,4.366,5.491,1.019,0.4651,0.3709,0.2306,0.192,0.1696,0.01209,0.007398,5.238,7.72,5.433,4.776,0.6507,0.3765,0.5982,0.2918,3.208,4.28,3.614,1.184,9.733,9.402,15.45,4.904,2.336,1.381,0.4173,0.6126,0.7057,1.363,1.367,2.826,8.036,7.203,5.355,8.742,1.363,1.149,2.397,1.729,1.96,1.492,1.415,3.725,15.91,30.86,8.128,1.086,1.164,0.9537,0.4563,0.9926,2.099,2.374,11.8,6.857,2.416,1.878,1.607,0.3457,0.1992,0.2321,3.204,5.245,7.886,2.815,1.032,2.355,1.494,0.5267,0.285,0.3503,1.264,4.196,7.04,35.26,12.0,7.359,2.574,2.958,0.8061948902581461,20.541286375024086,0.8200089358305429,2.615753046614881
145,0.4206,0.756,2.863,1.552,2.687,1.501,20.65,13.45,2.302,3.151,1.917,1.831,2.539,1.361,1.333,4.017,14.86,15.28,2.629,3.839,2.655,2.297,0.5115,0.4194,0.8895,2.317,0.7776,1.552,4.642,3.568,0.5845,3.257,3.486,3.742,0.4945,1.611,2.216,4.518,2.34,1.233,12.97,0.9648,5.355,3.224,0.378,0.4359,0.2738,0.1995,0.1294,0.1783,0.01799,0.01234,6.037,7.903,2.722,3.023,0.3481,0.5618,0.5128,0.2184,3.681,3.941,2.47,1.759,9.744,14.68,10.87,3.1,1.83,0.8772,0.2773,1.113,0.5761,1.361,1.668,2.634,9.835,4.149,4.56,6.51,0.9286,0.781,2.352,1.566,1.351,1.651,0.8836,4.092,18.88,32.56,5.01,0.242,1.648,0.4171,0.3605,0.788,2.093,1.614,13.82,2.506,0.7316,1.865,1.155,0.2493,0.1768,0.1893,4.517,3.532,6.797,1.582,0.7527,2.802,0.6908,0.7687,0.2619,0.3912,1.067,5.139,8.887,37.36,8.047,5.051,0.4089,3.104,0.8685715724229827,11.34619628059356,0.8728469396137324,2.1540649008098165
