real_name,cha01_20130131,cha01_20130228,cha01_20130331,cha01_20130430,cha01_20130531,cha01_20130630,cha01_20130731,cha01_20130831,cha01_20130930,cha01_20131031,cha01_20131130,cha01_20131231,cha01_20140331,cha01_20140430,cha01_20140531,cha01_20140630,cha01_20140731,cha01_20140831,cha01_20140930,cha01_20141031,cha01_20141130,cha01_20141231,cha01_20150131,cha01_20150228,cha01_20150331,cha01_20150430,cha01_20150531,cha01_20150630,cha01_20150731,cha01_20150831,cha01_20150930,cha01_20151031,cha01_20151130,cha01_20151231,cha01_20160131,cha01_20160229,cha01_20160331,cha01_20160430,cha01_20160531,cha01_20160630,cha01_20160731,cha01_20160831,cha01_20160930,cha01_20161031,cha01_20161130,cha01_20161231,cha01_20170131,cha01_20170228,cha01_20170331,cha01_20170430,cha01_20170531,cha01_20170630,cha01_20170731,cha01_20170831,cha01_20170930,cha01_20171031,cha01_20171130,cha01_20171231,cha01_20180131,cha01_20180228,cha01_20180331,cha01_20180430,cha01_20180531,cha01_20180630,cha01_20180731,cha01_20180831,cha01_20180930,cha01_20181031,cha01_20181130,cha01_20181231,cha01_20190131,cha01_20190228,cha01_20190331,cha01_20190430,cha01_20190531,cha01_20190630,cha01_20190731,cha01_20190831,cha01_20190930,cha01_20191031,cha01_20191130,cha01_20191231,cha01_20200131,cha01_20200229,cha01_20200331,cha01_20200430,cha01_20200531,cha01_20200630,cha01_20200731,cha01_20200831,cha01_20200930,cha01_20201031,cha01_20201130,cha01_20201231,cha01_20210131,cha01_20210228,cha01_20210331,cha01_20210430,cha01_20210831,cha01_20210930,cha01_20211031,cha01_20211130,cha01_20211231,cha01_20220131,cha01_20220228,cha01_20220531,cha01_20220630,cha01_20220731,cha01_20220831,cha01_20220930,cha01_20221031,cha01_20221130,cha01_20221231,cha01_20230131,cha01_20230228,cha01_20230331,cha01_20230430,cha01_20230531,cha01_20230630,cha01_20230731,cha01_20230831,cha01_20230930,cha01_20231031,cha01_20231130,ns,pbias,rsq,rmse
109,0.7038,1.292,3.163,1.748,3.103,1.448,22.58,14.12,2.816,3.587,2.172,1.764,2.735,1.501,1.383,4.433,15.91,16.77,3.336,4.264,3.038,2.433,0.8313,0.5324,1.097,2.643,0.8217,1.868,5.36,4.258,0.6663,3.882,3.836,3.86,0.6414,2.132,2.392,5.186,2.699,1.412,13.81,1.192,6.06,3.77,0.3106,0.4072,0.2496,0.2012,0.129,0.1719,0.01556,0.008943,7.061,8.825,3.473,3.607,0.296,0.4841,1.049,0.2834,4.097,4.336,2.766,2.303,9.984,16.69,10.86,3.316,1.916,1.032,0.2608,1.438,0.7444,1.501,1.899,3.138,10.95,4.571,5.571,6.872,0.9565,0.8449,2.666,1.955,1.534,1.675,1.19,4.716,20.83,34.08,5.657,0.2576,1.754,0.4032,0.4862,0.9541,2.52,1.699,15.55,2.482,1.045,1.945,1.248,0.2354,0.1775,0.1938,5.18,4.339,7.639,1.957,0.8348,3.024,0.9741,0.7393,0.2823,0.4341,1.179,6.031,10.03,39.43,9.299,5.723,0.6694,3.313,0.8492791213121409,23.38620230294854,0.8727572840771245,2.306751633897919
110,0.758,1.931,2.089,1.336,1.789,1.316,20.03,12.5,2.866,3.043,1.107,1.715,1.49,1.202,0.7625,2.625,14.14,15.29,3.3,3.741,2.858,2.492,0.9223,0.3669,0.575,1.489,0.5557,0.8242,3.614,2.966,0.7472,3.151,2.457,3.473,1.135,1.531,1.898,3.6,2.529,0.8016,12.23,0.6591,4.29,3.534,0.5419,0.2136,0.1345,0.09942,0.07817,0.08269,0.002957,0.0005566,4.241,6.84,3.331,3.253,0.319,0.532,1.288,0.2151,2.169,3.618,2.225,1.375,8.79,12.57,11.93,3.128,1.482,0.7823,0.2365,1.228,0.3873,0.7412,0.8541,1.609,8.229,4.347,4.468,7.282,0.696,0.5914,1.766,1.088,1.387,1.015,0.5306,2.844,17.5,35.57,5.519,0.3122,0.9917,0.4205,0.3933,0.4078,1.513,1.522,12.46,3.471,0.6718,1.2,1.147,0.1857,0.08149,0.05201,2.806,3.533,6.396,1.643,0.4017,1.95,1.228,0.9203,0.2419,0.2357,0.4681,4.018,7.623,38.22,9.499,5.159,1.123,2.03,0.8806890063374725,3.870204663711697,0.8816067111869493,2.052363864655969
111,0.8084,2.041,2.882,1.113,2.36,1.032,21.35,13.09,2.387,2.954,1.523,1.482,2.103,1.089,0.9122,3.391,15.13,16.46,2.752,3.737,2.746,2.074,0.8778,0.4172,0.773,2.012,0.583,1.136,4.389,3.302,0.5546,3.184,3.196,3.698,0.6252,1.494,2.349,4.401,2.202,0.8465,13.14,0.5375,4.978,3.286,0.2615,0.2255,0.1663,0.131,0.09758,0.0878,0.01121,0.01134,5.817,7.881,2.957,3.057,0.2021,0.4088,1.11,0.2176,2.976,3.781,2.181,1.81,9.344,14.82,11.0,2.932,1.587,0.7612,0.1973,1.107,0.381,0.9451,1.013,2.02,9.758,4.021,4.845,6.702,0.5415,0.5855,2.14,1.552,1.232,1.113,0.6459,3.6,20.27,34.24,5.346,0.1672,1.109,0.2886,0.3911,0.6061,2.026,1.463,14.15,2.468,0.5559,1.406,1.106,0.1501,0.1136,0.04719,3.855,3.763,6.969,1.618,0.3216,2.223,1.0,0.9108,0.251,0.2336,0.5216,4.864,8.948,39.37,9.048,5.009,0.4321,2.6,0.8734793212028014,9.721073424551937,0.8798200107582639,2.113464147250029
113,0.4019,0.7045,2.256,0.8091,1.454,1.386,17.48,12.01,4.048,3.123,1.069,2.051,1.554,0.9391,0.7972,2.558,14.0,15.51,3.134,3.909,2.672,2.474,0.4743,0.3391,0.4711,1.639,0.5427,0.6445,4.234,2.417,1.052,2.863,3.2,3.99,0.5771,0.9268,2.218,3.492,2.282,0.4957,12.51,0.3095,4.425,3.797,0.3912,0.2859,0.2212,0.1645,0.1267,0.08862,0.007071,0.004768,5.125,6.83,3.227,3.336,0.2813,0.2795,0.4682,0.2211,2.9,3.292,2.114,0.8492,9.373,10.22,14.44,2.887,1.59,0.9329,0.2447,0.4124,0.3029,0.6009,0.6434,1.542,7.958,4.676,4.419,7.362,0.5045,0.5869,2.218,1.391,1.435,0.8217,0.4838,3.125,17.12,34.81,5.701,0.2299,0.8393,0.4409,0.3083,0.5985,1.567,1.56,11.17,4.695,0.7156,1.393,1.24,0.2199,0.1636,0.04138,2.904,3.75,6.644,1.534,0.334,1.999,0.8458,0.353,0.2235,0.1818,0.4624,3.423,6.524,39.33,8.901,5.617,0.9195,2.504,0.8539433800466696,2.3526544131817295,0.8551004343670382,2.270778382802635
114,0.8112,1.426,1.661,1.258,1.609,1.124,18.87,11.61,2.017,2.762,1.303,1.659,1.353,1.22,0.6539,2.485,13.21,13.77,2.382,3.198,2.614,2.255,0.9164,0.4138,0.5525,1.48,0.412,0.7424,3.277,2.638,0.518,2.707,2.408,2.956,1.16,1.389,1.772,3.116,1.948,0.7609,11.28,0.5579,3.86,3.067,0.6431,0.3523,0.2687,0.167,0.1268,0.0936,0.005248,0.001529,3.948,6.289,2.37,2.791,0.4667,0.4912,1.107,0.2421,2.089,3.197,1.742,1.32,8.237,12.46,10.74,2.763,1.613,0.8409,0.3135,0.8245,0.4619,0.8852,0.8433,1.605,7.627,3.753,3.611,6.696,0.8749,0.7958,1.677,1.085,1.169,1.142,0.4875,2.648,16.19,33.22,4.523,0.3894,1.082,0.6022,0.4211,0.5811,1.439,1.449,11.42,2.892,0.708,1.362,1.126,0.2858,0.16,0.0756,2.617,2.973,5.504,1.299,0.5943,1.91,1.265,0.7034,0.2663,0.2424,0.6656,3.273,7.058,36.2,8.082,3.968,0.9448,1.998,0.8780351579841053,-4.717243929466179,0.8805771596138241,2.0750638139416826
115,1.049,1.996,2.006,1.73,2.643,2.312,19.42,11.67,3.976,4.218,1.958,2.279,1.598,1.804,1.803,3.478,13.24,13.29,3.579,4.516,3.418,2.969,1.482,0.8002,0.8208,2.003,1.495,1.223,4.077,3.868,1.891,4.109,3.191,3.677,1.87,1.769,2.061,3.825,3.405,1.972,12.0,1.774,4.438,4.178,1.447,0.7396,0.4757,0.2798,0.1723,0.1357,0.008056,0.003626,3.658,6.648,4.261,4.413,1.201,0.9526,1.439,0.2817,2.263,4.064,3.157,2.108,8.445,11.58,11.48,4.298,2.499,1.56,0.7385,1.432,0.4772,1.13,1.402,2.52,7.497,4.967,5.914,6.848,1.493,1.242,2.177,1.642,1.82,1.657,1.402,3.361,16.06,30.07,5.607,1.682,1.574,0.9904,0.7013,0.572,1.889,2.174,11.49,3.926,2.69,2.0,1.727,0.6372,0.3175,0.312,2.568,4.122,6.504,2.672,1.475,2.39,1.77,1.166,0.4436,0.286,0.9614,4.592,7.021,31.96,8.029,5.907,2.786,2.788,0.8539217267071892,12.745996820196567,0.8726723950193384,2.2709467014757627
116,0.6444,1.348,2.647,1.05,2.171,1.243,21.05,13.56,2.246,2.851,1.46,1.778,2.038,0.946,0.8844,3.502,15.04,15.78,2.428,3.633,2.499,2.41,0.6825,0.3723,0.6223,1.744,0.5161,1.194,4.419,3.051,0.5781,2.878,3.251,3.815,0.6049,1.666,2.165,3.98,1.796,0.883,13.2,0.6453,5.161,3.036,0.288,0.2698,0.1718,0.08467,0.03626,0.02704,0.002914,0.004072,6.012,7.731,2.563,2.81,0.2294,0.3954,0.9439,0.1737,3.372,3.492,1.952,1.659,9.98,14.58,11.45,2.822,1.549,0.7685,0.2015,0.9466,0.314,0.9414,1.156,2.08,9.604,3.944,4.423,6.594,0.622,0.5971,2.262,1.418,1.156,1.224,0.4951,3.761,19.28,34.11,5.161,0.1775,1.345,0.3567,0.3204,0.5988,1.603,1.315,13.58,2.775,0.4806,1.507,1.113,0.1704,0.08853,0.07785,4.002,3.289,6.644,1.329,0.4518,2.519,0.8478,0.6323,0.1879,0.159,0.7128,4.811,8.678,39.58,8.003,4.917,0.3166,2.765,0.8710088747108533,7.554788013104644,0.8757653520167324,2.133998176345474
117,0.5317,1.08,3.031,1.201,2.75,1.203,22.19,13.74,2.633,3.335,1.796,1.702,2.342,1.221,1.225,3.88,15.8,16.77,2.948,4.041,2.991,2.099,0.6226,0.4349,0.8945,2.39,0.7277,1.33,5.069,3.74,0.6472,3.495,3.746,3.876,0.5439,1.37,2.401,4.755,2.495,0.985,13.72,0.6461,5.68,3.645,0.3236,0.3291,0.229,0.1695,0.1179,0.09674,0.01372,0.01481,6.397,8.53,3.201,3.411,0.2729,0.4027,0.805,0.2487,3.672,4.063,2.585,1.917,9.79,15.92,10.79,3.141,1.828,0.9903,0.2571,0.7137,0.4958,1.126,1.291,2.519,10.63,4.257,5.413,6.815,0.622,0.7206,2.561,1.919,1.356,1.232,0.9492,4.181,20.75,34.17,5.639,0.24,1.287,0.3652,0.3807,0.8075,2.347,1.602,15.06,2.433,0.8729,1.735,1.237,0.2242,0.1746,0.1202,4.41,4.161,7.519,1.863,0.4631,2.518,0.8831,0.5135,0.2639,0.2652,0.8444,5.571,9.403,39.64,9.166,5.583,0.5971,3.007,0.8582377435029199,16.630750144536524,0.8732795130175491,2.2371465621593623
118,0.4079,0.7276,2.477,0.6548,2.001,0.9528,20.81,12.79,2.393,2.951,1.433,1.634,1.671,0.8097,0.7704,2.914,14.96,16.3,2.393,3.616,2.789,1.877,0.4942,0.3993,0.4151,1.833,0.5159,0.7027,3.982,2.88,0.5637,2.773,3.462,3.825,0.4708,0.6804,2.171,3.924,1.908,0.4438,12.92,0.2179,4.337,3.33,0.3546,0.32,0.2334,0.1731,0.1176,0.07305,0.01078,0.01196,4.849,7.581,2.792,3.063,0.2939,0.291,0.3618,0.1884,2.541,3.459,2.043,1.291,8.932,13.94,10.73,2.807,1.572,0.9434,0.2783,0.3986,0.2328,0.3164,0.4783,1.583,9.621,3.623,4.92,6.571,0.3761,0.47,2.078,1.77,1.129,0.6763,0.4754,3.179,19.84,33.73,5.406,0.2515,0.6238,0.3243,0.3128,0.3956,1.649,1.317,13.81,2.361,0.632,1.444,1.21,0.2479,0.1912,0.02041,2.793,3.503,6.831,1.573,0.2293,1.576,0.6854,0.3791,0.2461,0.1692,0.1985,4.28,8.33,39.05,8.509,5.147,0.4992,2.557,0.8717965922903427,2.874470032761609,0.8745806916738599,2.1274722929293954
119,0.6264,1.265,2.597,1.172,2.473,0.9697,21.53,13.28,1.727,2.629,1.721,1.48,2.207,1.075,0.8522,3.641,14.74,15.43,2.327,3.322,2.461,2.253,0.6456,0.3221,0.6206,1.806,0.4996,1.545,3.973,3.086,0.3569,2.817,3.234,3.557,0.5813,1.614,2.039,4.02,1.626,0.9618,12.99,0.7076,5.201,2.806,0.2824,0.2808,0.1617,0.07902,0.03319,0.05122,0.004259,0.006054,5.797,7.647,2.451,2.413,0.2259,0.4675,0.8585,0.1535,3.286,3.528,1.838,2.229,9.407,16.22,9.574,2.799,1.481,0.6746,0.1874,0.8922,0.2815,1.058,1.249,2.29,9.622,3.412,4.302,6.26,0.6372,0.56,2.157,1.365,1.003,1.254,0.4935,3.759,19.64,32.98,4.69,0.1759,1.413,0.3079,0.3022,0.6317,1.695,1.172,14.09,1.86,0.4761,1.571,0.9845,0.1483,0.07569,0.07384,4.186,2.947,6.285,1.315,0.4615,2.573,0.7315,0.7119,0.1571,0.1831,0.7439,5.396,9.467,37.53,7.983,4.355,0.2499,2.763,0.8807053385711019,5.474386442474464,0.8825288267525764,2.0522233879392404
