real_name,cha01_20130131,cha01_20130228,cha01_20130331,cha01_20130430,cha01_20130531,cha01_20130630,cha01_20130731,cha01_20130831,cha01_20130930,cha01_20131031,cha01_20131130,cha01_20131231,cha01_20140331,cha01_20140430,cha01_20140531,cha01_20140630,cha01_20140731,cha01_20140831,cha01_20140930,cha01_20141031,cha01_20141130,cha01_20141231,cha01_20150131,cha01_20150228,cha01_20150331,cha01_20150430,cha01_20150531,cha01_20150630,cha01_20150731,cha01_20150831,cha01_20150930,cha01_20151031,cha01_20151130,cha01_20151231,cha01_20160131,cha01_20160229,cha01_20160331,cha01_20160430,cha01_20160531,cha01_20160630,cha01_20160731,cha01_20160831,cha01_20160930,cha01_20161031,cha01_20161130,cha01_20161231,cha01_20170131,cha01_20170228,cha01_20170331,cha01_20170430,cha01_20170531,cha01_20170630,cha01_20170731,cha01_20170831,cha01_20170930,cha01_20171031,cha01_20171130,cha01_20171231,cha01_20180131,cha01_20180228,cha01_20180331,cha01_20180430,cha01_20180531,cha01_20180630,cha01_20180731,cha01_20180831,cha01_20180930,cha01_20181031,cha01_20181130,cha01_20181231,cha01_20190131,cha01_20190228,cha01_20190331,cha01_20190430,cha01_20190531,cha01_20190630,cha01_20190731,cha01_20190831,cha01_20190930,cha01_20191031,cha01_20191130,cha01_20191231,cha01_20200131,cha01_20200229,cha01_20200331,cha01_20200430,cha01_20200531,cha01_20200630,cha01_20200731,cha01_20200831,cha01_20200930,cha01_20201031,cha01_20201130,cha01_20201231,cha01_20210131,cha01_20210228,cha01_20210331,cha01_20210430,cha01_20210831,cha01_20210930,cha01_20211031,cha01_20211130,cha01_20211231,cha01_20220131,cha01_20220228,cha01_20220531,cha01_20220630,cha01_20220731,cha01_20220831,cha01_20220930,cha01_20221031,cha01_20221130,cha01_20221231,cha01_20230131,cha01_20230228,cha01_20230331,cha01_20230430,cha01_20230531,cha01_20230630,cha01_20230731,cha01_20230831,cha01_20230930,cha01_20231031,cha01_20231130
116,0.4408,0.8479,1.605,0.5989,1.067,0.8416,18.34,10.59,1.423,1.163,0.4474,1.412,1.221,0.6527,0.2491,1.88,11.91,12.34,1.543,2.078,1.856,2.111,0.4955,0.1791,0.2308,0.7043,0.144,0.5798,2.023,1.229,0.273,1.685,1.673,3.301,0.4522,0.8157,1.226,1.957,0.53,0.4025,11.46,0.1697,3.074,1.661,0.181,0.05411,0.02403,0.005521,0.001127,0.003573,0.003718,0.005906,3.468,5.25,1.053,1.29,0.07136,0.1259,0.5384,0.07164,1.705,2.367,0.6232,1.121,8.847,10.67,11.41,1.771,0.8785,0.2525,0.03906,0.4078,0.09609,0.5802,0.4802,0.801,5.918,2.748,1.819,6.175,0.2354,0.2209,1.374,0.3088,0.4452,0.692,0.09315,1.929,14.37,33.58,2.674,0.03078,0.6653,0.3239,0.06908,0.135,0.6942,0.8035,8.871,2.984,0.1091,0.7597,0.5544,0.0238,0.002047,0.01167,2.093,1.657,3.934,0.3638,0.2,1.805,0.523,0.3247,0.05681,0.03418,0.3265,3.018,6.272,34.67,6.703,1.406,0.08996,1.542
117,0.1062,0.2245,0.5762,0.09442,0.5239,0.3114,15.66,9.127,1.001,0.3558,0.1328,0.4704,0.159,0.08024,0.02273,0.7778,10.12,11.69,0.7965,0.8794,0.8487,1.435,0.2298,0.1472,0.04071,0.04002,0.01298,0.274,0.7349,0.4717,0.1096,0.4105,0.6485,2.412,0.2321,0.1666,0.4359,0.3258,0.1105,0.1268,9.54,0.06448,1.825,0.7279,0.1363,0.04496,0.02268,0.007076,0.002889,0.002668,0.003804,0.01538,1.997,3.614,0.553,0.558,0.03751,0.02533,0.03789,0.01864,0.4268,0.6379,0.08436,0.6315,7.624,9.36,11.34,0.6815,0.2483,0.1265,0.02807,0.02706,0.01024,0.01816,0.1238,0.2497,3.998,1.61,1.104,4.874,0.06739,0.04913,0.3165,0.1206,0.1086,0.03217,0.02039,0.7244,13.58,32.25,1.392,0.01637,0.03427,0.02664,0.01846,0.01689,0.04132,0.06625,7.062,2.612,0.06122,0.08056,0.1326,0.01575,0.00494,0.004238,0.7829,0.5208,1.979,0.09612,0.01555,0.4621,0.103,0.06602,0.01999,0.007518,0.009833,1.37,4.319,34.94,3.667,1.518,0.0318,0.4231
118,0.4959,0.7171,0.321,0.1677,0.3362,0.08334,4.846,2.914,0.1291,0.4388,0.5154,0.6493,0.1882,0.1176,0.01023,0.3825,2.648,3.118,0.162,0.4966,0.7979,1.191,0.6559,0.5122,0.3251,0.1587,0.008428,0.203,0.252,0.2185,0.01363,0.07179,0.3316,0.6622,0.4616,0.4211,0.3377,0.1501,0.04226,0.08064,2.49,0.03047,0.3006,0.5307,0.2555,0.1931,0.1298,0.07611,0.03764,0.0155,0.0004482,5.327e-05,0.6431,1.096,0.04276,0.3074,0.1922,0.1536,0.1455,0.08058,0.09609,0.1265,0.02065,0.4015,1.809,3.376,1.83,0.6102,0.605,0.5291,0.3269,0.274,0.1206,0.05444,0.09837,0.1691,1.199,0.3246,0.1021,1.589,0.3337,0.2534,0.3249,0.2824,0.2041,0.07688,0.01283,0.3275,3.672,8.038,0.5865,0.219,0.2465,0.2236,0.1832,0.1388,0.09184,0.0608,2.219,0.4387,0.2814,0.3215,0.3164,0.2301,0.1327,0.001132,0.4232,0.2155,0.6852,0.0249,0.03935,0.08739,0.1344,0.114,0.05923,0.02988,0.0221,0.446,1.584,7.698,1.226,0.3243,0.3282,0.615
119,0.7467,1.322,0.5586,0.2417,0.5153,0.1449,8.198,4.882,0.2405,0.7192,0.7527,0.9255,0.3536,0.1983,0.02752,0.6537,4.576,5.669,0.3331,0.9617,1.299,1.621,0.9827,0.6295,0.3795,0.2793,0.02448,0.2749,0.4843,0.4403,0.03957,0.2333,0.6006,1.054,0.7301,0.7436,0.5115,0.5088,0.1099,0.1635,3.667,0.07131,1.141,0.867,0.3454,0.237,0.1438,0.08504,0.05192,0.03022,0.001536,0.0003787,1.075,1.873,0.2761,0.5549,0.2379,0.2709,0.5044,0.1302,0.3285,0.5057,0.07988,0.6357,2.783,5.548,3.025,1.092,0.9185,0.7245,0.4401,0.6839,0.159,0.1547,0.1713,0.2937,2.174,0.6402,0.5234,2.537,0.4775,0.4108,0.7303,0.4985,0.341,0.1608,0.02775,0.5551,5.884,18.91,1.254,0.3254,0.4958,0.3401,0.2902,0.2073,0.2583,0.215,3.723,0.737,0.4103,0.5855,0.5237,0.2628,0.1264,0.004631,0.7086,0.44,1.185,0.1169,0.07305,0.3831,0.5751,0.457,0.1334,0.06383,0.07582,1.053,2.699,12.34,2.401,0.5781,0.4777,0.9839
120,0.3981,0.7022,2.438,0.6195,2.139,0.8337,21.12,12.46,2.306,2.981,1.493,1.548,1.652,0.8326,0.7572,2.892,15,16.33,2.416,3.584,2.873,1.82,0.4945,0.3842,0.4263,1.885,0.4937,0.6484,3.868,2.934,0.4825,2.822,3.552,3.751,0.4801,0.683,1.995,3.986,1.897,0.3921,12.92,0.2414,4.174,3.378,0.3682,0.3173,0.2161,0.1425,0.09185,0.05467,0.008091,0.01235,4.387,7.656,2.856,3.095,0.3179,0.2885,0.3102,0.1516,2.405,3.528,2.103,1.363,8.558,14.42,9.995,2.834,1.615,0.969,0.2613,0.3577,0.2066,0.2701,0.3858,1.637,9.747,3.473,5.009,6.582,0.3994,0.3925,1.943,1.794,1.082,0.5825,0.4661,3.189,20.19,33.29,5.407,0.2809,0.547,0.3116,0.2901,0.3578,1.59,1.286,14.1,2.076,0.6687,1.491,1.179,0.2343,0.1688,0.01793,2.489,3.52,6.871,1.644,0.2441,1.498,0.6764,0.3783,0.2338,0.1537,0.1892,4.437,8.637,38.43,8.77,5.003,0.5603,2.564
121,0.6287,1.574,4.055,2.548,4.44,2.475,24.46,15.04,3.981,4.453,2.681,1.812,3.678,2.336,2.424,5.856,17.9,18.48,4.344,5.035,3.685,2.163,0.8103,0.7066,1.69,3.766,1.605,2.721,7.066,5.694,1.484,5.182,4.552,4.154,0.6261,1.945,2.924,6.914,4.236,2.317,15.33,1.712,7.386,4.826,0.3313,0.7188,0.2401,0.3075,0.2735,0.6688,0.09871,0.08443,8.621,10.78,4.897,4.522,0.2857,0.5599,1.211,0.3334,5.285,5.757,4.233,2.565,10.63,18.32,12.1,4.324,2.479,1.311,0.2131,1.171,1.321,2.334,2.668,4.369,12.8,6.318,7.038,7.587,1.213,1.126,2.97,2.456,2.082,2.095,2.375,6.264,22.81,35.88,6.732,0.485,2.408,0.3762,0.7556,1.211,3.627,2.395,17.8,3.486,2.208,2.421,1.411,0.1675,0.1122,0.3995,6.354,6.273,9.503,2.803,1.391,3.557,1.089,0.8383,0.4101,0.9174,1.891,7.692,11.44,41.78,11.21,7.236,1.239,4.103
122,0.2939,0.6923,3.855,2.407,4.329,2.244,24.4,14.8,3.661,4.354,2.607,1.778,3.545,2.241,2.298,5.671,17.72,18.25,4.191,4.913,3.668,1.963,0.4624,0.4706,1.626,3.658,1.532,2.524,6.87,5.501,1.318,5.063,4.512,4.143,0.419,1.713,2.883,6.773,4.079,2.162,15.13,1.452,7.263,4.755,0.3542,0.6545,0.2494,0.2314,0.2159,0.5383,0.06494,0.1328,8.249,10.58,4.782,4.438,0.273,0.259,0.4753,0.2653,5.034,5.602,4.118,2.594,10.33,18.34,11.53,4.177,2.439,1.303,0.1979,0.797,1.196,2.235,2.529,4.203,12.68,5.946,6.937,7.451,1.115,1.088,3.014,2.481,1.995,1.973,2.231,6.079,22.68,35.47,6.65,0.3716,2.321,0.3588,0.5417,1.165,3.577,2.297,17.59,3.235,2.074,2.37,1.383,0.1863,0.1376,0.3954,6.214,6.03,9.324,2.757,1.207,3.439,0.8292,0.3981,0.3543,0.8322,1.803,7.667,11.32,41.11,11.08,6.986,1.169,4.043
123,0.217,0.568,0.487,0.1026,0.5196,0.1869,16.23,9.392,0.5062,0.3909,0.2505,0.458,0.07125,0.04213,0.01247,0.6957,10.49,12.95,0.383,1.122,1.422,1.459,0.3169,0.2063,0.1088,0.05626,0.006511,0.2493,0.8408,0.5094,0.0589,0.2878,0.7738,2.433,0.3342,0.2952,0.6313,0.4182,0.1315,0.1303,9.216,0.07281,2.089,1.111,0.1969,0.1094,0.05832,0.02369,0.006501,0.00327,0.001795,0.004443,2.072,3.824,1.065,0.5815,0.1251,0.1128,0.1648,0.04716,0.4152,0.4558,0.05839,0.9201,7.164,12.56,8.292,0.8884,0.2852,0.1977,0.07851,0.1546,0.04024,0.02731,0.1255,0.2548,4.765,0.8812,1.831,5.064,0.1671,0.0957,0.2181,0.2124,0.1559,0.03904,0.02142,0.7658,15.81,30.95,2.35,0.1073,0.126,0.07208,0.04421,0.03175,0.03845,0.03985,9.186,1.302,0.1546,0.1446,0.1146,0.05281,0.02003,0.002061,0.7076,0.4126,2.28,0.09403,0.06848,0.3524,0.1388,0.1456,0.05061,0.01753,0.01327,1.662,5.397,34.28,5.02,1.859,0.111,0.4737
124,0.5646,1.288,0.454,0.1789,0.6835,0.1839,10.7,6.126,0.2041,0.2297,0.1747,0.2403,0.2926,0.1489,0.02297,0.9015,5.697,5.206,0.2336,0.6095,0.7412,1.15,0.6297,0.3317,0.2123,0.1974,0.02645,0.3098,0.4615,0.5717,0.04926,0.331,0.3009,0.5235,0.3771,0.7096,0.3536,0.5503,0.1286,0.2349,4.539,0.07983,1.67,0.6323,0.08326,0.03802,0.03313,0.0247,0.01159,0.006064,0.0002204,2.081e-05,1.45,2.366,0.3528,0.2403,0.03292,0.1285,0.605,0.08431,0.2118,0.5804,0.07749,0.8457,3.6,7.253,3.852,0.6883,0.3889,0.1337,0.1018,0.6244,0.1024,0.2303,0.2397,0.3528,2.767,0.6794,0.7097,2.544,0.1116,0.1137,0.4171,0.09779,0.09738,0.1633,0.02757,0.6271,6.85,19.09,0.8721,0.08297,0.3852,0.1561,0.2022,0.1134,0.3088,0.2827,4.529,0.6142,0.04878,0.1498,0.1744,0.04249,0.02142,0.002741,0.9656,0.6016,1.451,0.1362,0.04788,0.5102,0.265,0.314,0.05699,0.02862,0.08278,1.611,3.582,15.72,2.44,0.5412,0.1118,0.2708
125,0.6005,1.512,2.917,1.104,2.811,1.09,21.97,13.14,2.595,3.168,1.539,1.608,2.108,1.235,1.29,3.845,15.48,17.03,2.987,3.916,2.988,2.071,0.6308,0.2916,0.6922,2.156,0.8019,0.9243,4.449,3.682,0.6177,3.68,3.374,3.877,0.4701,1.237,2.244,4.869,2.63,0.9641,13.33,0.5186,5.118,3.353,0.175,0.07643,0.04826,0.04394,0.04303,0.05622,0.008107,0.007634,3.335,7.828,3.293,3.243,0.1079,0.3213,0.912,0.12,2.832,4.253,2.582,1.625,8.812,14.72,10.38,3.034,1.689,0.8239,0.1199,0.844,0.3315,0.9415,1.195,2.289,10.16,4.115,5.447,6.859,0.3759,0.5708,2.188,1.744,1.298,1.159,0.9553,3.726,20.84,34.31,5.702,0.1375,1.067,0.2301,0.2576,0.3578,2.148,1.643,14.94,2.407,0.7938,1.533,1.17,0.07912,0.03497,0.0461,3.036,3.909,7.126,1.858,0.3733,2.214,0.7815,0.6915,0.2084,0.1762,0.4933,5.77,9.241,39.14,9.415,5.581,0.5284,2.85
