real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse
84,183.788,69.2654,157.788,199.0,79.8042,51.0613,121.73,16.0488,99.8354,112.463,48.0137,199.0,192.558,0.865260371043921,10.058817209481594,0.8726701010183155,2.181030815721681
85,28.3751,2.36674,6.82725,182.157,97.4817,115.521,58.7664,97.4177,23.0837,110.982,48.3089,56.8897,51.5261,0.8377753579659867,23.552640200423973,0.8627664317717915,2.3931644369112575
86,199.0,43.2065,172.327,199.0,136.546,199.0,135.733,14.6693,78.2951,96.2705,45.1724,9.49197,145.983,0.8528711987075406,-5.972318606667954,0.8736363418138792,2.2790978768459143
87,199.0,14.4862,72.8142,180.252,24.1933,129.697,35.9018,191.919,44.9033,15.1029,67.1455,27.7918,199.0,0.8823518396498816,-2.1600162362690303,0.8828482822643383,2.0380118200739745
88,38.9109,4.53294,15.4055,199.0,8.12393,199.0,119.7,44.7305,35.3082,80.9007,66.8541,128.516,125.571,0.8835320690753402,-0.8764649980728482,0.8835606317149269,2.0277635322059595
89,114.353,42.5727,143.184,5.8423,3.48092,118.731,72.6038,183.992,95.9179,125.391,54.1869,182.631,122.423,0.8715944086618337,6.659010888417803,0.876521752207016,2.129149200823422
90,78.4666,21.8977,118.331,199.0,174.915,98.7252,19.1496,65.7378,21.0687,114.972,55.9702,199.0,177.297,0.8666184219992572,12.8132238870688,0.875140861581117,2.1700115918711216
91,91.158,20.5499,5.09864,131.417,63.7687,103.969,138.718,172.472,58.0501,103.446,73.2775,172.974,127.992,0.8618544869569438,-8.450194136635188,0.8653423517916845,2.208424314549709
92,126.748,25.3586,189.282,141.441,70.8438,190.093,104.675,43.4642,86.0031,88.6608,46.7495,199.0,41.5716,0.865064065699675,-2.5743842744266714,0.8680336176252458,2.1826190350791608
93,51.0067,38.4963,113.996,190.076,146.499,199.0,186.786,199.0,45.7448,146.623,60.0604,133.32,37.7966,0.8712671434852152,3.2984804393910188,0.873564355725236,2.131860737636426
94,94.5384,17.408,144.189,199.0,120.406,58.7479,77.106,43.6849,3.88611,98.7706,56.7009,36.3758,148.831,0.8302838590007356,-1.0115588263634616,0.8823968703488876,2.447798714316167
95,70.6852,5.41403,116.957,76.1067,182.327,199.0,115.231,15.1645,95.28,158.673,94.4702,195.578,122.786,0.878098897383568,1.3873330603199043,0.8783008125696535,2.074521524032409
96,104.416,27.8523,90.4748,199.0,138.751,199.0,50.5961,171.643,90.3319,85.0134,49.8197,100.889,139.083,0.8048185652616437,-9.290098525727501,0.8959434366539747,2.6250246216649114
97,199.0,2.28263,175.219,40.0353,31.7978,28.2585,155.098,134.651,119.891,40.0297,47.9891,199.0,7.97887,0.8737978152510384,0.7941168818654842,0.8738308630007803,2.110802329782415
98,80.3715,15.1017,163.736,199.0,78.2138,22.2265,124.975,8.71924,22.8031,107.321,72.5008,30.4078,128.018,0.8691992239158488,5.499649017151666,0.8703234117706363,2.14891525357731
99,158.815,24.6511,127.977,199.0,138.664,199.0,27.2469,132.356,52.7273,129.155,63.3543,199.0,199.0,0.8776675344292855,7.061672769319715,0.8806037304802699,2.078188765167411
100,44.1993,16.3716,25.1684,199.0,50.2176,143.429,13.9719,5.83251,86.0587,18.2649,51.093,64.2747,48.338,0.8789365946007855,-3.6564533147041827,0.8817706700132094,2.0673812409516414
101,122.94,24.9785,19.1456,195.869,78.5591,13.1926,123.739,110.278,15.3928,92.865,75.9255,86.5515,167.897,0.8724489780487746,-0.4632005203314706,0.874672040670433,2.1220523792066976
102,103.752,45.0306,26.5469,131.068,47.3227,18.3469,103.835,129.633,36.3,114.291,45.0465,183.627,82.5355,0.8543338359726051,18.3486837540952,0.872429082035244,2.267741094123618
104,71.2848,86.7891,71.9998,199.0,31.8396,199.0,136.146,36.1366,12.4078,103.561,52.5734,67.0255,67.1812,0.8785801011676927,4.3843413952592005,0.8795258062902227,2.0704228953116313
105,194.15,39.0563,162.079,29.4051,100.654,75.9018,141.6,179.113,30.7309,102.15,54.9009,142.379,24.4413,0.8329448068340725,-5.0698251108113315,0.8451344204051509,2.428533611930572
106,199.0,36.6055,174.751,199.0,199.0,25.8159,117.293,15.6754,79.2848,114.447,61.0834,58.7676,82.0298,0.8745111706915685,7.494230583927537,0.8779006249872133,2.104828240772254
107,72.1243,8.4073,152.937,199.0,9.03002,78.872,65.2501,149.276,4.71744,86.034,68.2791,186.177,191.919,0.8804818460454591,5.837287820389285,0.8816354400889982,2.0541448568723917
