real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
1,57.1352,34.0731,23.3523,199,193.138,199,38.9666,76.1078,135.025,170.068,58.7007,89.4664,29.8108
2,74.73,42.5534,14.748,58.8289,191.736,199,9.7656,99.3675,44.8404,167.629,54.9068,101.067,163.733
4,112.008,22.922,55.5846,19.2808,16.1443,56.9873,138.949,99.2593,17.0693,171.357,73.1946,174.243,55.4926
5,67.721,18.5639,175.572,199,128.565,49.5235,15.1807,67.8822,39.8101,154.505,62.9092,199,159.826
6,96.7207,13.2118,56.1142,198.651,160.324,130.74,29.8955,59.1782,81.315,128.969,68.8005,113.75,100.074
7,64.8334,28.2837,15.6799,192.279,103.188,193.952,73.8212,100.311,4.60835,115.396,54.8899,23.8779,36.7577
8,95.474,46.4224,20.5977,128.052,31.4551,45.6065,58.1754,110.253,81.6224,99.3559,50.7033,40.1966,9.37154
9,165.324,57.4743,20.1253,23.7221,49.7054,199,26.5008,131.488,71.6271,134.694,39.1877,144.139,21.9951
10,92.9156,62.7625,96.7441,60.8632,184.919,199,149.991,68.2451,15.5827,140.079,47.7464,4.53366,45.7174
11,173.061,49.898,159.935,125.924,85.7384,93.1814,61.6774,189.942,7.25454,103.4,56.2992,14.1537,121.376
13,99.0174,35.6976,31.8448,199,174.778,14.804,128.26,184.894,111.231,144.591,62.1053,137.923,199
14,38.1284,55.2579,158.375,199,128.523,165.455,22.051,64.7662,26.2741,154.765,55.3936,96.2424,199
15,179.979,43.7025,169.109,199,104.752,27.7616,9.30064,143.736,110.185,106.295,60.9579,102.27,26.2675
16,122.171,18.5477,102.49,196.653,142.952,189.286,19.1715,50.4374,121.689,101.764,51.8271,44.8693,199
17,82.0643,31.4867,47.0238,199,117.906,34.3773,35.0055,121.555,56.6681,136.083,60.3548,154.124,185.286
18,47.5727,33.4298,34.383,194.221,98.2837,82.6339,126.172,30.9999,48.2849,60.4203,36.4874,7.0312,199
19,116.664,66.9238,27.8045,41.811,88.5657,27.7929,66.306,33.3461,112.294,145.032,51.0042,77.4306,39.9762
21,136.515,76.6405,152.834,198.869,27.9377,52.6924,3.49167,7.97977,26.735,142.913,57.1848,135.965,194.658
22,181.502,45.5993,179.112,140.504,65.0579,43.8261,113.696,42.3978,9.40336,95.7134,46.2656,178.663,70.1491
23,125.937,77.4408,42.7005,36.9095,98.3649,168.64,69.3363,157.654,99.907,115.454,46.2414,95.4167,69.304
24,182.85,70.5947,34.623,199,105.188,16.5613,116.518,118.839,27.718,110.79,60.0548,105.45,79.9219
25,146.869,46.0117,155.278,98.0691,169.614,129.348,10.2842,79.484,42.1535,100.198,51.7895,43.2631,196.405
26,77.5301,54.5628,55.2744,199,25.3217,43.8616,3.49896,167.914,10.2462,107.697,59.8998,15.1703,145.45
27,134.453,33.9722,92.9588,10.7784,66.8406,199,37.7184,161.409,102.874,106.885,48.189,21.4319,197.411
28,65.2216,2.80767,195.202,77.1372,93.8289,199,140.207,185.146,23.9094,117.994,54.7791,73.7902,195.659
29,85.6149,26.4254,43.0998,132.719,66.6599,66.6784,46.366,132.927,74.759,119.476,53.1251,88.6653,18.4453
30,63.8919,8.06083,121.84,83.1024,85.2836,60.347,12.0678,39.7594,75.0879,99.2988,48.7998,59.4427,83.2347
31,74.1626,10.0605,172.517,76.9092,172.646,199,150.325,199,9.35809,130.755,62.8369,23.2433,5.60541
32,75.0323,25.7908,11.9095,74.5628,14.8331,29.8189,140.047,190.754,13.1834,102.229,59.8805,31.5638,162.15
33,71.4733,22.9934,18.6819,36.2227,84.1794,199,70.1834,194.767,6.10606,159.492,59.6787,11.0078,55.8316
34,167.959,18.0779,152.654,199,105.908,183.722,24.3557,36.8315,4.98768,17.7067,51.2858,178.253,24.0205
35,59.4848,14.8707,179.645,191.476,152.705,164.012,155.985,38.1848,13.2261,139.91,69.3922,4.00517,38.1924
36,139.508,45.2544,157.21,199,75.235,199,125.189,59.166,15.1416,148.375,59.1131,44.0605,178.674
37,141.701,47.1423,48.7014,58.2795,163.106,199,125.846,155.242,99.776,148.776,59.4405,42.7512,199
38,187.206,2.70761,103.176,85.7307,85.7753,80.9192,52,187.132,134.64,101.092,52.4967,62.0841,193.768
39,78.3771,19.9184,176.34,66.7879,128.972,114.214,146.046,44.6348,24.14,111.406,59.9993,61.9559,149.518
40,92.2926,20.3796,76.8004,19.9016,160.132,199,134.633,195.119,82.7719,111.331,52.5752,169.628,35.5285
41,176.582,13.3697,194.543,199,86.4046,199,127.923,43.5846,46.7394,101.8,54.5272,30.4533,42.9267
42,162.662,99.5601,165.914,131.112,52.7945,118.708,154.345,146.412,100.167,87.6883,40.0444,117.1,18.4205
43,103.993,34.2272,26.2792,139.316,81.8058,199,4.36139,195.034,22.33,112.595,67.0751,38.9836,37.4293
44,189.391,59.8399,59.7902,137.511,93.124,190.739,13.1973,79.4227,59.6505,129.728,45.9633,194.887,82.7946
45,68.0735,40.4172,26.9627,161.178,199,47.545,123.868,65.7344,12.7491,158.977,53.9795,127.801,135.96
46,106.859,37.4345,33.1977,107.714,99.9229,165.341,133.055,93.7588,62.6797,101.434,47.2605,41.4547,78.7428
47,136.74,45.2218,152.503,198.664,184.967,199,163.151,85.2289,122.509,112.478,49.3283,140.226,199
48,199,7.67324,140.055,75.2059,89.2954,38.0376,149.03,85.8315,138.66,101.922,34.1205,199,120.209
49,83.8621,38.8687,162.848,199,114.215,199,10.2799,37.0351,71.8878,184.317,72.0839,87.3651,19.6902
50,67.2778,27.0935,154.181,199,186.506,27.383,78.0138,108.678,85.5221,156.872,71.6788,54.9552,179.885
51,92.0804,14.8006,66.5835,199,14.4901,199,149.53,24.1504,39.8769,105.069,59.656,173.014,195.283
52,178.705,47.1053,68.9474,197.28,16.1303,150.653,106.546,178.933,29.6575,139.459,53.0202,187.83,166.546
53,57.6525,103.977,156.409,198.779,197.458,62.2926,42.091,46.3034,95.8343,106.224,42.3097,41.8947,16.6545
54,119.063,27.9879,159.897,29.3216,30.3035,190.061,45.5286,36.2451,122.17,103.403,54.9047,11.9577,8.55492
55,55.1171,7.26399,39.8332,112.052,7.2548,105.97,95.3871,28.2804,63.4848,151.844,92.5306,56.5946,15.5372
56,43.3971,71.5555,152.258,192.875,199,111.596,155.255,194.581,80.3229,187.9,58.7476,199,189.185
57,76.5666,42.1741,82.7898,199,175.899,90.9503,22.1087,194.793,14.4663,130.886,59.6662,78.4532,188.738
58,199,90.5609,160.58,105.473,30.1343,199,36.0265,148.194,117.855,99.7952,43.8051,59.4846,199
59,61.6147,89.0571,157.919,197.814,192.82,6.59908,8.3227,24.1347,32.0721,121.967,46.0338,176.659,30.1189
60,199,60.2462,40.8765,147.401,7.24738,141.213,7.73318,67.5114,28.6721,69.631,69.0966,82.1749,199
61,45.6577,59.5674,196.943,29.3582,120.184,192.182,74.5762,195.811,44.9221,199,72.5017,97.2909,185.963
62,76.2861,61.0133,151.346,63.1195,157.368,20.8721,61.2267,162.467,120.731,125.344,48.1727,13.4709,67.2109
63,28.2084,39.7624,136.455,150.6,82.4669,199,83.8259,182.09,72.7849,195.953,61.8633,64.274,188.77
64,58.8989,32.6595,75.5405,199,41.9644,199,68.9488,85.6675,36.6718,101.101,50.2241,156.278,198.693
65,52.2576,49.022,37.9224,199,75.5782,188.148,133.491,175.266,6.97208,180.891,58.2352,199,162.173
66,199,62.8335,169.121,195.758,106.61,11.5198,37.2211,192.945,149.554,101.425,57.1048,58.5356,89.0343
67,140.234,25.1899,88.2749,198.459,179.241,199,41.2575,52.8866,32.618,144.32,59.0765,21.6614,198.469
69,199,40.2232,171.297,15.2025,103.249,199,17.9643,59.0363,8.89118,36.6859,41.1533,117.688,22.7276
70,109.504,26.0234,168.443,65.191,132.094,92.5425,46.4993,39.7999,118.232,120.367,48.9827,48.9664,175.921
71,163.707,63.5524,8.43601,199,23.2963,199,76.2303,92.573,39.0037,105.054,58.76,51.3489,154.649
73,126.531,66.6739,163.877,189.551,129.893,161.706,38.3592,162.47,30.5604,112.645,51.1037,177.183,199
74,65.2933,40.0171,37.272,67.1581,185.288,121.433,75.0399,191.071,29.1026,166.64,53.4621,96.1045,199
75,86.4402,19.7636,36.0491,199,141.17,199,50.6433,31.8873,97.9314,124.868,66.6264,195.917,126.792
76,74.8793,12.2514,190.141,26.1941,105.304,190.181,143.724,93.9837,10.2468,43.9747,34.0412,131.243,108.26
77,133.387,30.0889,165.96,64.4748,52.7711,72.0708,134.065,191.866,62.47,122.469,54.5284,55.9323,199
78,27.2158,34.2327,130.287,196.914,106.678,199,20.518,199,47.4582,110.497,39.8695,177.137,199
80,112.227,112.081,12.6041,167.271,87.7501,22.5085,30.1398,172.22,89.3991,118.299,51.4274,184.658,43.5292
81,145.85,108.711,15.5726,154.284,99.474,199,5.15288,173.123,63.7604,69.7891,24.2895,59.1481,28.2107
82,86.6533,7.65631,170.429,33.0884,144.524,10.7083,144.125,174.425,98.2609,119.022,90.6081,176.682,199
83,65.3452,48.9041,161.83,78.1658,175.317,68.4246,73.3257,120.297,50.7279,140.332,45.1764,185.278,199
84,144.45,96.4772,170.374,199,85.8856,41.2955,129.701,12.9077,126.359,108.248,45.2412,199,199
85,24.9534,3.75174,6.36974,181.403,85.8276,88.0178,63.5907,127.344,33.0786,97.7187,31.6859,41.4636,53.7257
86,199,74.9425,196.164,199,159.727,194.013,150.912,14.5734,110.233,109.256,39.1909,7.87489,173.523
