name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
awc,2,0.574713,0.850573,3.14943,2.04082,0.574713,0.891393,3.19025
canmx,2,0.574713,0.850573,3.14943,1.99914,0.574269,0.850606,3.14768
cn2,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
cn3_swf,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
epco,2,0.574713,0.850573,3.14943,2.04139,0.574379,0.892634,3.19015
esco,2,0.574713,0.850573,3.14943,2.00955,0.574713,0.860126,3.15898
lat_len,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
latq_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
perco,2,0.574713,0.850573,3.14943,2,0.574713,0.850574,3.14943
petco,2,0.574713,0.850573,3.14943,2.00073,0.0159806,1.96877,2.03269
revap_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
surlag,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
