 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2001       1       1  hru0001              399.217       0.000       0.000     256.672       0.048     256.720       4.773     157.228       0.000       0.000     157.228     256.672      98.833      92.814     227.484     168.703       2.027       0.000       0.000       0.000    1140.097       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.048       0.000       0.000      86.756       0.000       0.000      67.243       0.000       0.800       0.000       0.000       0.000       0.000
   365    12    31  2001       2       2  hru0002              399.217       0.000       0.000     256.672       0.001     256.673       0.000     157.227       0.000       0.000     157.227     256.672      98.833      92.814      78.870      81.463       2.028       0.000       0.000       0.000    1140.138       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.001       0.000       0.000       7.720       0.000       0.000      -6.962       0.000       0.004       0.000       0.000       0.000       0.000
   365    12    31  2001       3       3  hru0003              399.217       0.000       0.000     256.672       0.398     257.070     395.886     268.449       0.000       0.000     268.449     256.672      98.833      92.814     565.704     486.851       2.027       0.000       0.000       0.000    1140.032       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.398       0.000       0.000     758.332       0.000       0.000     236.121       0.118      13.492       0.000       0.000       0.000       0.000
   365    12    31  2001       4       4  hru0004              399.217       0.000       0.000     256.672       0.093     256.764      15.237     153.376       0.000       0.000     153.376     256.672      98.833      67.600     196.042     126.873       1.625       0.000       0.000       0.000    1140.055       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.093       0.000       0.000      90.312       0.000       0.000      64.133       0.000       2.604       0.000       0.000       0.000       0.000
   365    12    31  2001       5       5  hru0005              399.217       0.000       0.000     256.672       0.106     256.777     220.638     186.630       0.000       0.000     186.630     256.672      98.833      67.600     410.527     310.687       1.624       0.000       0.000       0.000    1140.027       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.106       0.000       0.000     436.072       0.000       0.000     171.229       0.031       6.041       0.000       0.000       0.000       0.000
   365    12    31  2001       6       6  hru0006              399.217       0.000       0.000     256.672       5.808     262.480      37.423     153.373       0.000       0.000     153.373     256.672      98.833      67.600     197.567     156.025       1.625       0.000       0.000       0.000    1140.088       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       5.808       0.000       0.000     119.024       0.000       0.000      64.895       0.000      24.892       0.000       0.000       0.000       0.000
   365    12    31  2001       7       7  hru0007              399.217       0.000       0.000     256.672       0.000     256.672       0.000     155.398       0.000       0.000     155.398     256.672      98.833      81.247      55.508      57.997       1.815       0.000       0.000       0.000    1140.136       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -12.852       0.000       0.005       0.000       0.000       0.000       0.000
   365    12    31  2001       8       8  hru0008              399.217       0.000       0.000     256.672       0.001     256.673       0.000     155.397       0.000       0.000     155.397     256.672      98.833      81.247      55.508      57.997       1.815       0.000       0.000       0.000    1140.144       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000     -12.852       0.000       0.006       0.000       0.000       0.000       0.000
   365    12    31  2001       9       9  hru0009              399.217       0.000       0.000     256.672       0.000     256.672       0.000     155.398       0.000       0.000     155.398     256.672      98.833      81.247      55.508      57.997       1.815       0.000       0.000       0.000    1140.119       0.000       0.000       0.000       0.000       0.000     256.672       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     -12.852       0.000       0.003       0.000       0.000       0.000       0.000
