 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   365    12    31  2001       1       0  rtu0010                0.000       0.000      50.101      39.325            0.000            0.000            0.000            8.064          314.384          -53.884           53.769           36.657            6.647            0.000            0.000           11.654            1.765            0.000            0.000
   365    12    31  2001       2       0  rtu0020                0.000       0.000      80.844      63.356            0.000            0.000            0.000           70.762          521.527          -87.125           89.230           41.058            7.321            0.000            0.000           16.035            2.355            0.000            0.000
   365    12    31  2001       3       0  rtu0030                0.000       0.000      59.006      46.920            0.000            0.000            0.000           22.338          409.509          -71.137           70.037           38.523            7.115            0.000            0.000           28.744            6.369            0.000            0.000
   365    12    31  2001       4       0  rtu0040                0.000       0.000      28.226      22.498            0.000            0.000            0.000            7.679          185.876          -31.568           31.770           36.725            6.812            0.000            0.000           21.424            4.359            0.000            0.000
   365    12    31  2001       5       0  rtu0050                0.000       0.000      61.567      48.491            0.000            0.000            0.000           36.438          394.474          -69.209           67.477           35.420            6.570            0.000            0.000           13.920            2.183            0.000            0.000
   365    12    31  2001       6       0  rtu0060                0.000       0.000      80.002      63.121            0.000            0.000            0.000          156.213          521.172          -94.734           89.150           35.543            6.590            0.000            0.000           16.523            2.589            0.000            0.000
   365    12    31  2001       7       0  rtu0070                0.000       0.000      40.707      32.115            0.000            0.000            0.000            0.000          265.631          -43.613           45.431           42.134            7.092            0.000            0.000           42.065            5.596            0.000            0.000
   365    12    31  2001       8       0  rtu0080                0.000       0.000      92.918      73.145            0.000            0.000            0.000          113.473          611.239         -107.688          104.571           28.298            4.977            0.000            0.000           10.879            1.573            0.000            0.000
   365    12    31  2001       9       0  rtu0090                0.000       0.000     126.268      99.227            0.000            0.000            0.000            0.000          823.556         -140.732          140.923           35.638            6.599            0.000            0.000           13.503            2.112            0.000            0.000
   365    12    31  2001      10       0  rtu0100                0.000       0.000      66.961      52.643            0.000            0.000            0.000           45.336          426.262          -73.462           72.908           40.145            7.161            0.000            0.000           13.322            1.964            0.000            0.000
   365    12    31  2001      11       0  rtu0110                0.000       0.000      49.566      40.469            0.000            0.000            0.000           56.937          354.482          -60.711           60.602           49.216            8.598            0.000            0.000           44.157           10.768            0.000            0.000
   365    12    31  2001      12       0  rtu0120                0.000       0.000      58.910      46.297            0.000            0.000            0.000            0.000          355.945          -61.054           60.899           41.530            7.671            0.000            0.000            3.807            0.535            0.000            0.000
   365    12    31  2001      13       0  rtu0130                0.000       0.000      59.799      47.061            0.000            0.000            0.000          108.159          383.812          -64.387           65.631           35.761            6.632            0.000            0.000           12.377            1.932            0.000            0.000
   365    12    31  2001      14       0  rtu0140                0.000       0.000      43.587      34.161            0.000            0.000            0.000           31.024          285.814          -47.973           48.888           35.012            6.484            0.000            0.000           10.783            1.687            0.000            0.000
   365    12    31  2001      15       0  rtu0150                0.000       0.000      51.101      40.432            0.000            0.000            0.000           46.525          347.112          -59.069           59.374           32.087            5.286            0.000            0.000           39.356            5.267            0.000            0.000
   365    12    31  2001      16       0  rtu0160                0.000       0.000      76.573      60.062            0.000            0.000            0.000           50.300          489.856          -82.787           83.819           38.352            6.977            0.000            0.000           13.412            2.054            0.000            0.000
   365    12    31  2001      17       0  rtu0170                0.000       0.000      46.013      36.331            0.000            0.000            0.000           30.960          305.601          -49.850           52.264           52.048            8.693            0.000            0.000           55.202            7.836            0.000            0.000
   365    12    31  2001      18       0  rtu0180                0.000       0.000      45.981      36.197            0.000            0.000            0.000           22.119          307.952          -50.211           52.675           42.716            7.112            0.000            0.000           47.383            6.699            0.000            0.000
   365    12    31  2001      19       0  rtu0190                0.000       0.000      47.214      37.077            0.000            0.000            0.000           13.757          297.064          -50.837           50.802           39.707            7.083            0.000            0.000           16.861            2.357            0.000            0.000
   365    12    31  2001      20       0  rtu0200                0.000       0.000      57.684      45.329            0.000            0.000            0.000           35.478          374.326          -62.752           64.041           27.427            4.943            0.000            0.000           15.585            2.196            0.000            0.000
   365    12    31  2001      21       0  rtu0210                0.000       0.000      41.738      32.669            0.000            0.000            0.000            9.124          268.038          -45.660           45.847           35.819            6.608            0.000            0.000           10.782            1.651            0.000            0.000
   365    12    31  2001      22       0  rtu0220                0.000       0.000      54.549      43.113            0.000            0.000            0.000           35.376          362.944          -61.429           62.085           35.934            6.027            0.000            0.000           38.587            5.117            0.000            0.000
   365    12    31  2001      23       0  rtu0230                0.000       0.000      59.798      46.857            0.000            0.000            0.000           12.717          386.873          -65.934           66.194           35.857            6.628            0.000            0.000           11.220            1.749            0.000            0.000
   365    12    31  2001      24       0  rtu0240                0.000       0.000      44.629      35.041            0.000            0.000            0.000           12.571          274.636          -47.463           46.973           35.734            6.599            0.000            0.000            9.426            1.455            0.000            0.000
   365    12    31  2001      25       0  rtu0250                0.000       0.000      51.182      40.221            0.000            0.000            0.000           12.223          320.618          -55.296           54.844           35.029            6.481            0.000            0.000           10.577            1.650            0.000            0.000
   365    12    31  2001      26       0  rtu0260                0.000       0.000     101.310      79.460            0.000            0.000            0.000          143.152          674.904         -111.725          115.487           14.352            2.571            0.000            0.000            2.794            0.384            0.000            0.000
   365    12    31  2001      27       0  rtu0270                0.000       0.000      71.942      56.467            0.000            0.000            0.000           24.001          461.750          -75.853           79.003           35.147            6.034            0.000            0.000           17.040            1.969            0.000            0.000
   365    12    31  2001      28       0  rtu0280                0.000       0.000      83.173      65.438            0.000            0.000            0.000           76.380          535.916          -89.569           91.640           44.142            7.702            0.000            0.000            1.398            0.187            0.000            0.000
   365    12    31  2001      29       0  rtu0290                0.000       0.000     118.119      92.943            0.000            0.000            0.000          357.926          786.169         -134.912          134.446           29.699            5.126            0.000            0.000            2.954            0.402            0.000            0.000
   365    12    31  2001      30       0  rtu0300                0.000       0.000      96.856      76.096            0.000            0.000            0.000          205.655          641.792         -108.386          109.771           31.999            5.422            0.000            0.000           12.364            1.713            0.000            0.000
   365    12    31  2001      31       0  rtu0310                0.000       0.000      84.969      66.773            0.000            0.000            0.000           48.747          557.087          -93.342           95.291           44.202            7.536            0.000            0.000           29.927            4.222            0.000            0.000
   365    12    31  2001      32       0  rtu0320                0.000       0.000     137.452     108.343            0.000            0.000            0.000          214.717          910.128         -164.698          155.702           35.615            6.601            0.000            0.000           17.757            2.780            0.000            0.000
