 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2000      14      14  hru0014        0.000       0.000      46.560      35.490            0.000            0.000            0.000            0.000          320.862          -28.400           54.972            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      15      15  hru0015        0.000       0.000      55.709      42.716            0.000            0.000            0.000            0.000          317.693          -25.157           54.393           58.954           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      16      16  hru0016        0.000       0.000      57.873      44.427            0.000            0.000            0.000           46.268          335.917          -26.635           57.509           58.954           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      17      17  hru0017        0.000       0.000      56.307      43.192            0.000            0.000            0.000            0.000          322.649          -25.515           55.241           58.954           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      18      18  hru0018        0.000       0.000      79.459      60.548            0.000            0.000            0.000          170.791          489.750          -37.471           83.844           58.954           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      19      19  hru0019        0.000       0.000      64.178      49.106            0.000            0.000            0.000            0.000          375.511          -30.283           64.303           58.953           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      20      20  hru0020        0.000       0.000      71.861      54.734            0.000            0.000            0.000          115.191          435.749          -33.688           74.607           58.954           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      21      21  hru0021        0.000       0.000     132.085     100.678            0.000            0.000            0.000            0.000          844.548          -71.390          144.661           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      22      22  hru0022        0.000       0.000     133.502     101.440            0.000            0.000            0.000           86.911          858.933          -71.071          147.121           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      23      23  hru0023        0.000       0.000     128.529      98.074            0.000            0.000            0.000            0.000          819.221          -69.830          140.328           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      24      24  hru0024        0.000       0.000      85.904      65.651            0.000            0.000            0.000            0.000          525.943          -42.978           90.073           58.953           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      25      25  hru0025        0.000       0.000      88.792      67.935            0.000            0.000            0.000           28.822          547.406          -44.578           93.744           58.953           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      26      26  hru0026        0.000       0.000      79.580      60.802            0.000            0.000            0.000            0.000          481.926          -40.137           82.542           58.950           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      27      27  hru0027        0.000       0.000     153.787     117.248            0.000            0.000            0.000            0.000          993.854          -85.112          170.249           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      28      28  hru0028        0.000       0.000     153.787     117.248            0.000            0.000            0.000            0.000          993.852          -85.112          170.249           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      29      29  hru0029        0.000       0.000      97.996      74.808            0.000            0.000            0.000            0.000          608.993          -51.368          104.313           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      30      30  hru0030        0.000       0.000      66.457      50.531            0.000            0.000            0.000          120.437          407.871          -30.800           69.811           77.557           13.880            0.000            0.000           27.858            3.808            0.000            0.000
   366    12    31  2000      31      31  hru0031        0.000       0.000      64.603      49.156            0.000            0.000            0.000           85.127          394.410          -30.247           67.510           77.636           13.891            0.000            0.000           30.088            4.106            0.000            0.000
   366    12    31  2000      32      32  hru0032        0.000       0.000      61.733      46.952            0.000            0.000            0.000            7.964          370.693          -28.534           63.454           77.643           13.892            0.000            0.000           30.343            4.142            0.000            0.000
   366    12    31  2000      33      33  hru0033        0.000       0.000     147.631     111.803            0.000            0.000            0.000            0.000          965.535          -78.666          165.364           77.701           13.900            0.000            0.000           31.066            4.244            0.000            0.000
   366    12    31  2000      34      34  hru0034        0.000       0.000     148.536     112.428            0.000            0.000            0.000            0.000          972.839          -78.911          166.614           77.702           13.900            0.000            0.000           31.072            4.245            0.000            0.000
   366    12    31  2000      35      35  hru0035        0.000       0.000     144.858     109.958            0.000            0.000            0.000            0.000          944.251          -77.989          161.723           77.697           13.900            0.000            0.000           31.044            4.241            0.000            0.000
   366    12    31  2000      36      36  hru0036        0.000       0.000      99.399      75.489            0.000            0.000            0.000           75.539          633.082          -50.055          108.400           77.667           13.895            0.000            0.000           30.599            4.178            0.000            0.000
   366    12    31  2000      37      37  hru0037        0.000       0.000     103.479      78.525            0.000            0.000            0.000          224.607          664.392          -51.849          113.754           77.641           13.892            0.000            0.000           29.869            4.076            0.000            0.000
   366    12    31  2000      38      38  hru0038        0.000       0.000      99.327      75.468            0.000            0.000            0.000           60.777          632.202          -50.066          108.249           77.667           13.895            0.000            0.000           30.599            4.178            0.000            0.000
   366    12    31  2000      39      39  hru0039        0.000       0.000      67.513      51.172            0.000            0.000            0.000            0.000          410.268          -32.405           70.246           77.636           13.890            0.000            0.000           30.511            4.166            0.000            0.000
   366    12    31  2000      40      40  hru0040        0.000       0.000      67.060      50.900            0.000            0.000            0.000            0.000          406.623          -32.323           69.622           77.636           13.890            0.000            0.000           30.504            4.165            0.000            0.000
   366    12    31  2000      41      41  hru0041        0.000       0.000      67.525      51.181            0.000            0.000            0.000            0.000          410.346          -32.408           70.259           77.636           13.890            0.000            0.000           30.512            4.166            0.000            0.000
   366    12    31  2000      42      42  hru0042        0.000       0.000     110.256      83.694            0.000            0.000            0.000            0.000          705.115          -57.765          120.760           77.674           13.896            0.000            0.000           30.849            4.214            0.000            0.000
   366    12    31  2000      43      43  hru0043        0.000       0.000     111.969      85.273            0.000            0.000            0.000            0.000          771.501          -67.724          132.174            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      44      44  hru0044        0.000       0.000     114.273      86.885            0.000            0.000            0.000            0.000          789.316          -68.347          135.222            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      45      45  hru0045        0.000       0.000      40.141      30.544            0.000            0.000            0.000            3.581          278.116          -23.890           47.645            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      46      46  hru0046        0.000       0.000      39.982      30.423            0.000            0.000            0.000            0.000          276.694          -23.828           47.401            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      47      47  hru0047        0.000       0.000      47.228      35.911            0.000            0.000            0.000            0.000          326.116          -28.519           55.871            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      48      48  hru0048        0.000       0.000      47.316      35.967            0.000            0.000            0.000            0.000          326.797          -28.539           55.987            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      49      49  hru0049        0.000       0.000      46.470      35.420            0.000            0.000            0.000            0.000          320.208          -28.359           54.860            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      50      50  hru0050        0.000       0.000      76.114      58.137            0.000            0.000            0.000            0.000          466.849          -38.854           79.955           62.233           11.722            0.000            0.000           13.067            2.027            0.000            0.000
   366    12    31  2000      51      51  hru0051        0.000       0.000      76.141      58.157            0.000            0.000            0.000            0.000          467.048          -38.865           79.989           62.233           11.722            0.000            0.000           13.074            2.028            0.000            0.000
   366    12    31  2000      52      52  hru0052        0.000       0.000      76.143      58.158            0.000            0.000            0.000            0.000          467.063          -38.866           79.992           62.233           11.722            0.000            0.000           13.074            2.028            0.000            0.000
   366    12    31  2000      53      53  hru0053        0.000       0.000      33.593      25.786            0.000            0.000            0.000            0.000          172.458          -12.917           29.509           62.118           11.704            0.000            0.000           11.472            1.779            0.000            0.000
   366    12    31  2000      54      54  hru0054        0.000       0.000      33.613      25.801            0.000            0.000            0.000            0.000          172.603          -12.926           29.534           62.118           11.704            0.000            0.000           11.483            1.781            0.000            0.000
   366    12    31  2000      55      55  hru0055        0.000       0.000      33.613      25.802            0.000            0.000            0.000            0.000          172.610          -12.927           29.535           62.119           11.704            0.000            0.000           11.485            1.781            0.000            0.000
   366    12    31  2000      56      56  hru0056        0.000       0.000      82.714      63.134            0.000            0.000            0.000            0.000          512.122          -42.532           87.708           62.198           11.716            0.000            0.000           12.578            1.951            0.000            0.000
   366    12    31  2000      57      57  hru0057        0.000       0.000      82.760      63.167            0.000            0.000            0.000            0.000          512.451          -42.553           87.765           62.199           11.717            0.000            0.000           12.591            1.953            0.000            0.000
   366    12    31  2000      58      58  hru0058        0.000       0.000     138.252     105.535            0.000            0.000            0.000            0.000          894.630          -76.243          153.240           62.305           11.733            0.000            0.000           13.408            2.080            0.000            0.000
   366    12    31  2000      59      59  hru0059        0.000       0.000     138.261     105.540            0.000            0.000            0.000            0.000          894.699          -76.246          153.251           62.306           11.734            0.000            0.000           13.415            2.081            0.000            0.000
   366    12    31  2000      60      60  hru0060        0.000       0.000     138.261     105.540            0.000            0.000            0.000            0.000          894.705          -76.246          153.252           62.306           11.734            0.000            0.000           13.415            2.081            0.000            0.000
   366    12    31  2000      61      61  hru0061        0.000       0.000      54.178      41.441            0.000            0.000            0.000            0.000          315.712          -25.656           54.061           62.255           11.725            0.000            0.000           13.166            2.043            0.000            0.000
   366    12    31  2000      62      62  hru0062        0.000       0.000      54.176      41.440            0.000            0.000            0.000            0.000          315.688          -25.654           54.057           62.254           11.725            0.000            0.000           13.159            2.042            0.000            0.000
   366    12    31  2000      63      63  hru0063        0.000       0.000      54.178      41.442            0.000            0.000            0.000            0.000          315.715          -25.656           54.062           62.255           11.725            0.000            0.000           13.170            2.043            0.000            0.000
   366    12    31  2000      64      64  hru0064        0.000       0.000      67.976      51.916            0.000            0.000            0.000            0.000          411.060          -34.062           70.398           62.256           11.725            0.000            0.000           13.184            2.045            0.000            0.000
   366    12    31  2000      65      65  hru0065        0.000       0.000      67.976      51.916            0.000            0.000            0.000            0.000          411.062          -34.062           70.398           62.256           11.725            0.000            0.000           13.185            2.046            0.000            0.000
   366    12    31  2000      66      66  hru0066        0.000       0.000     147.193     112.326            0.000            0.000            0.000            0.000          956.362          -81.595          163.815           62.283           11.730            0.000            0.000           13.309            2.065            0.000            0.000
   366    12    31  2000      67      67  hru0067        0.000       0.000     147.193     112.326            0.000            0.000            0.000            0.000          956.365          -81.595          163.816           62.283           11.730            0.000            0.000           13.310            2.065            0.000            0.000
   366    12    31  2000      68      68  hru0068        0.000       0.000     147.183     112.320            0.000            0.000            0.000            0.000          956.280          -81.591          163.801           62.283           11.730            0.000            0.000           13.302            2.064            0.000            0.000
   366    12    31  2000      69      69  hru0069        0.000       0.000      85.368      65.205            0.000            0.000            0.000            0.000          530.582          -44.421           90.875           62.267           11.727            0.000            0.000           13.222            2.051            0.000            0.000
   366    12    31  2000      70      70  hru0070        0.000       0.000      85.366      65.204            0.000            0.000            0.000            0.000          530.563          -44.420           90.871           62.267           11.727            0.000            0.000           13.221            2.051            0.000            0.000
   366    12    31  2000      71      71  hru0071        0.000       0.000      20.264      16.830            0.000            0.000            0.000            0.000          122.917           -8.481           20.988          113.817           16.855            0.000            0.000          140.375           14.768            0.000            0.000
   366    12    31  2000      72      72  hru0072        0.000       0.000      20.264      16.831            0.000            0.000            0.000            0.000          122.945           -8.482           20.993          113.839           16.857            0.000            0.000          140.441           14.776            0.000            0.000
   366    12    31  2000      73      73  hru0073        0.000       0.000      20.264      16.831            0.000            0.000            0.000            0.000          122.949           -8.482           20.994          113.843           16.858            0.000            0.000          140.452           14.777            0.000            0.000
   366    12    31  2000      74      74  hru0074        0.000       0.000      53.974      41.784            0.000            0.000            0.000            0.000          365.531          -31.270           62.594          120.737           17.629            0.000            0.000          158.788           16.836            0.000            0.000
   366    12    31  2000      75      75  hru0075        0.000       0.000      53.961      41.776            0.000            0.000            0.000            0.000          365.424          -31.264           62.575          120.728           17.628            0.000            0.000          158.757           16.833            0.000            0.000
   366    12    31  2000      76      76  hru0076        0.000       0.000      53.976      41.786            0.000            0.000            0.000            0.000          365.557          -31.271           62.598          120.746           17.630            0.000            0.000          158.813           16.839            0.000            0.000
   366    12    31  2000      77      77  hru0077        0.000       0.000      48.967      38.212            0.000            0.000            0.000            0.000          333.624          -28.712           57.123          124.542           18.037            0.000            0.000          168.173           17.855            0.000            0.000
   366    12    31  2000      78      78  hru0078        0.000       0.000      48.970      38.215            0.000            0.000            0.000            0.000          333.669          -28.715           57.131          124.561           18.039            0.000            0.000          168.228           17.862            0.000            0.000
   366    12    31  2000      79      79  hru0079        0.000       0.000      48.968      38.215            0.000            0.000            0.000            0.000          333.681          -28.715           57.133          124.582           18.042            0.000            0.000          168.286           17.868            0.000            0.000
   366    12    31  2000      80      80  hru0080        0.000       0.000      33.652      26.914            0.000            0.000            0.000            0.000          227.091          -18.563           38.855          125.166           18.093            0.000            0.000          169.605           17.989            0.000            0.000
   366    12    31  2000      81      81  hru0081        0.000       0.000      33.651      26.915            0.000            0.000            0.000            0.000          227.101          -18.563           38.857          125.175           18.094            0.000            0.000          169.631           17.992            0.000            0.000
   366    12    31  2000      82      82  hru0082        0.000       0.000      33.650      26.914            0.000            0.000            0.000            0.000          227.105          -18.563           38.858          125.186           18.096            0.000            0.000          169.661           17.995            0.000            0.000
   366    12    31  2000      83      83  hru0083        0.000       0.000      91.672      70.421            0.000            0.000            0.000            0.000          638.525          -58.233          109.378          131.223           18.826            0.000            0.000          189.600           20.346            0.000            0.000
   366    12    31  2000      84      84  hru0084        0.000       0.000      91.669      70.419            0.000            0.000            0.000            0.000          638.497          -58.231          109.373          131.220           18.826            0.000            0.000          189.585           20.345            0.000            0.000
   366    12    31  2000      85      85  hru0085        0.000       0.000      98.231      75.136            0.000            0.000            0.000            0.000          679.696          -61.853          116.438          128.449           18.492            0.000            0.000          178.689           19.073            0.000            0.000
   366    12    31  2000      86      86  hru0086        0.000       0.000      98.233      75.138            0.000            0.000            0.000            0.000          679.744          -61.856          116.446          128.471           18.495            0.000            0.000          178.758           19.081            0.000            0.000
   366    12    31  2000      87      87  hru0087        0.000       0.000      98.233      75.138            0.000            0.000            0.000            0.000          679.756          -61.857          116.448          128.479           18.496            0.000            0.000          178.783           19.084            0.000            0.000
   366    12    31  2000      88      88  hru0088        0.000       0.000      21.557      17.390            0.000            0.000            0.000            0.000          122.885           -8.924           21.004           86.471           14.941            0.000            0.000           77.690           11.110            0.000            0.000
   366    12    31  2000      89      89  hru0089        0.000       0.000      21.555      17.389            0.000            0.000            0.000            0.000          122.864           -8.923           21.000           86.466           14.940            0.000            0.000           77.674           11.108            0.000            0.000
   366    12    31  2000      90      90  hru0090        0.000       0.000      35.766      28.094            0.000            0.000            0.000            0.000          228.189          -19.253           39.062           90.194           15.422            0.000            0.000           89.805           12.817            0.000            0.000
   366    12    31  2000      91      91  hru0091        0.000       0.000      94.586      72.500            0.000            0.000            0.000            0.000          643.922          -59.463          110.314           92.220           15.624            0.000            0.000          102.837           14.644            0.000            0.000
   366    12    31  2000      92      92  hru0092        0.000       0.000      94.589      72.503            0.000            0.000            0.000            0.000          643.956          -59.465          110.320           92.212           15.623            0.000            0.000          102.837           14.644            0.000            0.000
   366    12    31  2000      93      93  hru0093        0.000       0.000      51.284      39.609            0.000            0.000            0.000            0.000          335.655          -29.509           57.485           89.921           15.388            0.000            0.000           88.816           12.678            0.000            0.000
   366    12    31  2000      94      94  hru0094        0.000       0.000      51.286      39.610            0.000            0.000            0.000            0.000          335.683          -29.511           57.490           89.927           15.389            0.000            0.000           88.841           12.682            0.000            0.000
   366    12    31  2000      95      95  hru0095        0.000       0.000      31.642      24.295            0.000            0.000            0.000            0.000          151.438          -11.036           25.909           58.963           11.203            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      96      96  hru0096        0.000       0.000      31.637      24.290            0.000            0.000            0.000            0.000          151.398          -11.033           25.902           58.963           11.203            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      97      97  hru0097        0.000       0.000      31.642      24.295            0.000            0.000            0.000            0.000          151.440          -11.036           25.909           58.963           11.203            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      98      98  hru0098        0.000       0.000     135.627     103.430            0.000            0.000            0.000            0.000          868.643          -74.005          148.797           58.950           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000      99      99  hru0099        0.000       0.000     135.622     103.427            0.000            0.000            0.000            0.000          868.609          -74.002          148.791           58.950           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     100     100  hru0100        0.000       0.000     135.628     103.432            0.000            0.000            0.000            0.000          868.651          -74.006          148.798           58.950           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     101     101  hru0101        0.000       0.000      71.046      54.293            0.000            0.000            0.000            0.000          423.207          -34.983           72.481           58.952           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     102     102  hru0102        0.000       0.000      71.054      54.298            0.000            0.000            0.000            0.000          423.259          -34.987           72.490           58.952           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     103     103  hru0103        0.000       0.000      71.054      54.299            0.000            0.000            0.000            0.000          423.262          -34.987           72.491           58.952           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     104     104  hru0104        0.000       0.000      52.069      39.876            0.000            0.000            0.000            0.000          292.122          -23.387           50.019           58.952           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     105     105  hru0105        0.000       0.000      55.387      42.453            0.000            0.000            0.000            0.000          315.745          -24.936           54.060           58.953           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     106     106  hru0106        0.000       0.000      51.999      39.826            0.000            0.000            0.000            0.000          291.591          -23.375           49.928           58.951           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     107     107  hru0107        0.000       0.000     128.900      98.305            0.000            0.000            0.000            0.000          822.170          -69.868          140.832           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     108     108  hru0108        0.000       0.000     127.869      97.560            0.000            0.000            0.000            0.000          814.743          -69.522          139.562           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     109     109  hru0109        0.000       0.000     132.286     100.865            0.000            0.000            0.000            0.000          845.631          -71.258          144.846           58.950           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     110     110  hru0110        0.000       0.000      79.580      60.801            0.000            0.000            0.000            0.000          481.921          -40.137           82.541           58.950           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     111     111  hru0111        0.000       0.000      80.080      61.186            0.000            0.000            0.000            0.000          485.354          -40.362           83.129           58.951           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     112     112  hru0112        0.000       0.000      84.175      64.359            0.000            0.000            0.000            0.000          513.150          -42.272           87.884           58.952           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     113     113  hru0113        0.000       0.000      63.992      48.940            0.000            0.000            0.000            0.000          374.663          -30.129           64.157           58.953           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     114     114  hru0114        0.000       0.000      63.139      48.263            0.000            0.000            0.000            0.000          368.756          -29.673           63.147           58.952           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     115     115  hru0115        0.000       0.000      66.559      50.961            0.000            0.000            0.000           29.762          394.243          -31.504           67.506           58.954           11.201            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     116     116  hru0116        0.000       0.000     134.079     102.299            0.000            0.000            0.000            0.000          857.507          -73.221          146.888           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     117     117  hru0117        0.000       0.000     134.080     102.301            0.000            0.000            0.000            0.000          857.518          -73.222          146.890           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     118     118  hru0118        0.000       0.000     134.069     102.292            0.000            0.000            0.000            0.000          857.417          -73.217          146.873           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     119     119  hru0119        0.000       0.000     153.783     117.243            0.000            0.000            0.000            0.000          993.815          -85.109          170.242           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     120     120  hru0120        0.000       0.000     153.787     117.247            0.000            0.000            0.000            0.000          993.851          -85.112          170.248           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     121     121  hru0121        0.000       0.000     153.787     117.248            0.000            0.000            0.000            0.000          993.854          -85.112          170.249           58.948           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     122     122  hru0122        0.000       0.000      97.996      74.808            0.000            0.000            0.000            0.000          608.993          -51.368          104.313           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     123     123  hru0123        0.000       0.000      97.996      74.807            0.000            0.000            0.000            0.000          608.989          -51.368          104.312           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     124     124  hru0124        0.000       0.000      97.994      74.805            0.000            0.000            0.000            0.000          608.975          -51.367          104.310           58.949           11.200            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2000     125     125  hru0125        0.000       0.000      49.718      37.751            0.000            0.000            0.000            0.000          342.333          -30.367           58.651            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
