 Tordera                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2000       1       0  rtu0010                0.000       0.000      62.803      47.984            0.000            0.000            0.000            6.633          377.108          -30.875           64.562           61.336           11.455            0.000            0.000           10.360            1.539            0.000            0.000
   366    12    31  2000       2       0  rtu0020                0.000       0.000      92.442      70.335            0.000            0.000            0.000           38.747          582.029          -48.191           99.679           66.444           12.310            0.000            0.000           14.678            2.113            0.000            0.000
   366    12    31  2000       3       0  rtu0030                0.000       0.000      74.020      57.839            0.000            0.000            0.000           29.208          491.254          -41.618           84.097           64.695           12.147            0.000            0.000           27.268            6.201            0.000            0.000
   366    12    31  2000       4       0  rtu0040                0.000       0.000      38.341      30.018            0.000            0.000            0.000            8.125          229.059          -18.601           39.194           63.302           11.916            0.000            0.000           18.596            4.049            0.000            0.000
   366    12    31  2000       5       0  rtu0050                0.000       0.000      76.913      59.089            0.000            0.000            0.000           46.579          473.492          -40.311           81.067           62.540           11.781            0.000            0.000            9.207            1.422            0.000            0.000
   366    12    31  2000       6       0  rtu0060                0.000       0.000     104.322      80.097            0.000            0.000            0.000          211.911          665.091          -56.353          113.867           62.547           11.783            0.000            0.000            9.024            1.394            0.000            0.000
   366    12    31  2000       7       0  rtu0070                0.000       0.000      48.506      37.227            0.000            0.000            0.000            0.000          290.793          -24.063           49.787           69.265           12.408            0.000            0.000           37.770            5.057            0.000            0.000
   366    12    31  2000       8       0  rtu0080                0.000       0.000     111.084      84.939            0.000            0.000            0.000          140.933          730.487          -62.553          125.091           44.526            8.198            0.000            0.000           10.581            1.501            0.000            0.000
   366    12    31  2000       9       0  rtu0090                0.000       0.000     143.291     109.297            0.000            0.000            0.000            0.000          927.494          -79.060          158.859           62.739           11.807            0.000            0.000           10.587            1.643            0.000            0.000
   366    12    31  2000      10       0  rtu0100                0.000       0.000      81.525      62.352            0.000            0.000            0.000           56.711          505.637          -42.310           86.572           64.372           11.944            0.000            0.000           11.320            1.626            0.000            0.000
   366    12    31  2000      11       0  rtu0110                0.000       0.000      66.817      51.827            0.000            0.000            0.000           59.579          429.330          -35.576           73.482           71.363           13.024            0.000            0.000           36.142            5.428            0.000            0.000
   366    12    31  2000      12       0  rtu0120                0.000       0.000      73.057      56.076            0.000            0.000            0.000            0.000          430.886          -36.074           73.790           66.509           12.517            0.000            0.000            2.587            0.439            0.000            0.000
   366    12    31  2000      13       0  rtu0130                0.000       0.000      72.240      55.422            0.000            0.000            0.000           92.997          440.275          -35.777           75.369           62.946           11.857            0.000            0.000            7.700            1.186            0.000            0.000
   366    12    31  2000      14       0  rtu0140                0.000       0.000      53.618      40.812            0.000            0.000            0.000           14.057          328.894          -26.694           56.310           61.914           11.647            0.000            0.000            7.402            1.147            0.000            0.000
   366    12    31  2000      15       0  rtu0150                0.000       0.000      61.221      47.054            0.000            0.000            0.000           58.047          401.953          -33.752           68.824           50.230            8.910            0.000            0.000           36.308            5.035            0.000            0.000
   366    12    31  2000      16       0  rtu0160                0.000       0.000      88.760      67.311            0.000            0.000            0.000           13.131          553.314          -45.732           94.765           64.720           12.094            0.000            0.000           10.769            1.619            0.000            0.000
   366    12    31  2000      17       0  rtu0170                0.000       0.000      53.837      41.588            0.000            0.000            0.000           11.372          335.962          -27.847           57.520           79.006           14.012            0.000            0.000           56.742            8.228            0.000            0.000
   366    12    31  2000      18       0  rtu0180                0.000       0.000      52.649      40.540            0.000            0.000            0.000            9.778          335.881          -28.103           57.514           65.881           11.644            0.000            0.000           49.823            7.230            0.000            0.000
   366    12    31  2000      19       0  rtu0190                0.000       0.000      59.870      45.777            0.000            0.000            0.000           10.353          357.010          -29.119           61.116           65.631           12.144            0.000            0.000           14.432            1.978            0.000            0.000
   366    12    31  2000      20       0  rtu0200                0.000       0.000      66.830      51.105            0.000            0.000            0.000            3.689          420.061          -35.286           71.936           48.062            8.923            0.000            0.000           14.528            2.068            0.000            0.000
   366    12    31  2000      21       0  rtu0210                0.000       0.000      53.256      40.655            0.000            0.000            0.000            7.358          321.769          -26.181           55.088           63.103           11.840            0.000            0.000            9.273            1.393            0.000            0.000
   366    12    31  2000      22       0  rtu0220                0.000       0.000      65.389      50.264            0.000            0.000            0.000           10.500          419.378          -34.783           71.811           59.100           10.513            0.000            0.000           40.367            5.334            0.000            0.000
   366    12    31  2000      23       0  rtu0230                0.000       0.000      71.836      54.541            0.000            0.000            0.000            8.934          446.655          -36.954           76.491           63.212           11.878            0.000            0.000            8.847            1.362            0.000            0.000
   366    12    31  2000      24       0  rtu0240                0.000       0.000      57.408      43.875            0.000            0.000            0.000           15.783          334.022          -27.332           57.184           62.902           11.819            0.000            0.000            7.350            1.114            0.000            0.000
   366    12    31  2000      25       0  rtu0250                0.000       0.000      63.857      48.793            0.000            0.000            0.000           13.535          381.466          -31.561           65.313           61.793           11.622            0.000            0.000            8.355            1.290            0.000            0.000
   366    12    31  2000      26       0  rtu0260                0.000       0.000     108.909      83.005            0.000            0.000            0.000           65.242          728.920          -62.343          124.855           23.922            4.455            0.000            0.000            3.206            0.438            0.000            0.000
