 Osu                       SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null      salt_stor      pest_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        salt_in        pest_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null       salt_out       pest_out     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                            kg             mg          m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                            kg             mg          m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                            kg             mg           degc
   365    12    31  2013      10      15  cha15                0.2442E+01     0.3282E+05     0.1341E+05     0.4176E+05     0.6724E+04     0.2241E-02     0.1971E-01     0.2649E-01     0.5481E+01     0.8203E+00     0.0000E+00     0.2788E-02     0.1119E-01     0.0000E+00     0.8609E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.7004E+00     0.1965E+05     0.2842E+04     0.7871E+03     0.9647E+04     0.2898E+04     0.0000E+00     0.3168E+03     0.7925E+03     0.0000E+00     0.1892E+06     0.3725E+02     0.6304E+01     0.4649E+01     0.3135E+02     0.3009E+02     0.0000E+00     0.6543E+01     0.0000E+00     0.0000E+00     0.6872E+00     0.9522E+04     0.2555E+04     0.7121E+03     0.9616E+04     0.2863E+04     0.0000E+00     0.2505E+03     0.9023E+03     0.0000E+00     0.1969E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6475E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      11      16  cha16                0.3218E+01     0.4325E+05     0.1772E+05     0.5529E+05     0.7718E+04     0.3656E-02     0.2092E-01     0.3166E-01     0.5860E+01     0.9251E+00     0.0000E+00     0.2959E-02     0.1218E-01     0.0000E+00     0.9830E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.6377E+00     0.4084E+05     0.2872E+04     0.7795E+03     0.8409E+04     0.2672E+04     0.0000E+00     0.3974E+03     0.5824E+03     0.0000E+00     0.1691E+06     0.4401E+02     0.7546E+01     0.5650E+01     0.3781E+02     0.3424E+02     0.0000E+00     0.6729E+01     0.0000E+00     0.0000E+00     0.6228E+00     0.1913E+05     0.2514E+04     0.6851E+03     0.8332E+04     0.2613E+04     0.0000E+00     0.2943E+03     0.7899E+03     0.0000E+00     0.1782E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6626E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      12      19  cha19                0.3268E+01     0.4392E+05     0.1744E+05     0.5516E+05     0.9408E+04     0.5525E-02     0.3029E-01     0.4477E-01     0.6959E+01     0.1067E+01     0.0000E+00     0.4215E-02     0.1407E-01     0.0000E+00     0.1196E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.4783E+00     0.8702E+05     0.2634E+04     0.6972E+03     0.6140E+04     0.2111E+04     0.0000E+00     0.2546E+03     0.4616E+03     0.0000E+00     0.1280E+06     0.1872E+02     0.5404E+01     0.3094E+01     0.1656E+02     0.2023E+02     0.0000E+00     0.7297E+01     0.0000E+00     0.0000E+00     0.4657E+00     0.3891E+05     0.2175E+04     0.5791E+03     0.6226E+04     0.2029E+04     0.0000E+00     0.3377E+03     0.5388E+03     0.0000E+00     0.1336E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7065E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      13      20  cha20                0.1093E+01     0.1469E+05     0.5647E+04     0.1844E+05     0.7441E+03     0.4784E-03     0.1118E-01     0.1078E-01     0.9665E+00     0.1857E+00     0.0000E+00     0.1753E-02     0.3564E-02     0.0000E+00     0.8649E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.5514E-01     0.1106E+03     0.4787E+03     0.1178E+03     0.5026E+03     0.3969E+03     0.0000E+00     0.7583E+02     0.1097E+03     0.0000E+00     0.1116E+05     0.1349E+02     0.2392E+01     0.2578E+01     0.2117E+02     0.1118E+02     0.0000E+00     0.2013E+02     0.0000E+00     0.0000E+00     0.4988E-01     0.7361E+03     0.3939E+03     0.9215E+02     0.4545E+03     0.3588E+03     0.0000E+00     0.4666E+02     0.1436E+03     0.0000E+00     0.1364E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1966E+02     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      14      23  cha23                0.6807E+00     0.9149E+04     0.3394E+04     0.1130E+05     0.1335E+04     0.2128E-02     0.5082E-01     0.4437E-01     0.1251E+01     0.3453E+00     0.0000E+00     0.6652E-02     0.3997E-02     0.0000E+00     0.1562E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.3181E-01     0.1098E+03     0.4105E+03     0.9642E+02     0.2807E+03     0.2667E+03     0.0000E+00     0.8402E+02     0.6502E+02     0.0000E+00     0.4517E+04     0.5180E+01     0.7200E+00     0.6826E+00     0.5261E+01     0.3341E+01     0.0000E+00     0.3228E+02     0.0000E+00     0.0000E+00     0.2948E-01     0.5316E+02     0.2857E+03     0.6748E+02     0.2998E+03     0.2564E+03     0.0000E+00     0.7081E+02     0.1096E+03     0.0000E+00     0.8094E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2957E+02     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      15      24  cha24                0.1220E+01     0.1640E+05     0.6539E+04     0.2071E+05     0.2315E+04     0.9928E-03     0.3687E-02     0.6709E-02     0.1658E+01     0.2581E+00     0.0000E+00     0.5368E-03     0.2424E-02     0.0000E+00     0.2933E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.3125E+00     0.5742E+05     0.1665E+04     0.4424E+03     0.4002E+04     0.1493E+04     0.0000E+00     0.1928E+03     0.2964E+03     0.0000E+00     0.7796E+05     0.3664E+02     0.6700E+01     0.4833E+01     0.3191E+02     0.3060E+02     0.0000E+00     0.8200E+01     0.0000E+00     0.0000E+00     0.3026E+00     0.2793E+05     0.1508E+04     0.3954E+03     0.3926E+04     0.1446E+04     0.0000E+00     0.1216E+03     0.4038E+03     0.0000E+00     0.8591E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8061E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      16      25  cha25                0.4666E+01     0.6271E+05     0.2354E+05     0.7688E+05     0.5029E+04     0.3085E-02     0.1087E-01     0.1923E-01     0.3649E+01     0.5730E+00     0.0000E+00     0.1625E-02     0.4952E-02     0.0000E+00     0.5921E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.2674E+00     0.4552E+04     0.1732E+04     0.4362E+03     0.3544E+04     0.1388E+04     0.0000E+00     0.9953E+02     0.2860E+03     0.0000E+00     0.6787E+05     0.3906E+02     0.4320E+01     0.2815E+01     0.2219E+02     0.2509E+02     0.0000E+00     0.8810E+01     0.0000E+00     0.0000E+00     0.2574E+00     0.5730E+05     0.1467E+04     0.3659E+03     0.3361E+04     0.1302E+04     0.0000E+00     0.1849E+03     0.2959E+03     0.0000E+00     0.7318E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8447E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      17      26  cha26                0.8759E+00     0.1177E+05     0.4682E+04     0.1519E+05     0.1379E+04     0.9700E-03     0.2670E-02     0.5645E-02     0.1141E+01     0.1723E+00     0.0000E+00     0.3677E-03     0.1234E-02     0.0000E+00     0.1741E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.2458E+00     0.9056E+04     0.1675E+04     0.4022E+03     0.3295E+04     0.1224E+04     0.0000E+00     0.1411E+03     0.1988E+03     0.0000E+00     0.6124E+05     0.1316E+02     0.3943E+01     0.2909E+01     0.1268E+02     0.1121E+02     0.0000E+00     0.9223E+01     0.0000E+00     0.0000E+00     0.2400E+00     0.4461E+04     0.1556E+04     0.3738E+03     0.3217E+04     0.1192E+04     0.0000E+00     0.9953E+02     0.2860E+03     0.0000E+00     0.6787E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9070E+01     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      18      27  cha27                0.1588E+01     0.2135E+05     0.8159E+04     0.2672E+05     0.1590E+04     0.1193E-02     0.1094E-01     0.9939E-02     0.1620E+01     0.1562E+00     0.0000E+00     0.1584E-02     0.3144E-02     0.0000E+00     0.1873E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.6406E-01     0.9913E+03     0.8247E+03     0.1695E+03     0.6866E+03     0.2858E+03     0.0000E+00     0.7043E+02     0.3645E+02     0.0000E+00     0.1277E+05     0.1761E+02     0.3666E+01     0.4124E+01     0.3584E+02     0.1678E+02     0.0000E+00     0.1736E+02     0.0000E+00     0.0000E+00     0.5643E-01     0.4577E+03     0.6398E+03     0.1297E+03     0.6114E+03     0.2713E+03     0.0000E+00     0.9468E+02     0.8641E+02     0.0000E+00     0.1568E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1678E+02     0.0000E+00     0.0000E+00     0.5562E+01
   365    12    31  2013      19      29  cha29                0.1456E+01     0.1957E+05     0.7023E+04     0.2281E+05     0.2462E+04     0.4011E-02     0.1418E-01     0.2165E-01     0.2065E+01     0.2975E+00     0.0000E+00     0.1885E-02     0.3508E-02     0.0000E+00     0.2970E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5562E+01     0.0000E+00     0.0000E+00     0.1346E+00     0.3832E+04     0.4826E+03     0.1460E+03     0.1604E+04     0.5224E+03     0.0000E+00     0.4995E+02     0.3222E+01     0.0000E+00     0.2820E+05     0.1923E+02     0.2759E+01     0.1986E+01     0.1153E+02     0.1251E+02     0.0000E+00     0.1432E+02     0.0000E+00     0.0000E+00     0.1253E+00     0.1820E+04     0.3589E+03     0.1078E+03     0.1479E+04     0.4480E+03     0.0000E+00     0.5968E+02     0.4361E+02     0.0000E+00     0.3551E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1285E+02     0.0000E+00     0.0000E+00     0.5562E+01
