 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   366    12    31  2016      34     340  aqu340                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      35     350  aqu350                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      36     360  aqu360                    0.000          3.728        313.518          4.640          0.232         21.752          0.314          0.000          0.500          0.000          2.720          2.691          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      37     370  aqu370                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      38     380  aqu380                    0.000          3.365        331.676         21.890          1.094         21.752          0.962          0.000          0.500          0.000          8.241          8.246          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      39     390  aqu390                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      40     400  aqu400                    0.000          3.354        332.230         22.142          1.107         21.752          0.991          0.000          0.500          0.000          8.460          8.494          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      41     410  aqu410                    0.000          3.381        330.886         21.319          1.066         21.752          0.909          0.000          0.500          0.000          7.794          7.796          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      42     420  aqu420                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      43     430  aqu430                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.012          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      44     440  aqu440                    0.000          3.402        329.825         20.982          1.049         21.752          0.860          0.000          0.500          0.000          7.383          7.369          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      45     450  aqu450                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      46     460  aqu460                    0.000          3.698        315.017          5.651          0.283         21.752          0.415          0.000          0.500          0.000          3.591          3.558          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      47     470  aqu470                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      48     480  aqu480                    0.000          3.728        313.558          4.702          0.235         21.752          0.318          0.000          0.500          0.000          2.760          2.732          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      49     490  aqu490                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      50     500  aqu500                    0.000          3.722        313.837          4.810          0.240         21.752          0.338          0.000          0.500          0.000          2.928          2.898          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      51     510  aqu510                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      52     520  aqu520                    0.000          3.699        315.009          5.650          0.283         21.752          0.414          0.000          0.500          0.000          3.583          3.551          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      53     530  aqu530                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      54     540  aqu540                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.012          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      55     550  aqu550                    0.000          3.699        315.014          5.699          0.285         21.752          0.417          0.000          0.500          0.000          3.610          3.577          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      56     560  aqu560                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.012          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      57     570  aqu570                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      58     580  aqu580                    0.000          3.416        329.139         20.757          1.038         21.752          0.825          0.000          0.500          0.000          7.101          7.075          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      59     590  aqu590                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      60     600  aqu600                    0.000          3.720        313.962          4.926          0.246         21.752          0.349          0.000          0.500          0.000          3.024          2.993          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      61     610  aqu610                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      62     620  aqu620                    0.000          3.727        313.597          4.732          0.237         21.752          0.327          0.000          0.500          0.000          2.838          2.808          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      63     630  aqu630                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      64     640  aqu640                    0.000          3.701        314.909          5.490          0.274         21.752          0.402          0.000          0.500          0.000          3.481          3.450          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      65     650  aqu650                    0.000          3.714        314.230          5.070          0.254         21.752          0.370          0.000          0.500          0.000          3.204          3.174          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      66     660  aqu660                    0.000          3.797        310.067          0.015          0.001         21.752          0.000          0.000          0.500          0.000          0.012          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      67     670  aqu670                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      68     680  aqu680                    0.000          3.713        314.308          5.122          0.256         21.752          0.377          0.000          0.500          0.000          3.265          3.235          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      69     690  aqu690                    0.000          3.703        314.786          5.398          0.270         21.752          0.397          0.000          0.500          0.000          3.431          3.400          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      70     700  aqu700                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      71     710  aqu710                    0.000          3.701        314.907          5.485          0.274         21.752          0.402          0.000          0.500          0.000          3.478          3.447          0.000          0.001          0.000          0.000          0.000
   366    12    31  2016      72     720  aqu720                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.012          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      73     730  aqu730                    0.000          3.392        330.354         21.102          1.055         21.752          0.888          0.000          0.500          0.000          7.619          7.615          0.000          0.004          0.000          0.000          0.000
   366    12    31  2016      74     740  aqu740                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      75     770  aqu770                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      76     780  aqu780                    0.000          3.448        327.548         20.221          1.011         21.752          0.745          0.000          0.500          0.000          6.436          6.391          0.000          0.003          0.000          0.000          0.000
   366    12    31  2016      77     790  aqu790                    0.000          3.797        310.067          0.016          0.001         21.752          0.000          0.000          0.500          0.000          0.013          0.002          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      78      74  aqu_deep074               0.000         19.970       2400.885          0.867          0.000          0.000          0.000          0.000          0.500          0.000          0.003          0.003          0.000          0.000          0.000          0.000          0.000
   366    12    31  2016      79      79  aqu_deep079               0.000         19.978       2400.659          0.662          0.000          0.000          0.000          0.000          0.500          0.000          0.002          0.002          0.000          0.000          0.000          0.000          0.000
   365    12    31  2017       1      10  aqu010                    0.000          4.057        297.082         14.220          0.711         22.393          1.436          0.000          0.500          0.000         12.365         12.199          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017       2      20  aqu020                    0.000          3.481        325.871         20.307          1.015         22.393          0.778          0.000          0.500          0.000          6.670          6.671          0.000          0.003          0.000          0.000          0.000
   365    12    31  2017       3      30  aqu030                    0.000          4.057        297.080         14.217          0.711         22.393          1.435          0.000          0.500          0.000         12.360         12.194          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017       4      40  aqu040                    0.000          3.460        326.933         20.412          1.021         22.393          0.814          0.000          0.500          0.000          6.976          6.978          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017       5      50  aqu050                    0.000          4.057        297.082         14.220          0.711         22.393          1.436          0.000          0.500          0.000         12.367         12.200          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017       6      60  aqu060                    0.000          3.440        327.916         20.646          1.032         22.393          0.845          0.000          0.500          0.000          7.243          7.245          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017       7      70  aqu070                    0.000          3.482        325.856         20.305          1.015         22.393          0.778          0.000          0.500          0.000          6.666          6.666          0.000          0.003          0.000          0.000          0.000
   365    12    31  2017       8      80  aqu080                    0.000          4.057        297.082         14.220          0.711         22.393          1.436          0.000          0.500          0.000         12.366         12.200          0.000          0.004          0.000          0.000          0.000
   365    12    31  2017       9      90  aqu090                    0.000          4.057        297.082         14.219          0.711         22.393          1.436          0.000          0.500          0.000         12.365         12.198          0.000          0.004          0.000          0.000          0.000
