 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    31     1    31  2016      31      31  hru31          0.000       0.000      -0.023      -0.889            0.000            0.000            0.000            0.000            1.124           -0.182            0.193            0.349            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      32      32  hru32          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      33      33  hru33          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      34      34  hru34          0.000       0.000       2.782      -0.239            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      35      35  hru35          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      36      36  hru36          0.000       0.000      -0.061      -0.874            0.000            0.000            0.000            0.000            0.880           -0.162            0.151            0.311            0.081            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      37      37  hru37          0.000       0.000       2.782      -0.239            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      38      38  hru38          0.000       0.000       0.002      -0.886            0.000            0.000            0.000            0.000            1.311           -0.205            0.225            0.350            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      39      39  hru39          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      40      40  hru40          0.000       0.000       0.006      -0.886            0.000            0.000            0.000            0.000            1.349           -0.209            0.231            0.350            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      41      41  hru41          0.000       0.000      -0.018      -0.876            0.000            0.000            0.000            0.000            1.130           -0.182            0.194            0.349            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      42      42  hru42          0.000       0.000       2.782      -0.239            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      43      43  hru43          0.000       0.000       2.782      -0.239            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      44      44  hru44          0.000       0.000      -0.039      -0.882            0.000            0.000            0.000            0.000            1.028           -0.171            0.176            0.330            0.089            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      45      45  hru45          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      46      46  hru46          0.000       0.000      -0.028      -0.886            0.000            0.000            0.000            0.000            1.093           -0.179            0.187            0.344            0.094            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      47      47  hru47          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      48      48  hru48          0.000       0.000      -0.058      -0.872            0.000            0.000            0.000            0.000            0.898           -0.163            0.154            0.311            0.081            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      49      49  hru49          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      50      50  hru50          0.000       0.000      -0.050      -0.879            0.000            0.000            0.000            0.000            0.952           -0.166            0.163            0.322            0.086            0.000            0.000            0.000            0.000            0.000            0.000
    31     1    31  2016      51      51  hru51          0.000       0.000       2.782      -0.238            0.000            0.000            0.000            5.415            1.752            0.266            0.300           17.032            3.210            0.000            0.000            0.000            0.000            0.000            0.000
