 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   365    12    31  2022      30       0  rtu300                 0.000       0.000      -2.898      -7.536          119.532           13.149            0.000            0.000           13.590           -5.799            2.328            3.247            0.903            0.000            0.000           88.469           16.047            0.000            0.000
   365    12    31  2022      31       0  rtu310                 0.000       0.000      -2.788      -7.505          119.532           13.149            0.000            0.000           13.342           -5.710            2.286            3.216            0.892            0.000            0.000           87.274           15.834            0.000            0.000
   365    12    31  2022      32       0  rtu320                 0.000       0.000      -2.093      -7.276          119.532           13.149            0.000            0.000           12.814           -5.525            2.195            3.051            0.837            0.000            0.000           80.973           14.695            0.000            0.000
   365    12    31  2022      33       0  rtu330                 0.000       0.000      -2.538      -7.416          119.532           13.149            0.000            0.000           13.132           -5.624            2.250            3.157            0.873            0.000            0.000           85.064           15.434            0.000            0.000
   365    12    31  2022      34       0  rtu340                 0.000       0.000      -2.365      -7.357          119.532           13.149            0.000            0.000           13.017           -5.585            2.230            3.120            0.861            0.000            0.000           83.643           15.177            0.000            0.000
   365    12    31  2022      35       0  rtu350                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.461           18.796           17.570            3.039          265.335           50.249            0.000            0.000          106.656           19.880            0.000            0.000
   365    12    31  2022      36       0  rtu360                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.462           18.796           17.570            3.039          265.338           50.249            0.000            0.000          106.658           19.880            0.000            0.000
   365    12    31  2022      37       0  rtu370                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.464           18.796           17.570            3.039          265.339           50.250            0.000            0.000          106.659           19.880            0.000            0.000
   365    12    31  2022      38       0  rtu380                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.463           18.796           17.570            3.039          265.337           50.249            0.000            0.000          106.657           19.880            0.000            0.000
   365    12    31  2022      39       0  rtu390                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.464           18.796           17.570            3.039          265.340           50.250            0.000            0.000          106.659           19.881            0.000            0.000
   365    12    31  2022      40       0  rtu400                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.465           18.796           17.570            3.039          265.340           50.250            0.000            0.000          106.659           19.881            0.000            0.000
   365    12    31  2022      41       0  rtu410                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.465           18.796           17.570            3.039          265.339           50.250            0.000            0.000          106.659           19.881            0.000            0.000
   365    12    31  2022      42       0  rtu420                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.464           18.796           17.570            3.039          265.340           50.250            0.000            0.000          106.659           19.880            0.000            0.000
   365    12    31  2022      43       0  rtu430                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.465           18.796           17.570            3.039          265.340           50.250            0.000            0.000          106.659           19.880            0.000            0.000
   365    12    31  2022      44       0  rtu440                 0.000       0.000      27.808      13.791            0.000            0.000            0.000           85.464           18.796           17.570            3.039          265.339           50.250            0.000            0.000          106.658           19.880            0.000            0.000
   365    12    31  2022      45       0  rtu450                 0.000       0.000      -1.066      -6.927          119.532           13.149            0.000            0.000           11.782           -5.120            2.019            2.830            0.759            0.000            0.000           71.598           13.000            0.000            0.000
