output,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
phi,-0.0250278,-0.00839996,0.00603782,-0.00262256,-0.0114793,0.0126171,0.0242278,-0.00266845,0.0665535,-0.171268,0.631449,0.0619042,0.00091416
cha049_20170511,0.0113707,-0.0116242,0.00231526,-0.00371859,0.00625622,0.00220281,-0.0365666,-0.0160761,-0.0201423,0.0932259,0.554074,0.000949046,0.0003218
cha049_20170512,0.0051317,-0.0130592,0.000741125,-0.00306826,0.00298087,0.000144465,-0.0213295,-0.0113222,-0.0138305,0.0534845,0.688529,-0.00204482,0.000312988
cha049_20170513,0.00460043,-0.0119825,0.00204223,-0.00200374,0.00283917,0.000622651,-0.0138177,-0.00671742,-0.00976516,0.0369793,0.741935,-0.00206785,0.000541714
obd_irr_paddy_20220630,0,0.000151071,0.000170377,0,0,0.000402764,-0.02045,0.000180203,1.76804e-06,-0.0241894,1.73624,0,0
cha049_20170514,0.00223807,-0.0112021,0.00135396,-0.00213257,0.00131845,-0.000315154,-0.0138277,-0.0071493,-0.011622,0.0300699,0.724683,-0.00150823,0.000283373
cha049_20170515,0.000472017,-0.0137466,0.00293416,-0.0017034,0.0017455,0.000199007,-0.0180158,-0.00843215,-0.0156418,0.0262636,0.624162,-0.00187344,0.000243746
cha049_20170516,0.000721483,-0.0162251,0.00340575,-0.00125938,0.00145389,-0.000250508,-0.0181668,-0.00798618,-0.0172642,0.0173624,0.56285,-0.00100219,0.000370784
cha049_20170517,-0.00121123,-0.0185921,0.0021844,-0.00189472,0.000472243,7.55894e-06,-0.0137371,-0.00736597,-0.0129472,0.00645699,0.60503,-0.000254301,-0.000362969
cha049_20170518,-0.00350171,-0.0241856,0.00278234,0.00264406,-0.00069142,0.000822493,-0.014141,-0.00696371,-0.0144906,-0.00169631,0.524348,-0.00320736,0.000950537
cha049_20170519,-0.00328465,-0.00395197,0.00148846,0.000406538,-0.00195881,-0.00121967,-0.0176403,-0.000951154,-0.00953986,-0.118993,0.461824,-0.0029183,-0.000227989
cha049_20170627,-0.00305906,-0.0165921,0.00142841,-0.000546432,0.00188819,-0.000688002,-0.00291646,-0.00114645,-0.000483234,-0.0546939,0.272945,0.000705494,-0.000963634
cha049_20170520,-0.00701536,-0.0207167,0.00035325,0.00063887,-0.00125108,-0.00129138,-0.0309106,-0.00467322,-0.00855055,-0.0539878,0.601128,-0.00413218,-5.97677e-05
cha049_20170626,-0.00300189,-0.0167659,0.00183915,-0.00154594,0.00222435,-0.00140407,-0.00141145,-0.00225682,-0.00245242,-0.066425,0.145643,0.00222013,-0.000545462
