output,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
phi,0.00699139,0.0359868,0.00231554,0.000554565,0.000678085,0.00127665,0.173529,0.00344524,0.00356051,0.0289559,0.933578,0.00511216,0.000210761
cha049_20170511,0.00587216,0.0756096,0.000125886,0.000250586,0.00159417,0.000369162,0.0197966,0.10533,0.0900837,0.0822875,0.865057,0.0148064,9.18558e-05
cha049_20170512,0.00431573,0.0390985,6.6429e-05,0.000128649,0.000837622,0.000212507,0.0109792,0.0551565,0.0469579,0.0438553,0.940769,0.00784365,4.93687e-05
cha049_20170513,0.00372885,0.0252853,4.4217e-05,8.30165e-05,0.000530819,0.000149424,0.00780847,0.0355116,0.0302238,0.0294208,0.970027,0.00514896,3.43964e-05
obd_irr_paddy_20220630,0,0.00118804,3.24046e-07,0,0,7.24876e-07,0.00906853,1.46902e-07,9.65282e-08,0.00118748,1.02377,0,0
cha049_20170514,0.00301207,0.017727,4.61511e-05,5.53819e-05,0.000343959,0.000103978,0.00585274,0.0247153,0.0211391,0.0212077,0.986319,0.0036764,2.50878e-05
cha049_20170515,0.00326033,0.0158921,5.39811e-05,5.97336e-05,0.000349897,0.000122136,0.00568097,0.0218002,0.0187959,0.019762,0.991531,0.00340326,2.79186e-05
cha049_20170516,0.00331264,0.0127236,4.82197e-05,5.82184e-05,0.000303028,0.000122633,0.00511432,0.017181,0.0148983,0.0170116,0.998551,0.00282686,3.05306e-05
cha049_20170517,0.00353462,0.00973069,4.21932e-05,3.71337e-05,0.000212058,8.9896e-05,0.00449545,0.0118676,0.0102443,0.0143184,1.00498,0.00220933,2.08836e-05
cha049_20170518,0.00441603,0.0102774,5.76663e-05,9.82095e-05,0.000290449,0.000171187,0.00523771,0.0119076,0.0103017,0.0161158,1.00264,0.00239336,2.33194e-05
cha049_20170519,0.00377622,0.0801384,3.82726e-05,5.49746e-05,0.00017326,0.000117936,0.185645,0.00692738,0.00591131,0.0610179,0.848141,0.00163473,1.60449e-05
cha049_20170627,0.00102617,0.00245746,1.59291e-05,1.55323e-05,2.86833e-05,3.34032e-05,0.000765829,6.21488e-05,5.27468e-05,0.0044875,1.02325,0.000350274,1.05926e-05
cha049_20170520,0.00394811,0.0186199,3.63981e-05,4.6383e-05,0.000141985,9.95924e-05,0.0266207,0.00556016,0.00476341,0.0217749,0.987339,0.00155091,1.55581e-05
cha049_20170626,0.00126337,0.00304099,3.36839e-05,2.68657e-05,5.12487e-05,4.02003e-05,0.00106236,0.000111545,9.64406e-05,0.00545126,1.02206,0.000432331,1.94076e-05
cha049_20170521,0.00466034,0.0119032,4.6854e-05,4.39371e-05,0.000146816,0.000119942,0.00997724,0.0051996,0.00449269,0.0180667,1.00203,0.00170384,1.7525e-05
cha049_20170625,0.00151501,0.00362956,2.56349e-05,4.45769e-05,8.11004e-05,5.78629e-05,0.00143892,0.000178548,0.000155976,0.00643856,1.0211,0.000509026,2.96355e-05
cha049_20170522,0.00434263,0.0269591,3.57703e-05,2.81919e-05,9.57747e-05,8.03868e-05,0.136294,0.00330501,0.00294428,0.0320725,0.900663,0.00144696,1.16344e-05
cha049_20170624,0.00119366,0.00288765,2.00148e-05,4.26185e-05,7.95421e-05,5.01429e-05,0.0013455,0.000172901,0.000151617,0.00505658,1.02254,0.000401799,2.80924e-05
obd_irr_paddy_20160930,0,0.00193516,7.35615e-06,0,0,1.41311e-05,4.07874e-07,2.19326e-06,2.60149e-06,0.00327864,1.01878,0,0
cha049_20170523,0.00418386,0.0104739,3.43991e-05,2.20501e-05,7.77296e-05,6.96244e-05,0.0238865,0.00253723,0.00218548,0.018388,0.995278,0.0013684,1.16945e-05
cha049_20170623,0.00109912,0.00284195,2.00432e-05,5.43394e-05,0.000102174,4.99844e-05,0.00146824,0.000210307,0.000179501,0.00470228,1.02286,0.000400382,3.29228e-05
cha049_20170524,0.00397693,0.00760031,3.09416e-05,1.6434e-05,5.5524e-05,6.21354e-05,0.007696,0.00172468,0.00147868,0.0145516,1.00901,0.00127342,1.01759e-05
cha049_20170622,0.00113537,0.00302299,2.51954e-05,7.15881e-05,0.000138381,6.143e-05,0.00185057,0.000295486,0.000252694,0.00481448,1.02286,0.000424964,4.50502e-05
cha049_20170525,0.00365821,0.00660623,2.98382e-05,1.12466e-05,4.0896e-05,5.12807e-05,0.00435085,0.00118578,0.00100385,0.0129819,1.01104,0.00113193,9.72144e-06
cha049_20170621,0.001216,0.00319842,2.9675e-05,9.91136e-05,0.000181391,7.68297e-05,0.00238784,0.000381484,0.00032773,0.0049382,1.02308,0.000433934,6.45791e-05
cha049_20170526,0.00370957,0.00659765,2.73549e-05,1.09701e-05,3.49907e-05,5.79829e-05,0.00358529,0.000904642,0.00078189,0.0130839,1.01149,0.00114861,1.08339e-05
cha049_20170620,0.0014872,0.00415392,3.94108e-05,0.000163132,0.000314659,0.000112614,0.00371711,0.00064367,0.000543712,0.00611598,1.02137,0.000552342,0.000105353
cha049_20170527,0.00420175,0.00756319,3.85794e-05,1.28956e-05,4.35954e-05,7.04105e-05,0.0036528,0.000868793,0.000798879,0.0148321,1.01079,0.00130582,1.66153e-05
cha049_20170528,0.00393192,0.00709027,3.85495e-05,1.03993e-05,3.75531e-05,6.0281e-05,0.00318562,0.000632108,0.000573954,0.0140621,1.01174,0.00120566,1.49207e-05
cha049_20170529,0.00385717,0.00700654,3.74776e-05,9.30578e-06,3.28665e-05,6.14745e-05,0.00308955,0.000475344,0.000447835,0.013841,1.01156,0.00117131,1.52026e-05
cha049_20170628,0.000718804,0.00187046,4.61455e-05,0.000123201,5.55263e-05,7.03428e-05,0.000556948,9.77225e-05,0.000109682,0.00331252,1.02466,0.000316425,8.33285e-06
cha049_20170530,0.005353,0.0102731,5.29869e-05,1.88137e-05,5.10679e-05,0.000101,0.00407632,0.000594205,0.000602798,0.0196251,1.00435,0.00167324,2.49452e-05
cha049_20170629,0.000688889,0.00179268,1.70137e-05,5.66464e-05,2.26082e-05,4.66375e-05,0.000517635,0.000125206,0.000102691,0.00317794,1.02454,0.000265479,3.5617e-05
cha049_20170531,0.00501633,0.0397497,5.69362e-05,1.29836e-05,0.000214846,9.91793e-05,0.472628,0.000557991,0.000484722,0.0263127,0.601751,0.00173769,1.94976e-05
cha049_20170601,0.00475723,0.0152704,7.10971e-05,8.52044e-05,9.90789e-05,0.000110348,0.0683964,0.000619728,0.000643265,0.0211005,0.942623,0.00177844,2.72677e-05
cha049_20170602,0.00427399,0.0111709,7.57608e-05,0.000126568,7.65097e-05,0.00010862,0.0173877,0.000693379,0.000731087,0.0182132,0.989117,0.00158231,2.87459e-05
cha049_20170603,0.00474703,0.0123693,7.82534e-05,0.000203513,0.000122914,0.000173823,0.00898692,0.000860144,0.000956143,0.0199256,0.994845,0.00178499,3.17903e-05
cha049_20170604,0.00171402,0.0314157,3.77851e-05,0.00182635,0.00817603,0.00151043,0.230618,0.000473645,0.000506592,0.00656937,0.815572,0.000700245,1.47564e-05
cha049_20170605,0.000430063,0.0394671,9.89823e-06,0.000318459,0.00142428,0.000337394,0.406225,0.000118979,0.000129534,0.00326365,0.672204,0.000176983,4.15221e-06
cha049_20170606,0.000353317,0.0443489,1.42845e-05,0.000180581,0.000811212,0.00021868,0.428751,0.000237961,0.000204517,0.00304765,0.647442,0.000196618,1.79835e-06
cha049_20170607,0.000473296,0.0510465,2.79495e-05,0.000400058,0.00153702,0.000255727,0.420473,0.000689132,0.000697504,0.00481115,0.648111,0.000570087,6.15018e-06
cha049_20170608,0.000937912,0.0730138,4.41842e-05,0.000711834,0.00243973,0.000349795,0.443033,0.00124774,0.00126638,0.0115552,0.617669,0.00185992,1.45463e-05
cha049_20170609,0.00208742,0.0888852,0.000234662,0.00136447,0.00444832,0.000588805,0.434193,0.00246539,0.0023155,0.0271719,0.605375,0.00424316,4.2058e-05
cha049_20170610,0.00524475,0.0546704,0.000356208,0.00264968,0.00687962,0.00125118,0.284029,0.0111904,0.00993011,0.0268091,0.732473,0.00324581,0.000954741
cha049_20170611,0.00513666,0.030145,0.000318134,0.00186032,0.00417096,0.00114112,0.126069,0.00886735,0.00700797,0.0205638,0.890351,0.002314,0.000840461
