real_name,obd_irr_paddy_20160531,obd_irr_paddy_20160630,obd_irr_paddy_20160731,obd_irr_paddy_20160831,obd_irr_paddy_20160930,obd_irr_paddy_20170531,obd_irr_paddy_20170630,obd_irr_paddy_20170731,obd_irr_paddy_20170831,obd_irr_paddy_20170930,obd_irr_paddy_20180531,obd_irr_paddy_20180630,obd_irr_paddy_20180731,obd_irr_paddy_20180831,obd_irr_paddy_20180930,obd_irr_paddy_20190531,obd_irr_paddy_20190630,obd_irr_paddy_20190731,obd_irr_paddy_20190831,obd_irr_paddy_20190930,obd_irr_paddy_20200531,obd_irr_paddy_20200630,obd_irr_paddy_20200731,obd_irr_paddy_20200831,obd_irr_paddy_20200930,obd_irr_paddy_20210531,obd_irr_paddy_20210630,obd_irr_paddy_20210731,obd_irr_paddy_20210831,obd_irr_paddy_20210930,obd_irr_paddy_20220531,obd_irr_paddy_20220630,obd_irr_paddy_20220731,obd_irr_paddy_20220831,obd_irr_paddy_20220930,ns,pbias,rsq,rmse,mse,pcc
79,363.006,394.411,579.963,491.995,159.06,376.515,385.673,548.426,481.942,140.629,369.761,349.799,560.192,508.105,143.505,362.496,366.153,538.031,511.599,151.032,339.049,353.569,516.194,503.778,153.466,360.779,331.526,500.909,455.406,130.817,330.278,348.123,543.684,526.169,159.487,0.5609628280195437,-14.646067436780935,0.6859332511043907,136.87595546480745,18735.02718440395,0.8282108735729028
80,363.006,394.411,580.001,492.004,159.079,376.66,391.27,565.809,486.507,140.787,369.761,353.632,577.259,510.848,141.995,367.792,374.327,547.693,513.789,150.31,339.363,362.964,525.117,508.502,152.238,363.152,338.663,509.159,468.338,127.025,335.422,349.812,548.667,529.301,156.372,0.5818946808999195,-13.778749580218038,0.6919054343820172,133.57321031983514,17841.802515146916,0.8318085322849347
81,363.006,394.411,579.998,492.001,159.076,372.288,377.071,540.158,480.935,140.546,369.761,346.818,553.7,504.432,144.551,356.883,359.315,535.701,510.379,151.226,336.118,346.282,508.683,503.752,153.463,354.416,328.352,493.86,463.328,128.947,327.12,346.968,544.102,526.435,159.197,0.5516771276981811,-15.172495094679991,0.6847924445680469,138.31585500636706,19131.275746142357,0.8275218695406465
82,363.006,393.987,571.412,482.742,156.497,370.115,382.093,556.774,479.99,138.386,361.932,343.239,569.6,510.941,138.07,358.063,375.525,563.892,511.693,149.516,331.346,359.545,538.017,507.672,152.022,353.268,347.569,523.357,458.578,131.694,340.838,357.564,560.627,533.169,156.982,0.5827065031397011,-14.043179502628814,0.6958815709470781,133.44346981364788,17807.159635905955,0.8341951635840849
83,438.782,478.094,639.75,540.391,180.836,456.616,472.335,626.161,542.788,161.178,438.722,439.611,652.608,572.837,170.06,439.0,468.958,647.332,572.116,172.215,408.901,451.286,606.98,573.48,176.996,428.151,428.265,595.041,530.082,147.792,446.116,475.764,629.015,606.137,184.594,0.6974938230902329,1.1213075438992672,0.703763259012856,113.61708460828685,12908.84191488661,0.8389059893771507
84,438.782,478.094,639.75,540.569,180.925,456.616,472.335,626.164,543.047,161.223,438.722,439.611,652.622,573.265,170.085,439.0,468.958,647.333,572.365,172.278,408.901,451.286,606.98,573.717,177.038,428.151,428.265,595.042,530.267,147.823,446.116,475.764,629.029,606.671,184.698,0.6975722606586549,1.1373215746363492,0.7038471371061541,113.60235362707591,12905.494749611209,0.8389559804341072
85,363.006,394.739,572.965,487.332,157.835,368.678,382.121,562.412,483.011,138.623,358.676,343.241,573.733,510.53,138.284,357.3,375.526,567.144,511.557,149.868,327.66,359.554,543.693,509.643,152.234,350.891,347.598,525.926,471.502,126.708,341.811,357.04,565.465,530.226,156.64,0.5904197576631491,-13.829076648038047,0.6993343582532764,132.20443272452567,17478.012032013638,0.8362621348914923
86,363.006,394.41,579.963,491.995,159.06,376.66,390.511,570.479,489.767,142.603,369.761,355.974,581.468,510.647,145.957,369.573,383.636,550.105,513.371,151.436,339.363,368.875,543.389,504.247,152.865,363.382,355.837,509.858,457.438,133.755,347.31,356.522,543.658,526.542,159.167,0.5944444346760493,-13.25675746320659,0.7003699347895512,131.5532859542224,17306.267045353405,0.8368810756550487
87,438.782,478.094,639.751,540.301,180.792,456.616,472.335,626.158,542.886,161.237,438.722,439.612,652.716,573.045,170.171,439.0,468.959,647.435,572.223,172.422,408.901,451.294,607.339,573.383,177.072,428.151,428.285,595.05,530.413,147.908,446.116,475.831,629.017,606.819,184.882,0.6974718694225519,1.138768085806045,0.7037546888025435,113.62120727859195,12909.778743444758,0.8389008813933524
88,438.782,478.094,639.781,540.026,180.654,456.616,472.335,626.193,542.52,161.247,438.722,439.612,652.753,572.552,170.189,439.0,468.959,647.484,572.055,172.558,408.901,451.297,607.541,572.898,177.03,428.151,428.295,595.054,530.356,147.993,446.116,475.863,629.022,606.354,184.915,0.6973688875684712,1.127247200383685,0.7036634365702631,113.64054420269005,12914.17328668355,0.8388464916599837
89,438.782,478.094,639.75,540.3,180.789,456.616,472.335,626.157,542.662,161.156,438.722,439.611,652.598,572.779,170.056,439.0,468.958,647.332,572.049,172.196,408.901,451.286,606.98,573.369,176.977,428.151,428.265,595.041,530.053,147.787,446.116,475.764,629.006,606.075,184.582,0.6974517005670909,1.116859202027857,0.7037160816101375,113.62499464790159,12910.639408735664,0.8388778704973314
90,363.006,394.411,572.819,490.578,159.06,370.659,383.45,555.701,481.856,139.159,366.177,343.658,572.31,508.212,138.421,358.719,366.002,560.271,509.01,148.67,333.564,359.551,537.193,508.116,152.291,352.943,347.556,517.952,469.497,126.188,326.968,351.396,561.194,527.582,156.16,0.5786208072444,-14.167483455844184,0.6925097453751184,134.09514711760923,17981.508480493267,0.8321717042624788
91,363.006,394.411,577.99,491.939,159.081,375.834,385.843,558.642,483.584,140.104,369.761,345.504,573.178,509.443,140.598,366.079,376.103,560.664,509.006,150.095,338.403,359.882,539.342,507.895,153.015,360.926,347.748,518.066,469.585,126.79,344.76,359.092,556.817,528.545,157.517,0.5877926725266573,-13.598172502206337,0.695309469239592,132.62774068726534,17590.1175998085,0.8338521866851415
92,438.782,478.094,639.767,540.311,180.797,456.616,472.335,626.199,542.584,161.142,438.722,439.611,652.671,572.879,170.062,439.0,468.958,647.373,572.104,172.212,408.901,451.286,606.994,573.405,176.983,428.151,428.265,595.053,530.12,147.799,446.116,475.764,629.084,606.588,184.683,0.6973954283134011,1.1240021509897198,0.703645592635188,113.6355609562483,12913.040713841223,0.838835855597022
93,363.006,394.41,579.963,491.995,159.06,376.66,390.511,571.934,492.241,142.709,369.761,359.034,581.8,510.746,146.153,369.573,383.884,548.544,515.25,151.901,339.363,369.327,547.369,507.175,153.017,363.382,356.978,514.695,458.393,133.942,347.489,355.949,544.087,527.762,160.244,0.5979849833316506,-13.092156012980565,0.7015505290345537,130.97778919117064,17155.181261406735,0.8375861323079279
94,363.006,395.856,573.311,489.332,158.003,372.041,383.036,559.195,483.564,138.334,363.401,343.314,571.865,510.631,138.241,359.113,375.526,565.893,511.638,148.811,332.794,359.547,539.247,510.122,152.003,357.078,347.575,522.028,471.442,126.204,343.115,358.963,562.21,529.736,156.306,0.5893051000117859,-13.769494468928736,0.6980045782524142,132.38420526103596,17525.577802596097,0.8354666829098658
95,438.782,478.094,639.75,540.023,180.642,456.616,472.335,626.158,542.27,161.113,438.722,439.611,652.672,572.427,170.109,439.0,468.959,647.409,571.787,172.221,408.901,451.292,607.248,572.894,176.961,428.151,428.28,595.047,530.153,147.849,446.116,475.814,629.001,605.917,184.671,0.6973219972415194,1.1085385625561524,0.7035849924440783,113.64934771902043,12916.174236958814,0.838799733216504
96,438.782,478.094,639.75,540.251,180.763,456.616,472.335,626.162,542.86,161.222,438.722,439.611,652.676,572.785,170.134,439.0,468.959,647.413,572.1,172.32,408.901,451.292,607.262,573.382,177.051,428.151,428.281,595.047,530.271,147.87,446.116,475.816,629.003,606.445,184.779,0.6974677862012861,1.1291929499216824,0.7037468732211699,113.62197404855064,12909.952986689515,0.838896223153478
97,363.006,392.95,572.686,487.341,157.102,370.385,382.111,560.115,482.924,137.761,359.981,343.239,572.898,512.265,137.959,357.393,375.525,566.416,512.629,148.738,330.046,359.545,540.51,510.431,151.85,351.047,347.569,525.361,471.332,126.124,341.574,357.649,564.698,531.183,156.306,0.5896707160901993,-13.858026072907675,0.6989084892991329,132.32526543606403,17509.9758727248,0.8360074696431443
