real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
0,122.445,199,2.33326,11.9423,54.4663,43.903,199,187.133,199,69.6038,124.023,11.9419,55.7341
1,17.3659,199,6.02401,53.8682,114.278,41.801,199,186.599,199,155.543,124.053,7.15013,15.4118
2,44.5576,199,4.44299,9.5846,113.349,42.476,199,186.781,199,199,123.882,8.52988,90.7807
3,122.634,199,21.2373,13.1072,112.545,44.0972,199,187.353,199,199,123.995,18.6784,4.3011
4,122.555,199,17.3056,4.05189,11.3252,11.3709,199,187.261,146.023,199,123.916,18.7673,20.1518
5,23.5977,199,35.1328,53.6354,49.0746,9.99538,199,187.008,199,199,124.044,18.6869,95.0475
6,122.357,199,17.7442,53.7659,115.539,23.2827,199,186.85,199,199,124.008,11.3781,40.7745
7,31.8809,199,4.86665,53.6385,51.5338,37.6153,199,186.928,45.3173,107.373,124.05,1.67974,13.8809
8,105.432,199,6.41979,15.785,12.9031,8.13328,199,186.629,199,199,123.739,3.93471,4.27062
9,107.432,199,5.69989,4.24028,67.4267,28.9058,199,183.82,199,60.6091,125.257,7.41324,7.21757
10,122.465,199,30.1664,11.1701,113.468,40.6583,199,187.155,156.918,199,123.825,1,14.7712
11,115.766,199,35.3696,19.6318,26.1099,19.2831,199,186.971,47.8212,59.7099,124.031,1.1407,57.0154
12,121.547,199,29.6743,28.3271,52.9742,20.1326,199,34.8735,199,199,124.325,18.7484,15.4793
13,122.391,199,10.4332,41.6265,115.952,3.06983,199,187.266,199,199,124.071,14.8609,94.7582
14,16.8506,199,35.4981,56.4571,113.992,29.3746,199,187.136,199,86.2738,124.12,7.17593,87.0528
15,122.322,199,35.293,46.6371,90.9158,12.3199,199,186.862,199,112.069,123.918,9.68159,9.85665
16,121.772,199,33.5142,31.9045,114.186,42.5017,199,187.021,199,140.843,123.864,4.20562,92.1511
17,121.187,199,13.1178,54.5852,116.926,6.57062,199,186.821,199,139.656,123.785,14.8955,77.826
18,67.7377,199,8.94373,29.098,125.107,12.1749,199,109.616,199,33.204,126.021,1,84.0443
19,122.242,199,10.429,8.69091,48.1935,5.74281,199,132.709,199,199,123.947,9.46982,14.3949
20,33.9772,199,22.833,54.8104,114.917,42.5627,199,139.254,199,199,123.815,18.5546,95.8752
21,122.814,199,35.5215,43.6498,15.0218,16.3096,199,40.9092,199,199,123.877,18.1715,64.4978
22,121.987,199,35.7126,18.1538,86.3005,9.36995,199,187.176,75.0388,57.3513,124.02,15.5866,31.3411
23,126.161,199,17.0394,5.47596,79.8787,21.6685,199,170.999,184.631,199,127.305,11.5806,29.1765
24,121.318,199,7.71097,54.9078,115.305,3.17719,199,186.948,193.929,25.0277,123.895,7.32032,23.7704
25,118.575,199,36.5383,13.8973,130.873,22.1801,199,180.379,199,199,126.309,4.63464,91.209
26,105.235,199,20.6968,41.299,11.9272,19.6977,199,186.726,99.7119,199,123.936,1.73865,50.9702
27,122.22,199,34.1719,1.70901,38.5566,42.836,199,187.006,199,199,123.962,2.695,86.1308
28,55.3482,144.047,35.5372,13.8767,114.18,45.0164,199,186.851,184.479,27.2928,123.616,6.5845,93.7498
29,122.155,199,15.6809,18.133,38.3657,13.1947,199,187.068,199,199,123.974,10.6284,6.98641
30,59.4672,199,35.2809,12.0978,29.8467,26.1284,199,183.716,199,199,124.922,5.68919,35.6239
31,122.203,199,35.1383,14.9408,111.997,41.9854,199,187.05,98.1154,199,124.089,2.55051,1.61152
32,32.6852,199,3.73765,11.6285,5.12654,7.72464,199,187.296,132.127,199,123.719,2.93738,76.7506
33,122.797,199,6.1095,7.72456,54.4543,40.3144,199,187.041,53.415,199,123.666,1.18456,19.3815
34,122.613,199,35.4243,51.4574,39.456,42.2634,199,114.167,32.7538,11.1742,124.053,20.2508,6.6836
35,27.3856,199,35.0582,54.6252,114.902,26.2026,199,140.913,96.7261,107.959,124.041,1,20.6402
36,122.568,199,34.9143,54.7437,42.0173,41.5707,199,187.19,143.641,199,124.014,4.60262,68.0812
37,122.06,199,14.8385,6.11909,113.931,44.2244,199,186.711,199,199,124.074,4.49791,94.8041
38,121.15,199,28.4163,18.3563,117.168,20.1882,199,185.975,199,20.7458,124.277,5.91909,73.1692
39,14.8569,199,35.4911,12.5697,114.113,22.9362,199,177.322,199,96.2641,124.158,5.10899,94.4487
40,122.342,199,23.8749,3.5531,115.196,45.6312,199,187.095,199,199,123.716,18.7024,13.8286
41,122.1,199,35.0952,45.1793,48.9644,43.4228,199,187.022,199,77.8739,124.056,2.95392,18.5226
42,179.519,199,34.8503,13.0522,28.342,12.454,199,189.9,199,199,135.4,14.8447,7.45314
43,117.018,199,6.49424,24.5539,112.809,44.1958,199,186.899,199,90.7211,123.775,4.20035,14.8286
44,122.471,199,14.3925,19.8074,113.935,42.7602,199,187.071,199,15.3632,123.91,18.7922,32.4003
45,8.80506,199,8.07125,21.8015,114.539,9.20395,199,187.314,66.1548,177.652,124.154,13.1222,87.1131
46,56.3135,199,13.0465,16.4163,31.5946,19.1009,199,187.113,199,135.695,123.772,4.41457,42.1812
47,121.899,199,35.3548,52.0635,114.342,47.0319,199,186.842,199,151.759,123.86,16.8692,88.1135
