real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse,mse,pcc
0,114.124,199.0,13.1594,24.2997,51.6894,42.1442,199.0,199.0,199.0,55.1692,125.217,39.3951,73.4226,0.6987875621301878,0.1566446060093218,0.7054593522731272,113.37386915281138,12853.634206678797,0.8399162769426053
1,16.2047,199.0,34.5639,110.352,108.4,40.3873,199.0,199.0,199.0,123.518,124.609,23.7971,20.2779,0.6988513456062453,0.025152900388783934,0.7056353168944396,113.36186473097885,12850.912375284748,0.8400210216979332
2,41.5879,199.0,25.108,19.4758,107.629,41.2188,199.0,199.0,199.0,199.0,124.651,28.1376,119.647,0.6988505108705891,0.036014535145307155,0.7056276605905905,113.36202184130227,12850.94799594789,0.8400164644758997
3,114.182,199.0,118.018,26.6409,107.032,42.1576,199.0,199.0,199.0,199.0,125.375,61.3812,5.66069,0.6986897420996114,0.16827429979400624,0.7053173900407004,113.39227698346293,12857.808479494379,0.8398317629386854
4,113.942,199.0,95.2375,8.23262,10.6922,10.7345,199.0,199.0,136.455,199.0,124.759,61.9045,26.3904,0.6988712843844553,0.07160767060850026,0.7055805106076651,113.3581118759359,12850.061528077202,0.8399883990911214
5,22.0011,199.0,199.0,109.539,46.7094,9.61945,199.0,199.0,199.0,199.0,125.223,61.8208,125.415,0.6987335505307544,0.1554605150075812,0.7053438244769431,113.38403345672816,12855.939042916452,0.839847500726735
6,114.24,199.0,98.7755,108.805,108.616,22.3498,199.0,199.0,199.0,199.0,124.552,37.6479,53.5293,0.6988568631440024,0.014860909411472497,0.7056285693353594,113.36082623848564,12850.676925472137,0.8400170053846288
7,29.6917,199.0,27.5474,109.164,48.9521,36.5525,199.0,199.0,42.2514,85.1872,125.097,5.55787,18.3041,0.6988067750150713,0.13079301921992637,0.7054945890917113,113.37025330970715,12852.814335507164,0.8399372530681749
8,98.418,199.0,36.3099,32.1363,12.1054,7.67927,199.0,199.0,199.0,199.0,123.705,13.126,5.59076,0.6990030377118988,-0.13292004809790453,0.7059353859764356,113.33331028498391,12844.439220152439,0.8401996107928374
9,101.45,199.0,31.0646,8.28798,59.3244,28.3916,199.0,199.0,199.0,50.1688,119.19,24.7317,9.14927,0.6985550440414383,-1.1017625071994073,0.7070569042150185,113.41761965353066,12863.556447872945,0.8408667577060105
10,114.029,199.0,168.525,22.6002,107.642,39.3923,199.0,199.0,146.455,199.0,124.833,1.89185,19.4049,0.6987306057120205,0.05056925372889067,0.7054542360800382,113.38458760839441,12856.064707125668,0.8399132312804926
11,107.897,199.0,199.0,40.0455,24.7865,18.4961,199.0,199.0,44.6369,47.3024,124.921,3.76936,74.9182,0.6987515219377316,0.08200846994813069,0.7054363286283394,113.3806515650461,12855.172149314389,0.8399025709142337
12,114.061,199.0,165.73,57.0188,49.1016,19.029,199.0,37.2858,199.0,199.0,123.182,62.4954,20.1793,0.6988872922724676,-0.276995120796423,0.7059716524620486,113.35509879883145,12849.37842369284,0.8402211925808873
13,114.247,199.0,57.7844,84.7646,109.374,2.85382,199.0,199.0,199.0,199.0,125.177,49.2539,124.558,0.6988906084221759,0.1823617824687929,0.705493954057055,113.35447460811629,12849.236913682082,0.8399368750430326
14,15.7125,199.0,199.0,115.232,108.268,27.7819,199.0,199.0,199.0,68.3311,125.197,23.7094,114.45,0.6986898064358693,0.13055620101957854,0.7053331162155677,113.3922648776103,12857.805734074136,0.8398411255800514
15,114.199,199.0,199.0,94.711,85.7913,11.643,199.0,199.0,199.0,89.1855,124.355,32.1385,12.9461,0.6987986240310282,-0.029334487167081043,0.7055820983012975,113.37178732972683,12853.162162336808,0.8399893441593753
16,113.523,199.0,188.726,64.8027,108.261,41.0243,199.0,199.0,199.0,111.726,124.887,13.8896,121.37,0.6987051056067173,0.0582434435185618,0.7054177692105149,113.3893860675132,12857.152872767558,0.83989152228756
17,113.047,199.0,73.138,110.528,108.912,6.16084,199.0,199.0,199.0,110.943,123.87,49.9596,101.858,0.6989623818666015,-0.1034329819085629,0.7058449242099785,113.34096402659569,12846.174126478056,0.8401457755711079
18,62.4018,199.0,50.909,61.7333,126.346,11.089,199.0,114.752,194.576,25.3527,133.563,2.16582,113.82,0.6977332613178813,1.1843459886352852,0.7040389459687592,113.5721108842337,12898.624370700674,0.8390702866677852
19,114.006,199.0,57.617,17.5452,44.9743,5.40054,199.0,141.196,199.0,199.0,124.391,31.483,18.8776,0.6989339788309001,0.00950369769007641,0.7056996593434661,113.34631078614242,12847.386168828787,0.8400593189432911
20,31.7584,199.0,128.631,111.777,108.588,40.8267,199.0,148.477,199.0,199.0,124.194,61.3583,125.824,0.6987906670676497,-0.07834945414732468,0.7056499816402306,113.37328481492152,12853.501709725313,0.8400297504494889
21,114.191,199.0,199.0,88.7389,14.3211,15.7842,199.0,43.4817,199.0,199.0,125.238,59.7002,84.9995,0.6987202548235626,0.15110178002278846,0.7053411875933884,113.38653540189888,12856.506410446067,0.8398459308667205
22,113.647,199.0,199.0,37.0103,81.5693,8.78817,199.0,199.0,70.0946,45.426,124.845,51.6753,41.0998,0.6987852500411147,0.07815537382354194,0.70546345229,113.37430427757397,12853.732870423928,0.8399187176685611
23,127.853,199.0,83.3768,9.11896,53.0288,22.8551,199.0,199.0,199.0,199.0,96.2102,39.8253,32.1624,0.6842124445731675,-5.91901593081859,0.7142564615027267,116.08444338996922,13475.597997158968,0.8451369483715209
24,113.179,199.0,42.9801,111.44,108.392,2.99776,199.0,199.0,181.508,19.881,124.223,24.2262,31.089,0.6989796805699968,-0.015426218265533068,0.7057683981711175,113.33770749025528,12845.435939146668,0.8401002310267016
25,114.068,199.0,199.0,26.2956,108.17,22.2636,199.0,199.0,199.0,199.0,113.68,15.6933,112.161,0.6967168396599469,-2.2736797733457137,0.7082719312611752,113.76290308396005,12941.998118090487,0.8415889324730781
26,98.2079,199.0,116.812,83.7026,11.2636,18.9737,199.0,199.0,93.2633,199.0,124.32,5.761,66.9792,0.6988480320656911,-0.03375722707088703,0.7056589576038097,113.36248838992161,12851.053773955111,0.8400350930787414
27,114.131,199.0,193.178,3.4847,36.631,40.8144,199.0,199.0,199.0,199.0,124.939,8.89191,113.389,0.6986957599891629,0.06850343203636507,0.7053978815275902,113.39114461974776,12857.551678176553,0.8398796827686631
28,51.561,142.653,199.0,28.0785,108.024,43.7401,199.0,199.0,172.503,21.6913,124.143,21.6571,122.955,0.698660164328581,-0.10430984929904386,0.7055233129217796,113.39784235738175,12859.070651309603,0.8399543516892924
29,113.999,199.0,87.1596,36.7203,36.1372,12.4392,199.0,199.0,199.0,199.0,124.613,35.1383,9.17202,0.6988910206412273,0.04073169767657378,0.7056335758384876,113.35439701689646,12849.219323064184,0.8400199853804001
30,56.3223,199.0,199.0,23.9296,26.5568,25.5308,199.0,199.0,199.0,199.0,119.365,19.1677,45.4964,0.6984397577090689,-1.09006240800381,0.7068721269980043,113.43930562174661,12868.476059944034,0.8407568774610198
31,113.976,199.0,199.0,30.5631,106.823,40.2964,199.0,199.0,91.4082,194.091,125.337,8.42084,2.12577,0.6986410958789404,0.1506345441139932,0.7052679348659465,113.40143014529451,12859.884358998112,0.8398023189215106
32,30.4464,199.0,20.5259,23.4289,4.8208,7.32737,199.0,199.0,123.589,177.976,124.465,9.64254,100.563,0.6989793055910825,0.0319182203284696,0.7057470223978014,113.33777808222953,12845.45194061671,0.840087508773819
33,114.206,199.0,34.1997,15.5701,51.3138,39.1887,199.0,199.0,49.8933,199.0,124.443,3.90406,25.4706,0.6988723890204855,-0.008526487995917575,0.7056903299788512,113.3579039589173,12850.014389959118,0.8400537661238423
34,114.283,199.0,199.0,104.925,37.4294,40.356,199.0,121.486,30.5492,8.86421,125.105,67.0984,8.80964,0.6986717612287618,0.10250924550803192,0.7053412300842838,113.39566030915002,12858.57577694814,0.8398459561635597
35,25.5762,199.0,199.0,111.18,108.325,25.2156,199.0,150.434,90.5699,85.9652,124.006,1.22008,27.0586,0.6987923056793609,-0.11590754062421921,0.7056777670561709,113.3729764329682,12853.431785270363,0.8400462886390077
