obsnme,obsval,weight,obgnme
obd_irr_paddy_20160531,25.74650017,1.0,obgnme
obd_irr_paddy_20160630,497.4250831,1.0,obgnme
obd_irr_paddy_20160731,658.4308318,1.0,obgnme
obd_irr_paddy_20160831,662.5304393,1.0,obgnme
obd_irr_paddy_20160930,30.77213036,1.0,obgnme
obd_irr_paddy_20170531,425.8318971,1.0,obgnme
obd_irr_paddy_20170630,534.5045756,1.0,obgnme
obd_irr_paddy_20170731,622.6136124,1.0,obgnme
obd_irr_paddy_20170831,611.1149411,1.0,obgnme
obd_irr_paddy_20170930,179.5094126,1.0,obgnme
obd_irr_paddy_20180531,383.0782916,1.0,obgnme
obd_irr_paddy_20180630,483.2438593,1.0,obgnme
obd_irr_paddy_20180731,652.8659113,1.0,obgnme
obd_irr_paddy_20180831,598.4164878,1.0,obgnme
obd_irr_paddy_20180930,90.01401043,1.0,obgnme
obd_irr_paddy_20190531,340.345257,1.0,obgnme
obd_irr_paddy_20190630,603.7286647,1.0,obgnme
obd_irr_paddy_20190731,564.8125827,1.0,obgnme
obd_irr_paddy_20190831,665.5978339,1.0,obgnme
obd_irr_paddy_20190930,174.0847075,1.0,obgnme
obd_irr_paddy_20200531,157.78057,1.0,obgnme
obd_irr_paddy_20200630,477.193911,1.0,obgnme
obd_irr_paddy_20200731,620.5216105,1.0,obgnme
obd_irr_paddy_20200831,683.9243659,1.0,obgnme
obd_irr_paddy_20200930,218.7055919,1.0,obgnme
obd_irr_paddy_20210531,294.1051672,1.0,obgnme
obd_irr_paddy_20210630,562.5524557,1.0,obgnme
obd_irr_paddy_20210731,588.5747167,1.0,obgnme
obd_irr_paddy_20210831,666.5979118,1.0,obgnme
obd_irr_paddy_20210930,260.4137525,1.0,obgnme
obd_irr_paddy_20220531,442.3016023,1.0,obgnme
obd_irr_paddy_20220630,608.3128551,1.0,obgnme
obd_irr_paddy_20220731,619.3368396,1.0,obgnme
obd_irr_paddy_20220831,515.7611778,1.0,obgnme
obd_irr_paddy_20220930,103.0496036,1.0,obgnme
