name,value,group,weight
cha01_20130131,1.5,val,0
cha01_20130228,2.3,val,0
cha01_20130331,2.7,val,0
cha01_20130430,1.6,val,0
cha01_20130531,2.2,val,0
cha01_20130630,2.6,val,0
cha01_20130731,22.1,val,0
cha01_20130831,14.4,val,0
cha01_20130930,3.7,val,0
cha01_20131031,2.8,val,0
cha01_20131130,1.9,val,0
cha01_20131231,1.8,val,0
cha01_20140331,0.3,val,0
cha01_20140430,0.6,val,0
cha01_20140531,0.9,val,0
cha01_20140630,4,val,0
cha01_20140731,8.7,val,0
cha01_20140831,16.4,val,0
cha01_20140930,5,val,0
cha01_20141031,2.1,val,0
cha01_20141130,0.9,val,0
cha01_20141231,0.9,val,0
cha01_20150131,0.6,val,0
cha01_20150228,0.5,val,0
cha01_20150331,0.5,val,0
cha01_20150430,0.9,val,0
cha01_20150531,0.5,val,0
cha01_20150630,1.9,val,0
cha01_20150731,2.3,val,0
cha01_20150831,1.6,val,0
cha01_20150930,1,val,0
cha01_20151031,1.6,val,0
cha01_20151130,0.4,val,0
cha01_20151231,0.5,val,0
cha01_20160131,0.4,val,0
cha01_20160229,0.4,val,0
cha01_20160331,0.8,val,0
cha01_20160430,0.6,val,0
cha01_20160531,1,val,0
cha01_20160630,2,val,0
cha01_20160731,8.8,val,0
cha01_20160831,1.5,val,0
cha01_20160930,2.9,val,0
cha01_20161031,2.7,val,0
cha01_20161130,0.5,val,0
cha01_20161231,0.4,val,0
cha01_20170131,0.4,cal,1
cha01_20170228,0.4,cal,1
cha01_20170331,0.4,cal,1
cha01_20170430,0.4,cal,1
cha01_20170531,0.3,cal,1
cha01_20170630,1.5,cal,1
cha01_20170731,8.1,cal,1
cha01_20170831,7.8,cal,1
cha01_20170930,4.4,cal,1
cha01_20171031,1.4,cal,1
cha01_20171130,0.4,cal,1
cha01_20171231,0.3,cal,1
cha01_20180131,0.4,cal,1
cha01_20180228,0.3,cal,1
cha01_20180331,1.1,cal,1
cha01_20180430,2.2,cal,1
cha01_20180531,1.6,cal,1
cha01_20180630,6.8,cal,1
cha01_20180731,7.5,cal,1
cha01_20180831,16.1,cal,1
cha01_20180930,9.8,cal,1
cha01_20181031,3,cal,1
cha01_20181130,1.3,cal,1
cha01_20181231,0.4,cal,1
cha01_20190131,0.4,cal,1
cha01_20190228,0.4,cal,1
cha01_20190331,0.4,cal,1
cha01_20190430,0.8,cal,1
cha01_20190531,1.6,cal,1
cha01_20190630,2.9,cal,1
cha01_20190731,7.2,cal,1
cha01_20190831,3.6,cal,1
cha01_20190930,5.1,cal,1
cha01_20191031,7,cal,1
cha01_20191130,1.5,cal,1
cha01_20191231,0.5,cal,1
cha01_20200131,1.2,cal,1
cha01_20200229,0.6,cal,1
cha01_20200331,0.5,cal,1
cha01_20200430,0.4,cal,1
cha01_20200531,0.5,cal,1
cha01_20200630,4.5,cal,1
cha01_20200731,27.3,cal,1
cha01_20200831,43,cal,1
cha01_20200930,7.3,cal,1
cha01_20201031,1.1,cal,1
cha01_20201130,1,cal,1
cha01_20201231,0.4,cal,1
cha01_20210131,0.5,cal,1
cha01_20210228,0.5,cal,1
cha01_20210331,0.5,cal,1
cha01_20210430,0.4,cal,1
cha01_20210831,8.1,cal,1
cha01_20210930,2,cal,1
cha01_20211031,0.5,cal,1
cha01_20211130,0.5,cal,1
cha01_20211231,0.5,cal,1
cha01_20220131,0.3,cal,1
cha01_20220228,0.2,cal,1
cha01_20220531,0.62,cal,1
cha01_20220630,5.6,cal,1
cha01_20220731,1,cal,1
cha01_20220831,3,cal,1
cha01_20220930,1.1,cal,1
cha01_20221031,0.7,cal,1
cha01_20221130,0.9,cal,1
cha01_20221231,0.6,cal,1
cha01_20230131,0.7,cal,1
cha01_20230228,0.7,cal,1
cha01_20230331,0.6,cal,1
cha01_20230430,0.8,cal,1
cha01_20230531,4,cal,1
cha01_20230630,7.8,cal,1
cha01_20230731,27.5,cal,1
cha01_20230831,7.9,cal,1
cha01_20230930,5.3,cal,1
cha01_20231031,1.6,cal,1
cha01_20231130,1.5,cal,1
