real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse
19,116.664,66.9238,27.8045,41.811,88.5657,27.7929,66.306,33.3461,112.294,145.032,51.0042,77.4306,39.9762,0.8693481777518903,8.37448689535556,0.8740432239211972,2.147691329836304
23,125.937,77.4408,42.7005,36.9095,98.3649,168.64,69.3363,157.654,99.907,115.454,46.2414,95.4167,69.304,0.8621384779857072,10.33236172672962,0.8704052195298599,2.206153175456275
46,106.859,37.4345,33.1977,107.714,99.9229,165.341,133.055,93.7588,62.6797,101.434,47.2605,41.4547,78.7428,0.8415309723456517,0.954732366544613,0.8493789318868045,2.365300506581388
70,109.504,26.0234,168.443,65.191,132.094,92.5425,46.4993,39.7999,118.232,120.367,48.9827,48.9664,175.921,0.866069421418687,13.421104740797835,0.8736653921126668,2.1744729060463914
105,163.526,53.1887,169.827,25.8623,115.089,58.2915,162.569,170.303,37.7287,114.619,54.2545,135.545,25.6892,0.8727119590305104,4.048884659857389,0.8743317579887805,2.1198636575719565
144,170.988,21.5883,170.843,38.3292,103.319,57.9769,32.4049,140.285,85.8857,106.098,32.8343,128.421,94.0276,0.8061948902581461,20.54128637502409,0.8200089358305429,2.615753046614881
155,64.9097,21.2972,88.9804,139.049,104.899,124.552,163.072,139.705,78.6883,121.35,60.9035,124.608,64.3413,0.8695024983781179,9.3385187415687,0.875143893160736,2.146422572187456
