real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
54,108.113,33.9892,160.426,29.1336,27.3095,186.235,48.2392,35.3348,123.434,97.307,53.5645,10.6878,7.79947
55,49.3362,7.38607,40.0453,106.914,7.10272,97.7277,102.857,28.462,68.9684,178.524,94.4393,54.9303,15.2303
56,37.787,85.3543,149.387,186.017,199,104.668,167.912,199,79.7062,199,58.5941,199,177.854
57,69.1365,43.0837,84.097,199,180.25,84.9531,23.9129,199,15.7423,154.129,59.8607,74.9831,187.052
58,199,112.669,156.002,101.465,26.0121,199,40.213,163.011,120.011,105.981,40.1636,53.2137,191.838
59,58.619,94.3797,159.668,199,190.588,6.07103,9.02287,25.6177,35.9027,148.567,45.9651,171.296,30.0049
60,199,73.372,40.6374,146.405,6.43254,133.932,8.09982,65.8527,27.2158,61.7248,66.0684,74.7144,186.147
61,39.2957,81.7133,192.469,28.237,101.701,189.63,79.1601,186.616,41.0662,199,72.1555,88.457,165.168
62,74.16,65.4083,152.375,53.2801,177.428,20.002,61.2418,167.079,114.531,114.533,45.3331,13.5523,64.9626
63,22.8977,51.929,130.614,146.88,69.9169,199,92.0128,185.991,68.3669,187.282,58.5281,56.8553,174.076
64,52.2763,39.6647,73.7471,199,36.8587,199,75.2256,91.5153,37.2287,104.702,46.9301,141.496,187.269
65,46.9487,57.5281,37.5148,199,69.8229,175.395,145.223,183.144,7.23758,199,57.1123,198.096,154.355
66,199,73.0256,172.144,199,101.37,11.3195,39.7874,184.783,153.075,92.9988,54.3489,50.4006,80.8106
67,134.38,26.0251,90.4054,198.63,184.741,199,43.7665,54.3965,36.3269,172.236,59.7386,21.229,199
68,194.684,64.6701,64.312,25.0875,18.4307,67.2958,165.424,160.138,64.9535,106.877,52.8098,139.192,179.131
69,199,53.7102,167.149,14.2672,91.2403,199,18.9765,57.952,8.08427,30.8474,39.2982,108.22,19.9029
70,102.874,28.4556,168.935,59.9316,142.746,87.1912,47.413,40.8677,114.9,118.01,46.5921,48.2222,173.116
71,156.513,71.729,8.52462,199,22.9035,199,80.735,94.599,40.6198,115.435,58.5614,49.7771,149.71
73,122.695,74.4492,166.725,184.41,134.905,153.598,41.3243,170.821,34.2209,133.849,50.9457,172.121,199
74,61.4499,44.0522,38.0524,64.6599,187.195,114.985,79.7425,193.383,31.1794,182.143,52.8519,92.0041,199
75,80.6756,19.9457,37.0049,199,148.101,199,53.7293,31.4312,106.093,141.023,67.8872,190.726,124.304
76,74.8438,15.0456,190.826,24.1523,103.591,199,136.854,83.6824,8.48884,28.9492,32.5932,126.266,93.4391
77,124.162,31.0738,168.403,63.4058,53.2361,65.8806,145.698,199,70.0018,148.259,54.8961,53.8848,199
78,25.9724,35.2633,134.885,188.844,110.034,199,19.955,199,42.3371,79.1249,37.4027,161.112,199
80,109.292,128.04,12.7276,159.038,89.3418,21.124,32.8838,186.831,101.306,146.017,50.6602,180.829,42.8012
81,137.51,134.781,15.3973,151.969,90.3256,199,5.6088,196.229,67.2705,75.7927,22.0253,54.2361,26.6623
