iteration,total_runs,obs_realization,par_realization,val,cal
1,422,27,27,0,452.01
1,422,28,28,0,713.612
1,422,29,29,0,423.939
1,422,30,30,0,649.357
1,422,31,31,0,422.576
1,422,32,32,0,498.185
1,422,33,33,0,400.083
1,422,34,34,0,437.619
1,422,35,35,0,446.605
1,422,36,36,0,427.473
1,422,37,37,0,439.769
1,422,38,38,0,553.65
1,422,39,39,0,591.359
1,422,40,40,0,393.01
1,422,41,41,0,475.882
1,422,42,42,0,618.598
1,422,43,43,0,414.107
1,422,44,44,0,740.412
1,422,45,45,0,591.953
1,422,46,46,0,537.735
1,422,47,47,0,477.604
1,422,48,48,0,519.287
1,422,49,49,0,424.634
1,422,50,50,0,436.207
1,422,51,51,0,404.992
1,422,52,52,0,423.097
1,422,53,53,0,557.9
1,422,54,54,0,421.105
1,422,55,55,0,661.466
1,422,56,56,0,656.488
1,422,57,57,0,436.089
1,422,58,58,0,510.743
1,422,59,59,0,473.141
1,422,60,60,0,522.664
1,422,61,61,0,1370.28
1,422,62,62,0,450.554
1,422,63,63,0,609.411
1,422,64,64,0,593.125
1,422,65,65,0,447.836
1,422,66,66,0,461.065
1,422,67,67,0,402.176
1,422,68,68,0,525.75
1,422,69,69,0,518.239
1,422,70,70,0,442.645
1,422,71,71,0,453.261
1,422,72,72,0,477.851
1,422,73,73,0,478.549
1,422,74,74,0,459.248
1,422,75,75,0,393.731
1,422,76,76,0,692.474
1,422,77,77,0,400.875
1,422,78,78,0,447.363
1,422,80,80,0,505.448
1,422,81,81,0,374.165
1,422,82,82,0,415.962
1,422,83,83,0,491.191
1,422,84,84,0,558.85
1,422,85,85,0,698.973
1,422,86,86,0,473.798
1,422,87,87,0,455.61
1,422,88,88,0,462.222
1,422,89,89,0,452.263
1,422,90,90,0,469.779
1,422,91,91,0,593.155
1,422,92,92,0,711.214
1,422,93,93,0,579.965
1,422,94,94,0,520.238
1,422,95,95,0,448.983
1,422,96,96,0,416.287
1,422,97,97,0,448.76
1,422,98,98,0,436.669
1,422,99,99,0,458.566
1,422,100,100,0,446.214
1,422,101,101,0,469.019
1,422,102,102,0,415.449
1,422,103,103,0,413.233
1,422,104,104,0,705.223
1,422,105,105,0,446.612
1,422,106,106,0,625.778
1,422,107,107,0,432.003
1,422,108,108,0,1075.87
1,422,109,109,0,656.127
1,422,110,110,0,419.247
1,422,111,111,0,415.88
1,422,112,112,0,464.612
1,422,113,113,0,1335.24
1,422,114,114,0,459.916
1,422,115,115,0,371.874
1,422,116,116,0,452.853
1,422,117,117,0,482.002
1,422,118,118,0,679.167
1,422,119,119,0,624.572
1,422,120,120,0,421.571
1,422,121,121,0,530.523
1,422,122,122,0,494.222
1,422,123,123,0,441.504
1,422,124,124,0,482.185
1,422,125,125,0,404.555
1,422,126,126,0,467.25
1,422,127,127,0,498.097
1,422,128,128,0,483.235
1,422,129,129,0,464.023
1,422,130,130,0,589.277
1,422,131,131,0,451.76
1,422,132,132,0,811.181
1,422,133,133,0,493.274
1,422,135,135,0,576.305
1,422,136,136,0,553.794
1,422,137,137,0,520.521
1,422,138,138,0,642.215
1,422,139,139,0,475.455
1,422,140,140,0,499.322
1,422,141,141,0,447.932
1,422,142,142,0,408.846
1,422,143,143,0,448.168
1,422,144,144,0,687.334
1,422,145,145,0,521.892
1,422,146,146,0,489.267
1,422,147,147,0,430.486
1,422,148,148,0,886.985
1,422,149,149,0,614.883
1,422,150,150,0,605.176
1,422,151,151,0,502.336
1,422,152,152,0,502.097
1,422,153,153,0,461.57
1,422,154,154,0,509.394
1,422,155,155,0,498.223
1,422,156,156,0,499.72
1,422,157,157,0,612.125
1,422,158,158,0,458.018
1,422,159,159,0,436.908
1,422,160,160,0,591.986
1,422,161,161,0,854.434
1,422,162,162,0,440.438
1,422,163,163,0,467.144
1,422,164,164,0,453.721
1,422,165,165,0,419.673
1,422,166,166,0,501.656
1,422,167,167,0,426.77
1,422,168,168,0,436.25
1,422,169,169,0,520.299
1,422,170,170,0,415.384
1,422,171,171,0,413.639
1,422,172,172,0,528.089
1,422,173,173,0,586.021
1,422,174,174,0,520.434
1,422,175,175,0,851.877
1,422,176,176,0,465.24
1,422,177,177,0,404.615
1,422,178,178,0,555.414
1,422,179,179,0,414.877
1,422,180,180,0,699.006
1,422,181,181,0,473.573
1,422,182,182,0,501.703
1,422,183,183,0,430.36
1,422,184,184,0,463.864
1,422,185,185,0,541.709
1,422,186,186,0,406.253
1,422,187,187,0,414.019
1,422,189,189,0,665.329
1,422,190,190,0,408.95
1,422,191,191,0,614.902
1,422,192,192,0,464.577
1,422,193,193,0,391.631
1,422,194,194,0,503.377
1,422,195,195,0,447.453
1,422,196,196,0,604.146
1,422,197,197,0,639.7
1,422,198,198,0,429.568
1,422,base,base,0,436.499
2,649,0,0,0,549.559
2,649,1,1,0,459.857
2,649,2,2,0,475.164
2,649,4,4,0,392.114
2,649,5,5,0,461.161
2,649,6,6,0,404.499
2,649,7,7,0,461.453
2,649,8,8,0,448.758
2,649,9,9,0,526.156
2,649,10,10,0,456.149
2,649,11,11,0,483.48
2,649,12,12,0,402.793
2,649,13,13,0,413.9
2,649,14,14,0,501.066
2,649,15,15,0,423.68
2,649,16,16,0,424.984
2,649,17,17,0,417.167
2,649,18,18,0,620.56
2,649,19,19,0,430.689
2,649,20,20,0,490.771
2,649,21,21,0,415.826
2,649,22,22,0,467.477
2,649,23,23,0,465.107
2,649,24,24,0,444.749
2,649,25,25,0,434.765
2,649,26,26,0,426.548
2,649,27,27,0,431.038
2,649,28,28,0,775.216
2,649,29,29,0,415.835
2,649,30,30,0,542.441
2,649,31,31,0,436.501
2,649,32,32,0,470.015
2,649,33,33,0,423.819
2,649,34,34,0,453.785
2,649,35,35,0,443.732
2,649,36,36,0,430.241
2,649,37,37,0,420.04
2,649,38,38,0,610.051
2,649,39,39,0,442.865
2,649,40,40,0,409.008
2,649,41,41,0,531.45
2,649,42,42,0,528.003
2,649,43,43,0,396.608
2,649,44,44,0,490.302
2,649,45,45,0,482.189
2,649,46,46,0,434.831
2,649,47,47,0,443.086
2,649,48,48,0,548.131
2,649,49,49,0,406.349
2,649,50,50,0,436.442
2,649,51,51,0,413.432
2,649,52,52,0,407.378
2,649,53,53,0,512.863
2,649,54,54,0,419.483
2,649,55,55,0,462.388
2,649,56,56,0,476.864
2,649,57,57,0,432.751
2,649,58,58,0,502.992
2,649,59,59,0,481.094
2,649,60,60,0,424.914
2,649,61,61,0,639.409
2,649,62,62,0,459.323
2,649,63,63,0,517.13
2,649,64,64,0,476.18
2,649,65,65,0,448.767
2,649,66,66,0,433.786
2,649,67,67,0,406.726
2,649,68,68,0,442.198
2,649,69,69,0,463.442
2,649,70,70,0,431.246
2,649,71,71,0,403.567
2,649,72,72,0,491.96
2,649,73,73,0,446.157
2,649,74,74,0,482.2
2,649,75,75,0,403.838
2,649,76,76,0,443.836
2,649,77,77,0,412.086
2,649,78,78,0,524.151
2,649,80,80,0,857.443
2,649,81,81,0,787.727
2,649,82,82,0,404.638
2,649,83,83,0,504.891
2,649,84,84,0,448.285
2,649,85,85,0,745.634
2,649,86,86,0,479.972
2,649,87,87,0,414.853
2,649,88,88,0,445.706
2,649,89,89,0,456.138
2,649,90,90,0,457.296
2,649,91,91,0,471.826
2,649,92,92,0,537.435
