Date	Flow
1/1/2017	-99
1/2/2017	-99
1/3/2017	-99
1/4/2017	-99
1/5/2017	-99
1/6/2017	-99
1/7/2017	-99
1/8/2017	-99
1/9/2017	-99
1/10/2017	-99
1/11/2017	-99
1/12/2017	-99
1/13/2017	-99
1/14/2017	-99
1/15/2017	-99
1/16/2017	-99
1/17/2017	-99
1/18/2017	-99
1/19/2017	-99
1/20/2017	-99
1/21/2017	-99
1/22/2017	-99
1/23/2017	-99
1/24/2017	-99
1/25/2017	-99
1/26/2017	-99
1/27/2017	-99
1/28/2017	-99
1/29/2017	-99
1/30/2017	-99
1/31/2017	-99
2/1/2017	-99
2/2/2017	-99
2/3/2017	-99
2/4/2017	-99
2/5/2017	-99
2/6/2017	-99
2/7/2017	-99
2/8/2017	-99
2/9/2017	-99
2/10/2017	-99
2/11/2017	-99
2/12/2017	-99
2/13/2017	-99
2/14/2017	-99
2/15/2017	-99
2/16/2017	-99
2/17/2017	-99
2/18/2017	-99
2/19/2017	-99
2/20/2017	-99
2/21/2017	-99
2/22/2017	-99
2/23/2017	-99
2/24/2017	-99
2/25/2017	-99
2/26/2017	-99
2/27/2017	-99
2/28/2017	-99
3/1/2017	-99
3/2/2017	-99
3/3/2017	-99
3/4/2017	-99
3/5/2017	-99
3/6/2017	-99
3/7/2017	-99
3/8/2017	-99
3/9/2017	-99
3/10/2017	-99
3/11/2017	-99
3/12/2017	-99
3/13/2017	-99
3/14/2017	-99
3/15/2017	-99
3/16/2017	-99
3/17/2017	-99
3/18/2017	-99
3/19/2017	-99
3/20/2017	-99
3/21/2017	-99
3/22/2017	-99
3/23/2017	-99
3/24/2017	-99
3/25/2017	-99
3/26/2017	-99
3/27/2017	-99
3/28/2017	-99
3/29/2017	-99
3/30/2017	-99
3/31/2017	-99
4/1/2017	-99
4/2/2017	-99
4/3/2017	-99
4/4/2017	-99
4/5/2017	-99
4/6/2017	-99
4/7/2017	-99
4/8/2017	-99
4/9/2017	-99
4/10/2017	-99
4/11/2017	-99
4/12/2017	-99
4/13/2017	-99
4/14/2017	-99
4/15/2017	-99
4/16/2017	-99
4/17/2017	-99
4/18/2017	-99
4/19/2017	-99
4/20/2017	-99
4/21/2017	-99
4/22/2017	-99
4/23/2017	-99
4/24/2017	-99
4/25/2017	-99
4/26/2017	-99
4/27/2017	-99
4/28/2017	-99
4/29/2017	-99
4/30/2017	-99
5/1/2017	-99
5/2/2017	-99
5/3/2017	-99
5/4/2017	-99
5/5/2017	-99
5/6/2017	-99
5/7/2017	-99
5/8/2017	-99
5/9/2017	-99
5/10/2017	-99
5/11/2017	0.121
5/12/2017	0.121
5/13/2017	0.080666667
5/14/2017	0.161333333
5/15/2017	0.242
5/16/2017	0.161333333
5/17/2017	0.161333333
5/18/2017	0.201666667
5/19/2017	0.161333333
5/20/2017	0.161333333
5/21/2017	0.201666667
5/22/2017	0.161333333
5/23/2017	0.161333333
5/24/2017	0.161333333
5/25/2017	0.161333333
5/26/2017	0.161333333
5/27/2017	0.161333333
5/28/2017	0.161333333
5/29/2017	0.161333333
5/30/2017	0.201666667
5/31/2017	0.161333333
6/1/2017	0.161333333
6/2/2017	0.161333333
6/3/2017	0.242
6/4/2017	0.322666667
6/5/2017	0.564666667
6/6/2017	0.403333333
6/7/2017	0.242
6/8/2017	0.161333333
6/9/2017	0.121
6/10/2017	0.161333333
6/11/2017	0.161333333
6/12/2017	0.121
6/13/2017	0.121
6/14/2017	0.161333333
6/15/2017	0.161333333
6/16/2017	0.161333333
6/17/2017	0.161333333
6/18/2017	0.161333333
6/19/2017	0.322666667
6/20/2017	0.403333333
6/21/2017	0.403333333
6/22/2017	0.403333333
6/23/2017	0.443666667
6/24/2017	0.524333333
6/25/2017	0.484
6/26/2017	0.484
6/27/2017	0.443666667
6/28/2017	0.363
6/29/2017	0.201666667
6/30/2017	0.161333333
7/1/2017	0.766333333
7/2/2017	0.524333333
7/3/2017	0.403333333
7/4/2017	0.282333333
7/5/2017	0.121
7/6/2017	0.201666667
7/7/2017	0.201666667
7/8/2017	0.201666667
7/9/2017	0.201666667
7/10/2017	0.201666667
7/11/2017	0.201666667
7/12/2017	0.242
7/13/2017	0.201666667
7/14/2017	0.242
7/15/2017	0.363
7/16/2017	0.443666667
7/17/2017	0.484
7/18/2017	0.403333333
7/19/2017	0.443666667
7/20/2017	0.443666667
7/21/2017	0.484
7/22/2017	0.605
7/23/2017	0.645333333
7/24/2017	0.443666667
7/25/2017	0.443666667
7/26/2017	0.443666667
7/27/2017	0.484
7/28/2017	0.484
7/29/2017	0.484
7/30/2017	0.524333333
7/31/2017	0.524333333
8/1/2017	0.524333333
8/2/2017	0.564666667
8/3/2017	0.524333333
8/4/2017	0.524333333
8/5/2017	0.605
8/6/2017	0.645333333
8/7/2017	0.645333333
8/8/2017	0.685666667
8/9/2017	0.685666667
8/10/2017	0.685666667
8/11/2017	0.726
8/12/2017	0.726
8/13/2017	0.726
8/14/2017	0.726
8/15/2017	0.726
8/16/2017	0.766333333
8/17/2017	0.766333333
8/18/2017	0.766333333
8/19/2017	0.766333333
8/20/2017	0.766333333
8/21/2017	0.766333333
8/22/2017	0.726
8/23/2017	0.726
8/24/2017	0.726
8/25/2017	0.726
8/26/2017	0.726
8/27/2017	0.766333333
8/28/2017	0.766333333
8/29/2017	0.806666667
8/30/2017	0.766333333
8/31/2017	0.726
9/1/2017	0.766333333
9/2/2017	0.766333333
9/3/2017	0.766333333
9/4/2017	0.766333333
9/5/2017	0.685666667
9/6/2017	0.605
9/7/2017	0.605
9/8/2017	0.605
9/9/2017	0.605
9/10/2017	0.564666667
9/11/2017	1.169666667
9/12/2017	0.968
9/13/2017	0.766333333
9/14/2017	0.443666667
9/15/2017	-99
9/16/2017	-99
9/17/2017	-99
9/18/2017	-99
9/19/2017	-99
9/20/2017	-99
9/21/2017	-99
9/22/2017	-99
9/23/2017	-99
9/24/2017	-99
9/25/2017	-99
9/26/2017	-99
9/27/2017	-99
9/28/2017	-99
9/29/2017	-99
9/30/2017	-99
10/1/2017	-99
10/2/2017	-99
10/3/2017	-99
10/4/2017	-99
10/5/2017	-99
10/6/2017	-99
10/7/2017	-99
10/8/2017	-99
10/9/2017	-99
10/10/2017	-99
10/11/2017	-99
10/12/2017	-99
10/13/2017	-99
10/14/2017	-99
10/15/2017	-99
10/16/2017	-99
10/17/2017	-99
10/18/2017	-99
10/19/2017	-99
10/20/2017	-99
10/21/2017	-99
10/22/2017	-99
10/23/2017	-99
10/24/2017	-99
10/25/2017	-99
10/26/2017	-99
10/27/2017	-99
10/28/2017	-99
10/29/2017	-99
10/30/2017	-99
10/31/2017	-99
11/1/2017	-99
11/2/2017	-99
11/3/2017	-99
11/4/2017	-99
11/5/2017	-99
11/6/2017	-99
11/7/2017	-99
11/8/2017	-99
11/9/2017	-99
11/10/2017	-99
11/11/2017	-99
11/12/2017	-99
11/13/2017	-99
11/14/2017	-99
11/15/2017	-99
11/16/2017	-99
11/17/2017	-99
11/18/2017	-99
11/19/2017	-99
11/20/2017	-99
11/21/2017	-99
11/22/2017	-99
11/23/2017	-99
11/24/2017	-99
11/25/2017	-99
11/26/2017	-99
11/27/2017	-99
11/28/2017	-99
11/29/2017	-99
11/30/2017	-99
12/1/2017	-99
12/2/2017	-99
12/3/2017	-99
12/4/2017	-99
12/5/2017	-99
12/6/2017	-99
12/7/2017	-99
12/8/2017	-99
12/9/2017	-99
12/10/2017	-99
12/11/2017	-99
12/12/2017	-99
12/13/2017	-99
12/14/2017	-99
12/15/2017	-99
12/16/2017	-99
12/17/2017	-99
12/18/2017	-99
12/19/2017	-99
12/20/2017	-99
12/21/2017	-99
12/22/2017	-99
12/23/2017	-99
12/24/2017	-99
12/25/2017	-99
12/26/2017	-99
12/27/2017	-99
12/28/2017	-99
12/29/2017	-99
12/30/2017	-99
12/31/2017	-99
