 april24                   SWAT+ Apr 12 2023       MODULAR Rev 2023.60.5.6                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2023      34     340  aqu340                    0.000          4.623        266.960          3.266          0.163         11.942          0.610          0.000          0.500          0.000          5.200          5.197          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      35     350  aqu350                    0.000          4.623        266.937          3.271          0.164         11.945          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      36     360  aqu360                    0.000          4.615        267.321          4.874          0.244         13.647          0.334          0.000          0.500          0.000          2.866          2.861          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      37     370  aqu370                    0.000          4.623        266.963          3.265          0.163         11.936          0.610          0.000          0.500          0.000          5.198          5.195          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      38     380  aqu380                    0.000          3.438        326.169         21.928          1.096         22.331          0.847          0.000          0.500          0.000          7.247          7.253          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      39     390  aqu390                    0.000          4.623        266.962          3.268          0.163         11.945          0.611          0.000          0.500          0.000          5.207          5.204          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      40     400  aqu400                    0.000          3.411        327.512         22.106          1.105         22.331          0.858          0.000          0.500          0.000          7.329          7.342          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      41     410  aqu410                    0.000          3.500        323.038         21.418          1.071         22.331          0.808          0.000          0.500          0.000          6.927          6.925          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      42     420  aqu420                    0.000          4.623        266.956          3.261          0.163         11.937          0.609          0.000          0.500          0.000          5.186          5.183          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      43     430  aqu430                    0.000          4.623        266.953          3.258          0.163         11.936          0.608          0.000          0.500          0.000          5.178          5.176          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      44     440  aqu440                    0.000          3.564        319.872         20.880          1.044         22.331          0.757          0.000          0.500          0.000          6.488          6.483          0.000          0.004          0.000          0.000          0.000
   365    12    31  2023      45     450  aqu450                    0.000          4.623        266.936          3.272          0.164         11.948          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      46     460  aqu460                    0.000          4.584        268.861          5.911          0.296         14.767          0.378          0.000          0.500          0.000          3.243          3.238          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      47     470  aqu470                    0.000          4.623        266.936          3.272          0.164         11.948          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      48     480  aqu480                    0.000          4.614        267.377          4.921          0.246         13.695          0.291          0.000          0.500          0.000          2.497          2.492          0.000          0.000          0.000          0.000          0.000
   365    12    31  2023      49     490  aqu490                    0.000          4.623        266.937          3.271          0.164         11.945          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      50     500  aqu500                    0.000          4.609        267.624          5.179          0.259         13.970          0.316          0.000          0.500          0.000          2.717          2.711          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      51     510  aqu510                    0.000          4.623        266.936          3.272          0.164         11.948          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
   365    12    31  2023      52     520  aqu520                    0.000          4.585        268.854          5.918          0.296         14.778          0.377          0.000          0.500          0.000          3.238          3.233          0.000          0.001          0.000          0.000          0.000
   365    12    31  2023      53     530  aqu530                    0.000          4.623        266.936          3.272          0.164         11.948          0.612          0.000          0.500          0.000          5.216          5.213          0.000          0.002          0.000          0.000          0.000
