iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,base
0,200,529590,83639.1,449856,687846,451786,451861,451946,451828,451873,453109,451763,633933,451691,636912,597367,451914,453628,450969,456662,660224,450167,452241,613324,596413,451908,661292,451723,603541,451347,452105,666398,523920,452144,449856,663761,634394,551934,451893,648315,452074,451899,451748,498484,451829,451989,461046,597397,455615,451955,593447,625532,602844,613476,452112,452095,574442,451780,614038,451972,453267,451847,488886,626906,660303,451979,451916,596446,451789,633602,454181,584521,451955,594890,452074,624404,451728,636632,613992,451743,451972,637499,451390,648850,655726,624463,669595,623250,451809,451692,611730,605718,451842,451996,451873,629352,615653,451957,600430,613396,452066,451848,612849,451827,638305,454309,622984,451082,611566,596344,610888,451451,616773,456977,630907,451521,451671,578109,451829,454720,596253,452077,451780,451570,452054,631407,650771,631350,450022,451749,595823,632211,451785,612808,476608,664340,534097,622827,595503,610729,451929,451867,598050,451891,450419,452129,602449,625557,561449,623436,631977,451931,452003,687846,636442,458845,638661,644352,624612,604600,627114,574692,613558,496102,453646,451700,459136,616439,452063,549031,451968,451973,451854,451922,610211,632503,566185,615280,614526,451930,452099,456012,634107,610992,594110,451980,631587,621858,451724,596532,451745,451937,452121,618119,456415,452012,602002,451986,452802,451428,451864,475438,451806,451844,466169
1,432,456170,23027.7,450000,611616,451520,451529,451527,451583,451463,451618,451418,451513,451416,451483,451609,451629,455840,451408,451596,451620,451627,451437,548101,451430,451586,451623,451612,452116,451401,451639,451502,451627,456869,451459,451588,451830,451404,451525,451683,451589,451699,451558,453675,451635,451596,451706,592713,451543,451551,451430,451461,451713,450820,451704,451579,451636,451537,451294,451680,453360,451612,451518,450070,451573,451488,451705,451607,451613,458545,451526,451580,451608,451498,451699,451623,451527,451534,451632,451477,451662,451682,451620,451664,451588,451384,452777,451396,451620,451610,545334,451677,451516,455167,451625,451579,451418,451643,451688,451617,452548,451623,451606,451597,451628,451459,451373,451397,451464,593510,451619,451596,451620,451437,611616,451501,451597,451561,451532,457721,450978,451830,451559,451445,451675,451522,451648,451519,451553,451495,451548,451461,451455,451489,451644,451499,451660,451623,451490,451539,451427,451484,451621,451672,451704,451700,451731,451659,451638,456332,456422,451608,451651,471830,596212,451616,472639,451562,451544,451719,451529,451635,514616,451533,451468,451432,451519,451450,451706,451419,451613,451633,451590,451605,451540,451558,451618,451472,451605,451705,451706,453000,451676,450000,451439,451702,451673,451578,451554,451553,451548,451653,451454,450722,450428,451541,451683,451612,451496,451228,451675,451842,451540,451460,451573
2,664,453703,13114.5,449504,525260,449877,449782,449783,450024,449752,449958,449774,449848,449555,450225,449963,449931,449728,449723,450023,449861,450001,449616,451451,449659,449872,449978,449880,471646,449590,452970,449787,450014,450068,449723,450396,450096,449591,449751,450050,449870,450116,449912,449733,449983,449892,450071,451622,449798,449907,449823,449704,449995,525260,450200,450022,450103,449864,477393,449951,452432,449889,449936,508104,449794,449749,450102,449916,449925,459066,449978,449715,450085,449884,450177,449960,449819,449863,449949,449744,449927,450004,449846,450140,475148,449504,471369,449742,449855,449804,451420,450043,449834,449812,449933,449901,449694,449956,517727,449865,449862,449954,449789,449797,450075,449755,449552,449562,449830,459254,449960,449832,449886,449690,451639,449691,449841,449934,449787,449860,477091,450025,449973,449676,452930,449857,491052,461685,449855,449752,449830,449709,449687,449742,449913,452153,450023,449946,468750,475991,449719,449730,500564,449989,450166,450049,450027,449937,449926,463000,450083,449841,449810,453514,450295,449891,453455,449995,449848,450137,449937,449958,450027,449863,449648,449662,449893,449690,450100,449642,450124,449859,449947,449813,449796,449926,450024,524378,519055,450158,450010,449714,449950,507821,449620,450003,449954,449900,449843,449982,450009,450045,452615,478962,449758,449896,450064,449976,449870,449809,450048,449946,449782,449695,449920
3,896,449774,307.508,449476,451476,449717,449717,449696,449742,449581,449611,449652,449699,449520,449821,449716,449652,449692,449531,449712,449604,449730,449528,449960,449541,449715,449616,449604,450314,449506,450118,449628,449744,449823,449591,449780,449756,449510,449667,449753,449687,449746,449746,449684,449687,449722,449759,451445,449697,449717,449585,449595,449755,450891,449790,449601,449811,449673,450259,449696,449970,449657,449626,450652,449507,449647,449758,449566,449745,450438,449726,449520,449759,449640,449752,449647,449737,449667,449661,449615,449708,449717,449592,449797,450271,449488,450276,449524,449594,449561,449710,449733,449643,449809,449643,449645,449594,449680,450627,449602,449778,449747,449573,449567,449713,449634,449476,449500,449594,450246,449621,449542,449608,449532,451476,449499,449616,449645,449690,449559,450410,449756,449627,449608,450165,449713,450270,450271,449714,449655,449719,449608,449573,449577,449666,450006,449781,449612,450353,450228,449593,449660,450582,449722,449912,449747,449794,449692,449706,450231,449658,449552,449693,450115,449586,449656,450094,449729,449618,449822,449658,449682,449695,449679,449530,449609,449689,449600,449789,449512,449724,449642,449682,449578,449703,449721,449809,450692,450875,449769,449749,449596,449693,450401,449570,449728,449684,449626,449719,449750,449746,449706,449915,450100,449630,449737,449729,449620,449605,449644,449778,449747,449716,449548,449670
4,1128,449417,139.76,449050,451109,449381,449381,449374,449400,449391,449412,449391,449384,449370,449401,449400,449411,449407,449391,449416,449404,449404,449379,449417,449382,449390,449407,449411,449466,449377,449453,449390,449407,449050,449389,449410,449415,449370,449370,449412,449405,449412,449393,449404,449417,449391,449412,451109,449374,449387,449396,449380,449402,449490,449426,449421,449406,449396,449452,449402,449409,449403,449403,449499,449400,449381,449412,449408,449406,449494,449399,449399,449410,449411,449417,449415,449380,449396,449412,449378,449383,449407,449401,449417,449450,449367,449410,449401,449402,449402,449373,449414,449397,449220,449410,449407,449378,449410,449480,449405,449417,449399,449400,449409,449408,449385,449374,449376,449403,449433,449415,449404,449406,449392,449560,449502,449407,449403,449371,449402,449482,449406,449412,449378,449441,449391,449460,449414,449390,449385,449380,449379,449382,449391,449405,449411,449408,449404,449468,449410,449381,449383,449486,449411,449443,449410,449405,449407,449393,449458,450240,449402,449403,449440,449382,449406,449436,449398,449401,449423,449409,449414,449407,449403,449383,449375,449393,449377,449419,449382,449419,449401,449410,449405,449372,449387,449406,449480,449501,449417,449406,449372,449403,449447,449373,449403,449402,449408,449381,449397,449395,449409,449411,449400,449412,449392,449413,449420,449403,449409,449412,449399,449380,449386,449407
