real_name,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag,ns,pbias,rsq,rmse,mse,pcc
35,39.8116,199,17.0002,60.8096,90.9254,1,199,123.128,101.9,97.3698,122.748,1.29728,15.5106,0.699104039,-0.310002458,0.706241593,113.3142938,12840.12917,0.840381814
36,179.923,199,16.7845,61.0426,33.1547,1,199,163.407,151.908,179.903,122.936,6.02984,50.6968,0.699099008,-0.270562626,0.706185432,113.3152411,12840.34387,0.840348399
37,178.946,199,7.20649,6.835,90.1104,1,199,163.142,199,180.067,122.929,5.88418,70.9326,0.699111687,-0.268668081,0.706200138,113.3128538,12839.80283,0.840357149
38,176.283,199,14.0107,20.4298,92.4877,1,199,162.458,199,18.6863,122.873,7.67095,55.041,0.699104545,-0.282857971,0.706208118,113.3141986,12840.10761,0.840361897
39,21.433,199,17.7551,13.8815,91.2642,1,199,156.136,199,87.8591,123.007,6.57479,71.5898,0.699095796,-0.255988706,0.706163313,113.315846,12840.48096,0.840335238
40,176.986,199,12.0589,3.93719,91.6633,1,199,164.35,199,180.824,122.576,24.1628,10.4333,0.699113136,-0.344174684,0.706298651,113.3125809,12839.74099,0.840415761
41,179.79,199,17.0655,50.6028,38.6413,1,199,162.777,199,70.1805,122.933,3.8838,13.7654,0.699098916,-0.271324285,0.706186331,113.3152584,12840.34779,0.840348934
42,199,199,16.1012,14.718,21.4632,1,199,164.699,197.279,167.456,129.505,17.562,6.09749,0.697963079,1.117160025,0.704247095,113.5289275,12888.81738,0.839194313
43,173.3,199,3.15104,27.5621,88.5781,1,199,162.365,199,81.5931,122.663,5.55014,10.9757,0.699124389,-0.322848245,0.706285391,113.310462,12839.26081,0.840407872
44,179.561,199,7.09153,22.1295,90.316,1,199,163.431,199,13.9147,122.814,24.6149,24.2135,0.699115465,-0.292849139,0.706235161,113.3121424,12839.64161,0.840377987
45,12.7944,199,4.05857,24.2007,91.4216,1,199,164.463,69.7354,161.836,123.107,17.042,65.5398,0.699109649,-0.230495547,0.706151394,113.3132376,12839.88982,0.840328146
46,81.6225,199,6.48046,18.1934,25.1526,1,199,164.309,199,123.351,122.637,5.70802,31.8084,0.699120758,-0.329594363,0.706289269,113.3111457,12839.41575,0.840410179
47,177.783,199,17.3432,57.9336,90.5365,1,199,163.338,199,137.202,122.655,21.9464,66.0423,0.699106311,-0.329517557,0.706269747,113.3138661,12840.03225,0.840398565
48,147.962,199,16.9943,23.7079,37.136,1,199,140.104,171.209,70.1099,123.888,23.2201,44.5061,0.69904659,-0.071782549,0.705897888,113.3251108,12842.58073,0.840177295
49,178.696,199,17.0236,60.5023,43.4797,1,199,125.183,199,180.378,123.174,11.3643,5.38709,0.699089664,-0.220914011,0.706113787,113.3170006,12840.74262,0.84030577
50,124.074,199,17.7681,47.2259,81.0034,1,199,164.555,199,181.252,123.077,6.52723,59.7564,0.699092607,-0.241510794,0.706141861,113.3164465,12840.61705,0.840322475
51,179.34,199,11.0354,58.3068,8.50152,1,199,82.9487,199,180.095,123.024,27.2665,56.6848,0.699103611,-0.250279468,0.706166903,113.3143744,12840.14744,0.840337374
52,175.78,199,11.3622,59.8239,7.4933,1,199,164.014,199,180.279,122.79,23.8475,53.779,0.699109635,-0.299192027,0.706235538,113.3132401,12839.89038,0.840378211
53,141.976,199,18.6539,59.3166,116.408,1,199,147.371,185.687,170.245,123.49,6.02623,5.85732,0.699072144,-0.155372974,0.706016843,113.3202994,12841.49026,0.840248084
54,177.97,199,17.8068,4.85456,11.1813,1,199,150.959,199,121.507,122.586,1.39934,2.65076,0.69910562,-0.34398907,0.706288241,113.3139962,12840.06174,0.840409567
55,13.4885,199,5.75505,22.8699,2.54461,1,199,77.5945,199,156.229,123.265,5.59627,6.33335,0.699100949,-0.198057854,0.70610217,113.3148758,12840.26107,0.840298857
56,8.97408,199,17.2975,43.9464,90.9814,1,199,163.53,199,179.763,122.677,23.9781,71.8287,0.699104839,-0.324915604,0.706262152,113.3141432,12840.09504,0.840394046
57,106.909,199,12.8351,60.4884,89.9227,1,199,163.265,181.827,179.767,122.897,10.1009,62.813,0.699104766,-0.277353548,0.706201696,113.314157,12840.09818,0.840358076
58,158.13,199,17.5938,22.8646,12.9204,1,199,141.489,177.825,87.3463,123.958,5.78866,94.154,0.699041629,-0.057227831,0.705877108,113.3260446,12842.7924,0.840164929
59,161.664,199,17.865,49.8678,87.7738,1,199,95.1624,199,181.156,122.541,26.9474,8.13138,0.699107004,-0.353397793,0.706302507,113.3137356,12840.00267,0.840418055
60,176.874,199,6.10735,37.2135,2.15789,1,199,164.257,199,33.7043,122.711,8.27898,71.4085,0.699119535,-0.313881156,0.706267232,113.311376,12839.46792,0.840397068
